,PlasticTypeGeneral
Cyanobacteria,0.17308286439563805
Actinobacteria,0.11586577023210749
Verrucomicrobia,0.08255329529224739
Bacteroidetes,0.07432720732762083
Planctomycetes,0.06618223628923858
Proteobacteria,0.06214614923506516
Epsilonbacteraeota,0.04232536408997502
Chloroflexi,0.04112742265032422
Patescibacteria,0.0373095121175392
Acidobacteria,0.02641784999797109
Gemmatimonadetes,0.02427231571722633
Dependentiae,0.02401523048450009
Latescibacteria,0.023353825720523747
Firmicutes,0.022624826242130726
Armatimonadetes,0.018299899934413152
Thaumarchaeota,0.01764814113342807
Kiritimatiellaeota,0.015942370586040658
Deinococcus-Thermus,0.01391207430648006
Nitrospirae,0.01348943681017507
PAUC34f,0.012136969095298279
Dadabacteria,0.011018993786992767
Lentisphaerae,0.010585977680782713
WPS-2,0.010174109294987813
Hydrogenedentes,0.007450281395629199
Euryarchaeota,0.006746452572284601
Fusobacteria,0.006625298584454751
Chlamydiae,0.005535866809062923
BRC1,0.004803118502787967
Tenericutes,0.0035464071010907336
Crenarchaeota,0.003463649988676306
Spirochaetes,0.003358975310502934
Calditrichaeota,0.003083681834183711
Nitrospinae,0.0028877062270971864
Asgardaeota,0.002189545890352118
Zixibacteria,0.0021058222816079347
Nanoarchaeaeota,0.0017870061387127464
Schekmanbacteria,0.0017631281739838784
Aegiribacteria,0.0014045190265678448
Atribacteria,0.0013832234560730446
Modulibacteria,0.0007500523089142507
Fibrobacteres,0.0007036942712004149
Caldiserica,0.0005317934702611959
Omnitrophicaeota,0.00044055413692483845
Synergistetes,0.00043028093348885285
Diapherotrites,0.0001907147124731536
WS2,6.384452962866254e-06
Rokubacteria,0.0
Score,0.7549019607843137
