,PlasticTypeGeneral
0313683d4b52879d694bc5c695c8005a,0.030032099986678815
150ba6ca36e16bf9fd4b11a39de8bc0e,0.017683520339110765
68bd6b0da33c3b2c9d458099f3f1cdc8,0.014030214185037181
d065280abc30073ba8c3501eba41f1e9,0.01338230686151706
49055a8926642ad934ee01650da59860,0.01261986680958053
fb800d4d7cd0a8e0da07b414fcf21b8c,0.0118536908856223
fc090e288032f90e9498b452ba441a67,0.011096124623318278
e416d0916760d2fc17b616e2ac3ad855,0.01055769772114499
22938df8e232d3f31729d9558a99c5cc,0.010043038447839108
8f196eb756ca2c43bb186e6b98a5c6a7,0.009412041549131415
cd3252d96bdb1efe5fc05bc00a9d9309,0.009303179534030464
55357b7fa07da6a981c32fea228aeb2b,0.009225766225904354
5a6e29626c62d7c7a9ae6a0f5f325b19,0.008495324112331327
a42c9f8f85e528ad62538c00dd464c86,0.007855526685210674
2b9608a3e6edd566185a0fd8c737a0f2,0.007681680037757134
52727954d409fd4ad8ae9dfce287d4c0,0.007603705358521968
1606dd77af9faf5ca6185ddedd2d7c15,0.006925439344880098
1c2b8892a0d7f828d72808cd01cfd199,0.006827837653064641
ebaf71826e51148a569b065667df5fbe,0.0066571934654112395
ffefc9a0aade9e50fcd47685c9e1454f,0.006653094363563636
30dbc0804f35617e0e830cbb007f23bf,0.006050023455217053
ca8f1c260ac18a133685554fc1089155,0.005873591129885824
01e345009377d307883dcdfd7429113c,0.0058373790311879205
0e24e81b47a51b1827c0e2d164e87f73,0.0057854295891994695
f2fb5bb0c325924e10f3ae4aa16f0b9d,0.00560383078040723
ac4f8a20a782e0226e85487593891bc5,0.005466885546877366
8b1887ddc67fb58902f874cea99354d1,0.005361066955676316
da56b6c543a242b6898f46b84a9932fb,0.005213005131644888
395b9018556614c8f338feb3db6a56eb,0.005210207714086545
54c5162439d2d1c970aa53ae1209bc72,0.005208862382913038
2055d4bcabed4296aec22202dc030fec,0.005134817680934834
7be86d144beb2d26a04a72f677225be8,0.004994203114615113
03ce811941f66c0b73fbaf7d29fc9c05,0.004963366726883183
47089eede2228691db261668879887be,0.004902111614429132
e4191d3ececf3e363ac94fd6d677369b,0.004837891713079379
0f032854ec86edf72c60237a705ccac0,0.0047528626830640516
433f583b97892ab787dca54792266ee5,0.004608416104630682
506034f9da6c777f14c4f7408def3cd1,0.004558476739427067
43c382b5b64c2776597771196f7f427f,0.00454437421875158
00b54bad7e854b2cd5c060869fa7ad6a,0.004474453132460987
47116dc234b0e98fbe1544617899eff5,0.004433142991303602
161e5cde9da5cba422473fd4bc88af75,0.004292664823142952
789c4792f179db802b033fd6f0abd298,0.004117504751347186
80e70001cfe9984ac9b29ea25f87893e,0.0041166141102622015
af1d8bd7ee952fca43324def6fb2092a,0.0041093517619848145
4999766a4e4c6e4e8c6a06b4e74f78d6,0.0040999047417990915
62a845538d745dad19f77539227b3d83,0.004094310949584486
d32e579b3ae7b2aae8d5bf9f027c29af,0.0039953860784906975
d5b62b26119113cdb59cf565175448e0,0.0039888020316879765
463448be7fe6ae1e5a096e746e6974c5,0.003982999258884906
68e8bc7eea81ca0258dfdeb020925dca,0.003914471066696307
a32f13bf9b8e245fc88044e769dae7e8,0.003821969313772201
a36a81d94d9dcd8761117e7f08d22c0f,0.0037499044695083164
8df13636f5eb6bf9d19c24c9acf7c3b2,0.0037280240854006053
c556975bac485d3e853ad35ea4cb4f4f,0.0037228560744858767
d8ff4a0f1c170ed4c608cede33054305,0.0036908246945691033
23fdee303166fa70ecb6299598c93bcc,0.0036900607968847303
024c68e68bea18a86023bf3c6c3a8fdf,0.0036775278633033857
92b40104cd7b26c5dc598181244be569,0.003635997729021804
83aa219ec530f1dd24c47844fa823e65,0.003610046622667921
df21b89d82f66a29ac32449515a2032c,0.0035431893973553365
227519a9a3f18fc856593aedae10ffda,0.0035277436868717173
766aefc32ac9e547e7156282fadb2207,0.0035019980413864473
09d283f3c7e9ebf5ebf1530043faf4cb,0.0034308768414401383
76327a3aaefab2559c870521aa896e99,0.003407003408636464
1879cba5460da59522c5897ff29d513c,0.0033785340638143083
b449f5066387be07ee577a95585d45ca,0.0033668507435293555
64110c785b3791610670b71ef6ee4070,0.003279287839620944
9dc03fb79baa32e610c088586793edb5,0.0032523941990053955
1b84b05165a78cf7e0645f6f639c86a4,0.0031342457913822288
0920dcf0f62fb2b3ab9e32f1c4edec37,0.003045611173422737
6f8ed0922367c1452a74e5282adadd17,0.0030035247253428297
af2e78403ec6def98c4fa60387485d6a,0.002922681623116888
60f369e9eaa0597914f6d282598ff2e8,0.0029130155659503987
991f6c5506fa6a4c22b49d004028ca36,0.002891988738296489
2e97ae6045b5230ada1f96ce43102648,0.0028918543546162206
8ae6c234ba89bd61690a23982c8574a6,0.002824902947812265
0c03959892d1fad4c349f605f837a226,0.002821661498420998
054177777faf6e7f44c8f614abcb2be1,0.0027841981258937437
0bca2aa985f900160e83bd991d499732,0.002779367352925965
d71daaac8e969973bdcb093d80cb2120,0.0027318409247559703
ca527f2b2b745a618c4c486f18a1de58,0.002701405729176632
ce7cd290a02a5afd4276ff140b234a8a,0.0026934953606163555
ed3f8d8f47258f6eba170105b4105acb,0.0026927588398678736
6d326d08ed63c1522c8b05ba5578b704,0.0026852940359255663
0ca2eb01c2e69f3b10c46f06b0d5c236,0.002679913223788949
bc0d3486823308e2bdfbedb2dc0c5d8c,0.002655691298590678
e3df8240522c5f4f3745d38f57ceb81f,0.002622077443622697
dd332babe9084cd1c50adb614c40cdfc,0.0026166383673276576
fbb28971630d9217315585ec7b2ee1c4,0.002595581186297787
159dbd33ef1a82e73cf0e8085e333cce,0.002574171723066432
e17f20cc08fbbe50140cbe85806907b8,0.0025740063090660867
89f75b88e779577e9b45d3c1ec22061f,0.0025443684545715935
13a81e31eeeb356b7d28933740ac86b9,0.002530640142020399
b80ba2de2207aeddf0df6f3004bcbb9a,0.0025151565941466305
cf1a930bb896224062b64fe6efe301be,0.002512767184918658
d7ad1bae995487781d84990fb7757f83,0.0024692490147536555
634724fc463ad3817a3ba2a11d413513,0.002417260523930103
323442b89ac839bca0b277760ea19a2c,0.0024140341474257736
d525385fce4194f044a41ca81ad3c791,0.0023520986757553314
ad72127c01dac114c005c83404612b5d,0.0023169309496241085
97991ce469a1cc109b514c89920eaa50,0.0022549985250214324
0388c66dbdb4249eca705859dcb949c9,0.0022538865767114885
df5d3a055e5f03a0b497945487e968f9,0.0022180295416175328
8f23b4eb028e97da673b11e79ed271f9,0.002137081899110734
35ecc1db7dce7aa0e9a33f0c15c587df,0.002136445367167184
db9f9a996631b9b479ec28ff02394343,0.0020968615480491002
c8d754a85bfcf701673c917b6a9bc1a3,0.0020933080355388465
5fd8757a16e27c1fde92abd8bdcc315c,0.002091573640809242
d175edf63d2d94bee015fff07473ffba,0.002089905294223055
4d268b1ff51108548a883f7ce4007dca,0.0020651918788681307
110b5e349203691b4231003c56f44050,0.0020366546829255123
6539f59062d16f8454aa0eeb82a123c1,0.0020308236637177736
5aa44ccd479f0310c977c1a673c4ad0a,0.001991692793763492
00d4306620fb956f4cb8ea6616da13a3,0.001973858716897349
76416e6048a9cd3033ad1bcf396d972b,0.001964025132629608
12f0627b0f930aff1182481eb84cbc7d,0.0019533078908514816
e8937d617f41a003f996263bb4e4591b,0.0019514608728743003
268e91f7e0518a4f8e0934b40b788ce1,0.0019437476284511433
21727ccd141928cbe5fdb2455387024a,0.0019396210844941895
3275549275863bba59477de992e128b5,0.0019373461118437749
60028d2dbcfef8272a4d5b6baf0633b4,0.0019361155064092817
67697ae7de14170f6306ac521e0accc1,0.0019340978189110374
a71a27a1ca4335c00cd4abe5e484989d,0.0019329617187713905
304a41c1c7d84b9f7049e0cba0f63300,0.0019236417905699294
b62e4dda763cc3e0398da406d3af94e3,0.0018982772128601972
dc3835d12dc9edc210bddff9c66bf356,0.0018902805325399126
e72aa9d91f0347e09f526fb4e403a2b9,0.0018556447303632137
f5386901988613961f89d0cb5979bffb,0.0018191566701512088
ca3ca7ed5903208edafe1b1723646db0,0.0018155226208649935
4473ac847f597164696bc96da74ca753,0.0018151944884048003
6f9ed7d4b60dee27dba5d2947c37fc01,0.0018141402566096054
a3a390497a2e86c5333f079849312e54,0.00177601589405771
d46e2205f0c6ecf67b51f83d111c509c,0.0017547620047418447
46ce61ec4481119f152238a2ffd59c34,0.0017516366330849007
91fa1e4e957ebca3cce001982bc81c2d,0.0016973024415362812
2d9a9d6012e671d8135cb2df734d9edd,0.0016674254856719195
3b9a640a2fb04ef04b82b218fc1fb455,0.0016672384362808263
68c89ee0ab749c6a80adb8abed8f2d39,0.0016560651243471304
6333a14627cc7d0c5340333ab6f4203d,0.001648931722933694
7dd273cfe05a5c5e224f299f760201cf,0.0016344824509875633
3576a745308ec8f4662afdc8f6e84e6b,0.0016313010954824992
4e83ac6483530dca14bec72a3a8989c9,0.0016290152751750153
a07570279b70d73f0bb58d9827eb09d9,0.0016268391250043057
c9869c8ee11c511d2adf4a495d12d553,0.0016168046668183984
8c3c0e78d2a495f9c687691d852330ef,0.0016058669446156987
04175f386c14319829ffb23d5c188b2a,0.0015936026150139583
33d5b59b84249c30ecc17216fe3311e4,0.0015895928209636566
d338b742da6cc6a04cb97813aabc3674,0.0015517698492405255
2e46eeed58b76d5ed47b1a624901525f,0.001507625891942503
bd1c078388a3f9ea791c735afba423fe,0.0014859009420189599
22144d9149a8a0eec1ce9f4d0539f1c6,0.0014818545402209206
1f5cfe8564eca46358234075d4300a11,0.001466006006251109
2363d97c05d059390fca53d856383162,0.001444958432209587
417012693893c3dea01a2669bdfbef69,0.0014344500850149654
3a03346da75d6349e7e2da681d15a048,0.0014180123728181361
cc6ff40916dcc46b7af3840e472110e4,0.001414548411398272
aba57bd60c49ef387417e05016bbee3b,0.0013298213282272866
2c27361b2f95e8d0646fbcc02e0b9806,0.0013220205240164968
b02b3d9f477c9d1b771a8a5ec6b5b8ed,0.0012974046397304653
003d6b88725e4077e101fae2d9de1dd1,0.0012958480544492678
443172e38bca6c516500f7f810a4ef50,0.0012942471306115826
18f8f56682952e70dec5cf525d5a7e07,0.0012906163484962755
4286609de405153985ce6e3bf18e25f6,0.001286008988401905
0c3e7830a183154f52653043316ba668,0.0012622736066513647
820780613b5a30ceae564ff09e88faf2,0.00124224442351571
656af8c995801542045cab02a11b588c,0.001231892281406829
113381e3893ed86fffe77e3fce5dd07f,0.001227369678095401
5f8dbc074db18743b0447c249bf91530,0.0012133089505034246
3b50e9874fa67e04b49f5a59ecf0059a,0.0012101826333382891
057fa7aac94ddbf51b276b0f64f8fee2,0.0012013088854473891
b365790697effc27a87d99d16f8a9fb5,0.0011995456827278252
706d98f99db23a90d9926e0d62ca8acf,0.0011979379455300816
a3ae3c687963932fa954dcfe04ea8f17,0.0011800037999148212
cb16e852847785239a4de5fcd3b3af02,0.0011774226512000253
1df9823763ad52fb535bc80b7c91ec5d,0.0011646836900378738
6112d362565c5797eb555106a550d353,0.0011508624450927488
1e88cbec4784e03370f3f76eca68a48d,0.0011469726834133025
eac23401f62b931543304a883d5e8898,0.0011392337097880676
8c2170a7ea60d5fa60a1fc494e487741,0.0011355261945496403
9668439b5bdd3a7fca4adb77234ffa92,0.001120539387862563
e55bfdcb2210cf50abeebec07b46975e,0.0011176604280707875
f85f3795f07958c8be559b3b4447cdfa,0.0011168007698751125
54b64017df438882505b225820b0cd6b,0.0011088487596506904
4983a867e90909e51e7089466f61eed8,0.0010981306475752691
0bf2c441c6be7c7566910702b6d05eb2,0.0010849186746850876
56e0150a8caccce4572f750e42bd9cc2,0.0010692963106339664
b163b3317a0ec09455e6292a06588482,0.0010537047112457324
13d7754a56b77b903ad8e14a106a6821,0.0010424555266116155
88e2aad760a2a14a57d80b478cc2d87f,0.001039935139272742
a1f3ff2a522d28314dbd68e181004126,0.0010397882312683283
d829bee4984f82ffc2453212157caf96,0.0010295091637923654
c67744b93c1aac731ad718596675f25e,0.0010294279573058427
90722a58387204d92de2be9d7daab6a2,0.0010111091488077802
28dbb86c8d8d7e67d408f88434dace9e,0.0010104907644993542
ee73fe332e6abc5b657d1a936dca822f,0.0010079221426703433
1d8a9d89c362e6e92f30e24237adb4c0,0.0010048288215316155
2d874954c905673c9267b99951bc0d4c,0.0010023180877409422
dc1bc9779fda97359ed3654f42dc4935,0.0009994865224871776
14d05bcb6de5774c6a83affe499761f1,0.0009969652299358699
bb3e80532135373d40059a3ef1958a5a,0.000985344962264735
64a4566e998fec311ebee0501d08534b,0.0009810903017840958
46d3fa53926e3cfd6390ad36197ce2cd,0.0009740789760790592
c4b15d00ba4009557099f7c3c0c6a4e0,0.0009673468104881156
a6b8a80a1a8c66f0027efb1354efcbdc,0.0009627553040869972
68bdf34460761a7e1a2b74fe0676ab4d,0.0009553226223662476
ad3bdd0857eab5f6289a08728500d720,0.0009508494370898166
cdd6a21e3221b31137bebef1f0947b0a,0.0009482991876551612
2239a1ff8c798f469f9713ea2a5732b5,0.0009438439919947985
57f295f1e37d390a0d93e4b898f5a1ac,0.0009410122792693563
d244be3e213f8c3234e80bc03111b8b7,0.0009398778911272587
458b6d27d791a880f71e83517cb073f8,0.0009370667446224791
