Study,Latitude,Longitude,Samples,Environment,Available,Lab/field
Abed2020,23.548611,58.656389,36,marine,No,Field
AmaralZettler2015,30.9607192,-138.4550131,137,marine,Yes,Field
AmaralZettler2015,32.72760627,-66.51110132,220,marine,Yes,Field
AriasAndres2018,53.143262,13.028094,30,freshwater,Yes,Lab
Bakal2019,49.15225,14.177972,30,freshwater,No,Field
Bryant2016,33.42414722,-146.7185111,11,marine,Yes,Field
Canada2020,32.723136,-17.194412,9,aquatic,Yes,Field
Curren2019,1.463806,103.837444,9,marine,Yes,Field
Delacuvellerie2019,42.58075,8.725783,23,marine,Yes,Field
DeTender2015DeTender2017,51.34144144,2.831891892,247,marine,Yes,Field
Didier2017,27.3182,60.51479,10,marine,No,Field
DussudHudec2018,42.4245,3.5678,18,marine,Yes,Lab
DussudMeistertzheim2018,41.224511,8.68601,149,marine,Yes,Field
ErniCassola2019,39.491583,2.735833,42,marine,Yes,Field
Esan2019,45.055806,-64.841,40,terrestrial,Yes,Field
Frere2018,48.378072,-4.489611,59,marine,Yes,Field
Gong2019,23.14,113.36,24,freshwater,No,Lab
Hoellein2014,42.09972574,-87.93590065,258,freshwater,Yes,Both
Huang2019,39.986403,116.305917,36,terrestrial,No,Lab
Jiang2018,32.081222,121.602806,9,aquatic,Yes,Field
Kesy2019,56.4054798,20.13295419,301,aquatic,Yes,Field
Kettner2017,54.168478,12.115017,95,aquatic,Yes,Field
Kirstein2018,54.18286,7.888838,240,marine,Yes,Lab
Miao2019,32.054018,118.756881,12,freshwater,No,Lab
Muthukrishnan2019,23.631944,58.2675,38,marine,No,Field
Oberbeckmann2016,52.59119932,1.62484634,94,marine,Yes,Field
Oberbeckmann2018,54.14638856,12.04827643,154,aquatic,Yes,Field
Ogonowski2018,59.383928,18.180603,18,marine,Yes,Lab
Parrish2019,40.65786313,-74.30989627,30,aquatic,Yes,Lab
Pinnell2019,27.544167,-97.285556,12,marine,Yes,Field
Pinto2019,45.095147,13.635108,74,marine,Yes,Field
Pollet2018,43.103983,5.980304,19,marine,Yes,Field
Puglisi2019,44.928806,9.919656,21,terrestrial,No,Field
Rosato2020,44.495803,11.353674,20,marine,Yes,Lab
Syranidou2019,35.549128,24.061855,30,marine,Yes,Lab
Tagg2019,54.10458,12.05187,28,aquatic,Yes,Field
Wang2020,31.230095,120.164302,45,aquatic,No,Lab
Woodall2018,42.02335145,12.4551076,14,marine,Yes,Field
Wu2019,39.01,117.33,25,freshwater,Yes,Lab
Wu2020,38.94898,117.781582,49,aquatic,No,Field
Xu2019,33.69444438,119.366667,23,marine,Yes,Field
Zhang2019,44.363333,85.979722,12,terrestrial,Yes,Field
Zhang2020,37.488223,121.414022,18,aquatic,No,Field
