,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationTime
8cb56911a2b9040f6b9db974003bf1a4,0.04677916158341173,0.03845080293369999,0.039888568448925285,0.04982255057720921,0.037099688056459273
ef8ca82d1e8c6d13b2f5bc37ec28d7f7,0.04336727423456648,0.04678912692452737,0.05056796249756999,0.03524451424899128,0.012015147095175514
76990f500f42d2aa3b3ea384d8de9d55,0.04197172142242546,0.03823405098310719,0.04527135383559828,0.04325351722987187,0.043617861842101424
7f8fa6ede7a8898f92fd96ab9c2d389d,0.03934074694890217,0.015571640678620075,0.014881135125466,0.03881775189035171,0.11450078002700793
1c01fb6449319c2590fa0cc66b6fd6cc,0.038426381616795686,0.009653886907087668,0.009597270604344201,0.019837548049622657,0.019837452244760745
a3014556d1a0863de612649d85d02a6b,0.03638787172100135,0.041440125177850805,0.03584479684985031,0.05143790530822583,0.008737855990258387
f8861e3660bdde819013bb3a4853c341,0.035658590859902035,0.005868117860915547,0.008031162062586607,0.014567537343831273,0.06892191837267851
f0311cf348aa2605c084531193d6aba9,0.033981485684250155,0.002923943244914398,0.006973120846016362,0.004593704154006571,0.0007056358593682719
c18d1605feeb1399cc3fd56ff7ce5679,0.03390316678094165,0.02846804428612307,0.03094047814192639,0.04506795207488734,0.0028293066866568214
33a4d9e4db0355c2cb8fb238385c5a37,0.03084969141953721,0.03312872483254058,0.028753830244806836,0.019826290391748894,0.002612279448683595
46422266d73db23fe3910c2ca582ac67,0.028823659683765022,0.009596423522995874,0.012527605744052029,0.009663756845612041,0.0051744669219983995
4a96ca7140fd5861997c7e0333b3a5b5,0.028388126907927313,0.011709180671944696,0.01955847050330375,0.014767502909689948,0.0018746219333161981
7f1da50ee56d626264361b7b1a058247,0.027066701838088975,0.024341930598882313,0.023522897956642325,0.029424340114425858,0.08224654627064304
a96b6dcf9c9d3af44a7928c6d937f6cc,0.02578973943964434,0.00922918212322475,0.015596076830543041,0.0028135353446801284,0.0013309197046210233
56b1296d08a68b5d7c616e25792b8017,0.025609936968432417,0.03768095348179822,0.044902353397872796,0.030777723408354198,0.003817574670056925
9329664f04de24d5dae16146ca45b3ce,0.021381217033445667,0.017635629277675993,0.017172059020613684,0.02850772524375049,0.0049079290490312115
ff67acdd7c634bd4a0c9ee760091e0ab,0.019842430938118272,0.008314823956335645,0.008928757015448088,0.007612741153036968,0.011443143294482224
0d57cf7470831a0ef6691288a0303eea,0.019542864512637766,0.024335122760018424,0.021592523453607893,0.03898246617224813,0.019078206974974248
68d4955e689ca6683dd5e0f51c8026c2,0.018493594913012817,0.031109840700340008,0.026441340703284553,0.019390371046829703,0.00261812252364647
001682b2bb137ddb40efa3944e2d6fc2,0.018261346280985455,0.0025948676827117286,0.01177068246982518,0.003309279424457281,9.045476489271699e-05
d4c5f4e7440b2f26ab4528517de90cc1,0.016939372268525366,0.014065495514465478,0.014189907002923219,0.013626180142657348,0.005852446286153612
319a039cdde8963eba0c69dc6cc1b09c,0.016915505951891917,0.010406508094798955,0.010364966329936103,0.007584265422812869,0.11174113478899635
8167dcc7f5ae83fa3c41bd3a12e76cce,0.016774226270231923,0.025745797024298033,0.01904983975996629,0.015501780300084896,0.001564655952951011
e4304c9496921fcf8a88c1ef30dfd0eb,0.01665324781737553,0.0027198341952808522,0.004500809015625888,0.0023947750763708034,3.593749999999569e-05
e9934def6eb800ab9cdf6807f41e21b5,0.016579062607369424,0.013726690576220332,0.011986223370478553,0.010256230677648154,0.0012544227823894877
b8ddfc6c2ae7524e2a6671d856b7d4ef,0.01626632629738602,0.028826720869704465,0.03395783079108283,0.03520579356295811,0.013584910015904027
9c392c95d43fbf85491d6f21bc5b9679,0.015380613206762392,0.01604403436012072,0.012608319635880749,0.00907593222758784,0.004412794935961436
5f8d3cb98ec8179022f595649461bf71,0.015342307552888781,0.008473626642642474,0.0104754743150406,0.008904646563445681,0.005429178002507022
264ba2a3468ab91ae9ceb65df79550ee,0.013265742727029246,0.024815358277486748,0.028266634913933927,0.022538510298871824,0.019835789430722246
daff0d2442e4f3297e868980cd0d99ca,0.013244643651786316,0.01930727076643252,0.011868793335055194,0.01703410647692559,0.023120306215591288
3225775e0059920715d56fc804ff0b1d,0.01291660086583287,0.016888535186214217,0.016661830641203162,0.00758142165568696,0.055674311645801354
3bc614205c8135fa97b94b71b5c3ea80,0.011232085822445123,0.0012216327217017674,0.00050140849214258,0.0009944315911946718,0.004542079096138868
93e5ea30358219bfb4649c4e08fb0de5,0.010935207720304757,0.0037737429889310365,0.004378690998705625,0.0018895179672860972,0.0006085386811969287
5ad892a928747f53a9d3eb8c4e10b88d,0.010579244662125486,0.026834546251940313,0.032119853362701824,0.029956522363984866,0.004493629158676355
99bc193addf11abd11ecece1ada1add1,0.010383926263675623,0.002845670557140976,0.003516283766212174,0.007278086543497812,0.00046369100340732956
c7b85e20f58d483a832e0851c77d9992,0.009611588656653427,0.004739610110096888,0.0032311029983914737,0.004834749958905294,0.0015964298605712377
79013deca000adea00e0362f2ab16111,0.008682571667289477,0.02054001761875647,0.019762345625848814,0.018757090482394066,0.0006177607321587156
91884f1c7b536e459669355ec456a446,0.00821713054339097,0.013712128372984274,0.00727764419280871,0.004082374208839497,0.0009272174029320263
0525b52e706abbccb469c20e861f2f1a,0.00744519551353176,0.00916465041058214,0.010641277573411947,0.0017905115027923265,0.0010574409511053863
6d8f483a93fd752802c90074313345a7,0.007126393271817449,0.0003921699332802241,0.00019311797935329722,0.00170417988392626,0.0008070325965466367
8c6c65eae085ac219bf78617fb1c5d04,0.0070684596008758075,0.025535394219214032,0.02456217787807499,0.01728399349929353,0.0026299858683339586
ff705180575f4d5b010aa7dc4ce1a2dc,0.006740918784797491,0.00027723319167773965,0.000797568979431906,0.0006564972564475671,0.00013286568736549796
4672cfb7df31f9071fcf4bb20f3c91df,0.006108941790544021,0.00038279149063903564,0.0001749056338566545,0.001307406251773276,0.0002277192858863131
79c335da5c7d06a27aff6fb3e6c5f13f,0.005949765572058993,0.007128920666683505,0.0043771804322806735,0.004629956716795536,0.014070297318856999
4aa57304b7ddeeab175631a6a91cadcb,0.005748616664716185,0.014398790254240392,0.02065702507544776,0.01849139007770874,0.006131166477782032
682147c0f4fb0935e5495fc9f122005c,0.00547062435267961,0.007078215499411898,0.00294710795178843,0.0044719182505791495,0.17072258503905424
398adb9f3ddf89387e2d990a0d359a12,0.00535784858241548,0.016619797182708913,0.016322291840176008,0.02643456749093735,0.00232895331383309
3b68fccb4ed962ebdfc5bffc27615999,0.005315027459046252,0.01931596245960567,0.012207996753177387,0.010540722315176896,0.006492501640437521
4ae27c753d146223650f2d7544d930e7,0.005122693945648893,0.0020791685582105556,0.0028098231176339437,0.004775488068086351,8.876779986251059e-05
7f29fb0bfb5d2c5a19ee9729021cbdbd,0.005042418031017668,0.002012102233154742,0.0021143665223605037,0.006445653421981701,0.0004812022314290984
e70437c8cfba0dc4f289359fd1ae25ed,0.004918738464381202,0.006722068999185073,0.0024518351501707203,0.004217817093208245,0.0008680423773733537
