,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationTime,IncubationGeneral,Temperature,Light
f8d2b7cdf3b8b59a8ed1a4c648fa3e21,0.03199939169054078,0.013762530945804237,0.009291723176436593,0.011078223273395825,0.00907454365065876,0.006073472504862103,0.004639810328968713,0.008776262821638688
1c26c1910f4a5624d34e527f88a1d7ad,0.023488679997983753,0.006268470475531875,0.0027827176797536497,0.00645610910309458,0.0014606432944941558,0.0031437182598522033,0.004076123411908425,0.0032174197948139525
35ca8f64dc2df22f33ef3c0df56cfb49,0.022061675110465775,0.007594962289065686,0.010114604872787617,0.008075281421220699,0.005862612464497709,0.001572788022548251,0.0013720262314179449,0.007832497894318849
b1d36b3685ac016632f4a6ae22a9ccd2,0.01871652648502797,0.0057632380132608884,0.011383026613840972,0.007642678365291145,0.003147658301455136,0.0036945144134887926,0.0018029069507542398,0.01601249535622369
66f3d552b956d0ee0d287f255931dbf1,0.01760652746254132,0.010404299402885744,0.008034214885715256,0.012442245253459515,0.0048084162670971745,0.008138734836278362,0.004123807244334708,0.01025026237111239
3c9ee867afdf740e33961e30ad02e87f,0.017359849643084867,0.006919919615929093,0.007226271713000433,0.013097838910418338,0.003396367962590759,0.006439380692185391,0.0055576800949506885,0.011138481416659305
8917b47fc0080840e1d550df1a365ff2,0.017342746395728297,0.0052261591534199315,0.008287994511275472,0.004533366567780424,0.01833418323973908,0.001995633861229289,0.00143165630520697,0.0038596346019796114
f89ef12a32ddcdb4dc55c4816e2535f4,0.017332309752316977,0.002140863177230407,0.002526748381928831,0.00687267325104142,0.00031188579921442763,0.002209715350828046,0.0003447533652015373,0.0018048401297260902
0e2b9fcc4d1866c8179357aa6eee3f00,0.017180578457916353,0.009251523128685393,0.008758182532825147,0.009086574755576967,0.012174637655943647,0.01080873397371985,0.014639767048044363,0.019898362692597295
bafd067f4959056d2d37309d02704b76,0.015664055126156654,0.008598023099762353,0.0070772038973188015,0.00930787920874051,0.006141627087250615,0.007401905284555296,0.007546607124991477,0.010559976487738867
8e2e0ef8d0bebbd92dcb360e8ea7f4b4,0.014387440073519204,0.005010257979454704,0.010728948962709584,0.009255136194287101,0.001147698111217053,0.0029030194693145115,0.000931330592718561,0.002187230831768601
a7b19ff24ba847c40ebb1b2fbe90f871,0.014129476208220595,0.008714853090944134,0.008362387148974209,0.009296677141519126,0.006851204381862221,0.004879435285104209,0.006116771094455809,0.0042159088259236055
31b41b280084b32b9667b26b18fb4c91,0.013349635345499843,0.007068923500851693,0.008494412276539307,0.008122234875946006,0.01949685402738603,0.011281433876064258,0.007537873029531827,0.014196490556296541
ddf7062f0e9d6c6373601f72a1eb6291,0.013250611575855395,0.016927177096399775,0.018140726708514913,0.009130384262569282,0.007653055887044259,0.005704597447707064,0.0037242983413644615,0.007147477140804737
be6c58790749ec53393a8ff4a72c7130,0.012872315306642497,0.0006364706378003201,0.0010206555248559233,0.0007030338073473558,0.00014087527082193367,0.0004971499556780497,0.0003070770290444499,0.0012290391510102723
1ed3793236623bf4d0de6c2ab4c0c4bd,0.012646448002753111,0.0016740690063180884,0.0017132284371646502,0.002322258898678808,0.00047651604698418956,0.0015846495258217646,0.0006171357089096502,0.0012062448750123718
02301f7d1e08451a4244ccf9407ca8a8,0.012592401999266544,0.005241590521085602,0.004995816874688616,0.005257281276506634,0.0031581681510576345,0.0061129510685910965,0.004862241325678633,0.004013946623653814
94b246a394e683d96b89e1ee17446159,0.012557118382782458,0.01922528010245666,0.015316194684459663,0.02404030211939102,0.012436253862641456,0.006390053217055121,0.0031178833331104174,0.011375367461283946
415ab56f9f5bae059e6faec099d29cc4,0.012305227835355464,0.005526124876866003,0.005264263002264593,0.004767889981166421,0.0018054380665949174,0.0027383228956888443,0.0029805615781620964,0.01057536928200129
be82a9510004b84b9531c40b353a8e58,0.012174068072703412,0.005822027172728164,0.008640230154735218,0.005898783967802273,0.004677344595346844,0.009423314366453772,0.005321392109352657,0.011409563662626175
68e4e86b638498b5ba71c9ab1685fb6a,0.011675627585763572,0.00532247331623346,0.0062830772209092195,0.006438040339740473,0.01342220106636871,0.007773308706874114,0.019642038901570756,0.004004704819833576
619ca57b4c399a4b4339ead1a7c0a912,0.010980311239673381,0.0107501604104496,0.01015456099501199,0.01186376335879912,0.010097094409700118,0.014649199692156637,0.006700305859664525,0.006997025343936826
c9abe6c582e2e8c0e9ffe7472ef9da3b,0.010548381215192078,0.005884423447273815,0.0066568678919546,0.005726509592207025,0.0019478156031502798,0.010099109606542948,0.008384373069004518,0.007793192200927803
4509f4751f6ada9031688977a6e6c907,0.010016853500827323,0.014492560495058617,0.01336202877711034,0.005808410492421361,0.005939601296517966,0.005706581965294774,0.0029999510266643277,0.01637158686745787
