assembly,pcaG,pcaH,PETase,tphA2,tphA3,tphB
2502171174,0,0,0,0,0,0
2502171175,0,0,0,0,0,0
2502171178,0,0,0,0,0,0
2502171179,2,2,0,3,0,0
2502171186,0,0,0,0,0,0
2502422304,0,0,0,0,0,0
2502422305,0,0,0,0,0,0
2502422321,0,0,0,0,0,1
2502545005,0,0,0,0,0,0
2502545009,0,0,0,0,0,1
2502545036,0,0,0,0,0,2
2502545037,0,0,0,0,0,0
2502545039,0,0,0,0,0,0
2502790015,0,0,0,0,0,0
2502790017,0,0,0,0,0,0
2502873006,0,0,0,0,0,0
2502894009,0,0,0,0,0,0
2502957024,0,0,0,0,0,0
2502957025,0,0,0,0,0,0
2502957028,0,0,0,0,0,1
2503113005,0,0,0,2,0,0
2503128008,1,1,0,2,0,1
2503198000,2,2,0,4,0,1
2503283005,0,1,0,0,0,0
2503283007,0,1,0,0,0,0
2503283009,0,1,0,0,0,0
2503283017,0,0,0,0,0,0
2503283018,0,0,0,0,0,1
2503283019,0,0,0,0,0,0
2503283022,0,0,0,0,0,0
2503283023,0,0,0,0,0,0
2503386000,0,0,0,0,0,0
2503508007,0,0,0,0,0,0
2503508009,0,0,0,0,0,0
2503538010,0,0,0,0,0,0
2503538017,0,0,0,0,0,0
2503538020,0,0,0,1,0,0
2503538021,0,0,0,0,0,0
2503538027,0,0,0,0,0,0
2503538028,0,0,0,0,0,0
2503692001,0,0,0,0,0,2
2503707007,0,0,0,0,0,1
2503707008,0,1,0,0,0,0
2503707009,0,0,0,0,0,0
2503754000,0,0,0,0,0,0
2503754015,0,0,0,0,0,0
2503754016,0,0,0,0,0,0
2503754017,0,0,0,1,0,0
2503754019,0,0,0,0,0,0
2503754026,0,0,0,0,0,0
2503754028,0,0,0,0,0,0
2503754029,0,0,0,0,0,0
2503754032,0,0,0,0,0,0
2503754034,0,0,0,0,0,1
2503754037,0,0,0,0,0,1
2503754038,0,0,0,0,0,0
2503754039,0,0,0,0,0,1
2503754044,0,0,2,0,0,0
2503754046,0,0,0,0,0,0
2503754048,0,0,0,0,0,0
2503754051,0,0,0,0,0,0
2503904012,0,0,0,0,0,0
2503904014,2,2,0,6,0,3
2503982002,0,0,0,0,0,0
2503982020,0,0,0,0,0,0
2503982034,0,0,0,0,0,2
2503982035,0,1,0,0,0,0
2503982036,0,0,0,0,0,0
2503982037,0,0,0,2,0,3
2503982039,0,0,0,0,0,0
2503982041,0,0,0,2,0,0
2503982046,0,0,0,0,0,0
2503982047,0,1,0,0,0,0
2504136000,0,0,0,0,0,0
2504136002,0,0,0,0,0,0
2504136006,0,0,0,0,0,0
2504136012,0,0,0,2,0,0
2504557005,0,0,0,0,0,0
2504557006,0,0,0,0,0,0
2504557012,0,0,0,0,0,0
2504557015,0,0,0,0,0,0
2504557016,0,0,0,0,0,2
2504557021,0,0,0,0,0,0
2504643000,0,0,0,0,0,0
2504643002,0,0,0,0,0,0
2504643003,0,0,0,0,0,0
2504643006,0,0,0,0,0,0
2504643007,0,0,0,0,0,0
2504643008,0,0,0,0,0,1
2504643012,0,0,0,0,0,0
2504643013,0,0,0,0,0,0
2504643023,0,0,0,0,0,0
2504756004,2,2,0,1,0,1
2504756006,0,0,0,0,0,0
2504756013,0,0,0,0,0,2
2504756015,2,2,0,3,0,0
2504756018,0,0,0,0,0,0
2504756021,0,0,0,0,0,4
2504756026,0,0,0,0,0,3
2504756028,0,0,0,0,0,0
2504756029,0,0,0,0,0,0
2504756030,0,0,0,0,0,0
2504756036,0,0,0,0,0,4
2504756037,0,0,0,0,0,2
2504756040,0,0,0,0,0,6
2504756048,0,0,0,0,0,1
2504756050,0,0,0,0,0,0
2504756058,0,0,0,0,0,0
2504756059,0,0,0,0,0,1
2504756061,2,2,0,1,0,6
2504756063,0,0,0,0,0,0
2504756088,0,0,0,0,0,6
2504756089,0,0,0,0,0,5
2505119009,0,0,0,0,0,0
2505119011,0,0,0,0,0,0
2505119014,0,0,0,0,0,0
2505119015,0,0,0,0,0,0
2505119026,0,0,0,0,0,1
2505119028,0,0,0,0,0,0
2505119037,0,0,0,0,0,0
2505119042,0,0,0,0,0,0
2505119043,0,0,0,0,0,0
2505119050,0,0,0,2,0,1
2505313014,0,0,0,0,0,0
2505313015,0,0,0,0,0,1
2505313024,0,0,0,0,0,0
2505313027,2,2,0,2,0,7
