,Latitude,Longitude,Environment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationGeneral,Season
ca527f2b2b745a618c4c486f18a1de58,0.18280883175092133,0.08812145194520032,0.012911364718848089,0.007310271572826634,0.006731970271307865,0.010532674131922654,0.007259612444215989,0.011196568210932822,0.012375759756833488,0.010953381724094052,0.005210793001346353
713e97afa1e02b8fe3098c8b98dd9753,0.07513649676119627,0.023206825459437513,0.014151214701194315,0.004127396643469469,0.0036821604684623144,0.0005602217376202547,0.004485107766276008,0.00714558667869267,0.006984421582405014,0.0002997462503517993,0.005238172562055279
5253d98d25bc51baaf939f468ca8ef59,0.0677968901593782,0.03271676684864818,0.012176625957962834,0.00777386906863885,0.005470015574758199,0.01948338903786739,0.016889171619671815,0.023792593910901903,0.0219569677828053,0.006767285106212245,0.014530431109644915
2d30211ca83dbaba57bb7d08b25f6cee,0.06690753536408096,0.1084487372889956,0.028893768015573404,0.008789563122461999,0.010107692364981,0.006097376656100475,0.013586661812411959,0.010261681008047184,0.007683454105336684,0.01373251079166675,0.008356050348631664
e72aa9d91f0347e09f526fb4e403a2b9,0.042289245411093364,0.04986771263671456,0.034167905024464984,0.02249896136874904,0.04324711184161721,0.01847225443978162,0.030855549016641774,0.022408886535735337,0.022936919178162936,0.012535575776484002,0.03309465091163533
efb15107df0f9540732eae58526fea74,0.04037260906710318,0.006043070143565132,0.03780811214955919,0.014317779042365664,0.007201756495515939,0.008619589187799957,0.009081260836422024,0.009012534563964097,0.008182828115536563,0.005707667876422341,0.019252562499158098
342eca328b16a2c6156119cb6eac07ef,0.039496161200191136,0.0875977701814011,0.025607217565042577,0.03542288485807145,0.021634566339571535,0.03252353177082686,0.02131301769560478,0.02705788171200758,0.019851570491772275,0.021222814264769567,0.02258886440205249
bf7c288e56837b9f97547481762972c7,0.03560255610647316,0.03876633659104952,0.0195893605246152,0.01811345899266929,0.02676317272701429,0.020315243167158496,0.03564683964558954,0.028818333557137234,0.03595426955025831,0.010519427467930387,0.019412640753464914
3ebe761bfb1238c87195d431f41bf976,0.03138669538838269,0.035892485945045335,0.03473802892442519,0.030204141145708116,0.0559952766577434,0.02348411347504163,0.041036455273453835,0.03425102905658022,0.028985314929470606,0.029211573836090056,0.022854052485892572
8505236c1ede9d3dc4bbb4c0dd27922a,0.02472696207795595,0.04907842629787595,0.030754815681769195,0.013209620718020103,0.03298333153229661,0.01829932601836494,0.023171423245998024,0.023062916874049818,0.022706616621384224,0.01643259409126925,0.02995284799682341
