Year,Marine,Marine,Freshwater,Freshwater,Aquatic,Aquatic,Terrestrial,Terrestrial
2010,,,,,,,,
2011,,,,,,,,
2012,,,,,,,,
2013,,,,,,,,
2014,,,2,,,,,
2015,2,,0,,,,,
2016,2,,1,,,,,
2017,3,1,1,,1,,,
2018,7,1,1,,2,,,
2019,8,,2,3,3,,2,2
2020,2,2,0,,1,2,,
