#SampleID,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,CollectionDate,Season,PrimerPair,DNAExtraction
AA2018s027,AriasAndres2018,53.143262,13.028094,freshwater,water,lab,incubation,water,water,water,planktonic,6,3,early,20,0,ambient,Aug-16,summer,515F_806R,redextract_sigma
AA2018s028,AriasAndres2018,53.143262,13.028094,freshwater,water,field,incubation,water,water,water,planktonic,6,collection,collection,18,0,ambient,Aug-16,summer,515F_806R,redextract_sigma
AA2018s029,AriasAndres2018,53.143262,13.028094,freshwater,water,field,incubation,water,water,water,planktonic,6,collection,collection,18,0,ambient,Aug-16,summer,515F_806R,redextract_sigma
AA2018s030,AriasAndres2018,53.143262,13.028094,freshwater,water,field,incubation,water,water,water,planktonic,6,collection,collection,18,0,ambient,Aug-16,summer,515F_806R,redextract_sigma
AZ2015s001,AmaralZettler2015,22.303,-65.18,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.9,36,ambient,19/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s002,AmaralZettler2015,22.303,-65.18,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.9,36,ambient,19/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s003,AmaralZettler2015,28.087,-63.432,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,24.7,36.57,ambient,24/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s004,AmaralZettler2015,28.087,-63.432,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,24.7,36.57,ambient,24/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s005,AmaralZettler2015,39.143,-67.825,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.9,34.18,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s006,AmaralZettler2015,39.143,-67.825,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.9,34.18,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s007,AmaralZettler2015,39.978,-68.882,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,16.6,33.76,ambient,11/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s008,AmaralZettler2015,39.978,-68.882,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,16.6,33.76,ambient,11/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s009,AmaralZettler2015,42.728,-70.22,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,15.3,29.48,ambient,13/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s010,AmaralZettler2015,42.728,-70.22,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,15.3,29.48,ambient,13/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s011,AmaralZettler2015,31.81,-121.572,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.3,33.19,ambient,06/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s012,AmaralZettler2015,31.81,-121.572,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.3,33.19,ambient,06/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s013,AmaralZettler2015,33.023,-125.582,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.9,33.17,ambient,08/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s014,AmaralZettler2015,33.023,-125.582,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,18.9,33.17,ambient,08/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s015,AmaralZettler2015,33.468,-127.768,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,19.2,33.18,ambient,09/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s016,AmaralZettler2015,33.468,-127.768,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,19.2,33.18,ambient,09/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s017,AmaralZettler2015,32.947,-131.548,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.2,34,ambient,12/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s018,AmaralZettler2015,32.947,-131.548,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.2,34,ambient,12/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s019,AmaralZettler2015,33.48,-132.45,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.2,33.5,ambient,12/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s020,AmaralZettler2015,33.48,-132.45,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.2,33.5,ambient,12/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s021,AmaralZettler2015,33.902,-134.272,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.1,33.61,ambient,15/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s022,AmaralZettler2015,33.902,-134.272,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.1,33.61,ambient,15/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s023,AmaralZettler2015,33.565,-135.435,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.7,33.7,ambient,16/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s024,AmaralZettler2015,33.565,-135.435,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,21.7,33.7,ambient,16/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s025,AmaralZettler2015,33.258,-136.213,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,22.1,34.389,ambient,17/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s026,AmaralZettler2015,33.258,-136.213,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,22.1,34.389,ambient,17/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s027,AmaralZettler2015,23.908,-149.107,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.6,35.32,ambient,02/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s028,AmaralZettler2015,23.908,-149.107,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.6,35.32,ambient,02/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s029,AmaralZettler2015,22.52,-150.782,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.2,35.34,ambient,03/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s030,AmaralZettler2015,22.52,-150.782,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.2,35.34,ambient,03/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s031,AmaralZettler2015,21.39,-152.017,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.7,35.09,ambient,04/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s032,AmaralZettler2015,21.39,-152.017,marine,water,field,collection,water,water,water,planktonic,3,collection,collection,25.7,35.09,ambient,04/11/2012,autumn,967F_1064R,gentra_puregene
AZ2015s033,AmaralZettler2015,32.62083,-117.12944,marine,water,field,incubation,plastic,ps,ps,other plastic,0.5,0,early,NA,NA,ambient,16/07/2013,summer,967F_1064R,gentra_puregene
AZ2015s034,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,plastic,ps,ps,other plastic,0.5,0,early,28.1,NA,ambient,30/05/2013,spring,967F_1064R,gentra_puregene
AZ2015s035,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,not_plastic,glass,not_plastic,biofilm,0.5,0,early,28.1,NA,ambient,30/05/2013,spring,967F_1064R,gentra_puregene
AZ2015s036,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,not_plastic,glass,not_plastic,biofilm,0.5,0,early,28.1,NA,ambient,30/05/2013,spring,967F_1064R,gentra_puregene
AZ2015s037,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,not_plastic,glass,not_plastic,biofilm,0.5,0,early,28.1,NA,ambient,30/05/2013,spring,967F_1064R,gentra_puregene
AZ2015s038,AmaralZettler2015,11.99833,-61.77167,marine,water,field,incubation,plastic,pp,pp,aliphatic,0.5,0,early,28.2,NA,ambient,06/06/2013,summer,967F_1064R,gentra_puregene
