,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationTime,IncubationGeneral,Season
08125d77b7d233f0fd5c4072467d0dd9,0.03519894537749463,0.005968818511750311,0.006274205656712771,0.011323959570751047,0.012074532452728477,0.0013938690290149372,0.007324289783489994
495c1bd1608a1dad54d3e2824ce899ef,0.03332363691683868,0.010239474839843029,0.016474621177243246,0.019777908478238255,0.05287231340396671,0.016696339710770523,0.017408725090613916
79d9fad250cb7be12c82bc204b96fa17,0.0330345027849686,0.017198348153179662,0.03185701118445293,0.03339418477316601,0.013885724292263413,0.012433712425399044,0.00823625896500219
79e7dae944ed0eea3cad8756a47ea858,0.032725750499236476,0.0028090171262750672,0.018881317425269186,0.0056031953889886365,0.0005683732736291473,0.00021055173999807007,0.0047716605113242196
7ea30fff992f59478e3d80e4b9ba7cb6,0.029991418153666134,0.027732587941701057,0.01710607993204257,0.029319020812377562,0.009596441558163764,0.014679859058611992,0.018563181511537276
a8eaf40e6405446a24674ec701828355,0.02923197903767308,0.013343821862047448,0.010107384886834773,0.014944920985230356,0.010597998951334462,0.02424207723076632,0.013447240106072279
289f9d6825e7c63f5ca085ab3349eadf,0.025812724309721046,0.0037443615162140995,0.01430291472110538,0.006692113230214741,0.004754369689133309,0.0029891029925956875,0.007814016085567328
7aacf738f3c6305a33ddaf78ba515964,0.024767599075528647,0.022702238857592327,0.016696481974241728,0.02977063682110042,0.00358158844818187,0.01194592367499948,0.013081695464911867
db8c13e63fdbb50ade0c521d1882f670,0.023232343095124727,0.022358385714969436,0.025505593472682248,0.02656585364262366,0.009244326341490553,0.013860579638735044,0.007088283737235838
d199bab8057f4ef44150300d26565992,0.023173364952106302,0.014218475630457184,0.01126268103761378,0.020026132002678724,0.01442778620288585,0.01589002466290441,0.007005676251107104
66f3c3355673ba31dd97b004dd3d7089,0.02122954047852027,0.024628191978479888,0.014063341772211328,0.01918419899714285,0.008720874859742723,0.008907736210151089,0.022351330893864166
