,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationGeneral,Temperature,Salinity
69ecde639764a5718793b7488aec30f0,0.05887225439536961,0.05674021604747497,0.028132642853404874,0.04857339351443338,0.03906853469652512,0.0452677697859941,0.03370482333750837,0.025838148066547953,0.04540880876043936,0.020758166643007017,0.13958110400397766
59faf023c045c0083089bfea6e1d7637,0.053763125482570444,0.06650576737805321,0.04850381070320382,0.061060788870380946,0.0686470452678482,0.057964328488159675,0.041717408716378475,0.09614387417079012,0.06321228709736128,0.1154884770100663,0.09839153565273798
4aa57304b7ddeeab175631a6a91cadcb,0.051739998590611375,0.0555148322502007,0.04959287714338731,0.08631210182254975,0.07005567391270388,0.07161226376376678,0.052320884422743595,0.22539193339503616,0.07304019644336748,0.044020622629977156,0.08076931858300976
abf00944cc734df1f36d7c97257a0035,0.040615927872239534,0.014678358398983495,0.03405315606689964,0.004386494321720819,0.00687369054752087,0.017349245370241642,0.018104766707878316,0.01204625721118863,0.0,0.03255758411731949,0.001979653110811683
d8d45087859fec8c8ed71fe018d96aa1,0.04013607826758028,0.049116243601165406,0.026054305298192797,0.050326880661117575,0.03655085310659758,0.037169281035243064,0.036068083596108844,0.056463737973964645,0.04484732624442307,0.0041102082672146815,0.031931882627215406
2422a5c73814333073e97e5877414ac8,0.03923207470265546,0.05231312006706954,0.03916708552837347,0.03549482591821676,0.046051988845546996,0.02520718965294595,0.03559438087356253,0.010216402435753403,0.049068209377924527,0.022274227654547722,0.06637828041245013
93e5ea30358219bfb4649c4e08fb0de5,0.03842857924439355,0.06319317130354014,0.0361136438950583,0.043657098811007336,0.03367729233750236,0.02392707023578285,0.02847637175499006,0.08866174068340571,0.0388514491893748,0.044396561905516864,0.08514638287597608
606bfb6c64ac83bd281456a3af078e5d,0.03363620307434981,0.046090070257118046,0.03215709576433167,0.017889669862754424,0.017379308406351646,0.019199826635822634,0.02427266017816828,0.0013983198573234165,0.032118745278105,0.01568713732997333,0.054685937763848336
a3014556d1a0863de612649d85d02a6b,0.03190401724963385,0.04300273915665556,0.036828197166808484,0.04817436523667629,0.023434789829949138,0.021388166513102835,0.014599282442165072,0.01717121557621626,0.05415905638657124,0.015783527114164714,0.052982150711435624
27209d82b7d1a3f733b2045fca5553eb,0.030890315294573676,0.01190421091165304,0.032164779783241726,0.02937808026966,0.025845043833122933,0.030356966343693618,0.0346395187524834,0.007076168956368386,0.020424133789265022,0.03405379652370352,0.001324586624693029
156d6f7bcc6e3b9d32cea3c68bdcacca,0.025414837459769368,0.014858262254678197,0.05057372862954429,0.0058787601053197,0.020000647875632233,0.016179627243533543,0.03340578003502873,0.006780511846913407,0.0019934192367181266,0.04647104889488258,0.0010690652687567598
79013deca000adea00e0362f2ab16111,0.02505886444810858,0.0257598841778327,0.023319603378901183,0.048947105159418386,0.017265908232160874,0.048099731489416965,0.02333565167074703,0.011943590759317887,0.05884544085577967,0.06471833540799313,0.05587494678384308
f974c903d27807d64dafd08071daafa5,0.022653274933828346,0.03070359679871829,0.04947242287801461,0.015588305773398372,0.04457979182707001,0.02867253111491172,0.02679498070778877,0.003664458595379415,0.01771215222441718,0.15916077223730024,0.03114070846337265
469d0b188c81ac5f58e05cb0bdfcb2b7,0.02153274016672476,0.013842851258663932,0.014240317865718716,0.021410190523275315,0.018640382354101467,0.023933582231676985,0.018099378091769713,0.018745401976924085,0.020233169890164583,0.0033828992687148594,0.0012933574366884287
