,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Alphaproteobacteria,0.00015856740558946555,0.017493819154887624,0.0010162158511000708,0.0025847977568509996,0.0022563496707395125,0.0012049123489578718,0.0010670118439589482,0.01043072307541019,0.00356251244369167,0.0070697199363650475,0.0028695934911406123,0.003447818617295976,0.0032076524009327996,0.016445935879222825,0.001048483640264781,0.0029664361928249065,0.002240743457903699,0.013599540510389578,0.0013794483585282118,0.00022492862115893323
Proteobacteria,9.4848661209992e-05,0.01579532359460911,0.00030602423785471315,0.0018256750483175573,0.0022856082355844558,3.286381076102715e-05,0.0002720315331199553,0.40335532224101645,0.00023621150260945344,0.02756065455061406,0.0010904304844855162,0.001345015645670455,0.0010850677858758274,0.016431274269385784,0.000151786814866567,0.0020410180720556413,0.000827556674705591,0.012988005468052682,0.047726642827848005,7.23187322391309e-05
Oceanicella,0.0004598668230103698,0.009282843674579322,0.00021058768137303355,0.0017784657555596065,0.0008708854575947544,3.1593022367646994e-05,5.338802236206718e-05,0.0007417881260094883,9.682912285659482e-05,0.002814060003674749,0.0010106559189716814,0.0009278395332942138,0.0007606640272914807,0.009902714697056485,2.097210201000225e-05,0.001173947369215474,0.0005775322778675057,0.008267715394117596,0.0013809204894077829,3.102217094879495e-05
Flavobacteriaceae,0.00017528861640403126,0.00731759739263164,0.0038883148442737216,0.005629005861956597,0.007462369704110698,9.517510690985371e-05,0.0022643531069459462,0.04921842916174639,0.0008949723411245417,0.5017098894418454,0.002552398483070092,0.0040046432159793885,0.0034871700965094796,0.006857406400517975,0.021863144262868915,0.005500749202310108,0.0014772092723600561,0.007976286095859092,0.06606957240064816,0.0008415872210631919
Erythrobacter,0.0002681405379925441,0.009181916432409858,0.00037027543295481267,0.0037763835479851368,0.003993479520094248,3.432507033987814e-05,0.002538269889577846,0.0008735931848082983,0.0003112236946732127,0.00037244871392523555,0.0025724896405149886,0.004389394209975136,0.003005397354035309,0.012726170168834164,0.0002777824306085007,0.0021577004881390407,0.002653877367511391,0.007932382465304096,0.0023864097592183223,0.0004053878090709075
Clade I,0.001083741494834188,0.008878654084624557,0.001560683288732048,0.0048198223089552135,0.006266552315274891,0.00028563933977226064,0.0022439672515161915,0.0001980327823829772,0.00025330049456102324,0.0005314725602665335,0.005492324640177736,0.005459779579508329,0.003899540863319468,0.010615911452060884,0.0008071927900970614,0.0019347797794123966,0.006152345819139329,0.007389950724601448,0.0015903505675874778,0.0004726838662458874
LD29,1.172683499771509e-06,0.003273340976598933,0.012434874396061333,0.010317078322107882,0.00531896181555858,1.1316339851471897e-05,8.36104624428357e-05,0.03032880237612037,5.5823324077342474e-05,0.0015245858749265765,0.0014759701739366468,0.0007018716998874904,0.00048570533256509174,0.001961706231575659,0.00010458463759499903,0.004689889544959724,0.0006881681289107902,0.007352697128231336,0.0007457483347913787,0.00021233520431943376
Methylacidiphilaceae,4.586999303595765e-05,0.004431464046719981,0.007109299754513879,0.011071734314461089,0.005536059042138923,2.4930624429441405e-05,0.00013001949272543854,0.001179101400856037,5.457554429419754e-05,0.0023672230396384005,0.0020724902261370394,0.0009429641699351288,0.0008911257749945152,0.0012101849738455355,0.0001059281652361973,0.00550010247399692,0.0010914357175659444,0.0073433893738712565,6.814086830063538e-05,5.299863395728091e-05
Terasakiellaceae,9.255715918040349e-06,0.0030671040393490754,0.004258343916951358,0.01048939256861033,0.004392024145493217,3.378360836882054e-05,2.184341967579766e-05,2.1146335167647993e-05,4.508167553296603e-05,1.0735225806025214e-05,0.0010209615271882838,0.0005514203752167141,0.00029915511096620774,0.00029139816077970184,0.0002188852436413469,0.0038683154271950413,0.00019163256946768022,0.006944796534630168,0.0001645646098173368,6.756161752881727e-05
Clade II,0.0002904135619773613,0.006627982501981848,0.0007514457882379125,0.003531930645530342,0.007747827084607877,2.462268602574407e-05,0.0012772310722859806,0.00021203770024905114,0.00019472702302402082,0.0005869498957265788,0.005687216422487359,0.005233540668614581,0.003700400767947615,0.007554692859165626,0.0003950209193236839,0.001536166936789423,0.005453707441378631,0.006054796140928065,0.0013096354290252766,0.0006745939785456313
Flavobacterium,1.7479062067563894e-05,0.0045775249447230935,0.019976470201042755,0.0022613710830652833,0.002524893374443322,0.00011147225003038098,0.0012113605151481957,0.0006138544444480316,0.0015276462580583062,0.000141114710027344,0.0016219989515848148,0.0016389731198729236,0.002039073783033602,0.012533402113422524,0.0894485690488694,0.0036151009153778907,0.0012992549933315814,0.0060311469489120004,0.0011464899872969106,0.0005755081637755321
Persicirhabdus,0.0002225202421771341,0.001819151629895466,0.0010929745028448454,0.0021053299722208424,0.001695544396431061,0.0001147480829064853,0.0004770906477425978,0.004111392059173603,0.0007353310845537091,9.392645716527206e-05,0.0008261136304300244,0.0010296364957897897,0.0010753180713249943,0.008240014142340664,0.011075085637105015,0.002377770726782393,0.0009018088003848065,0.0058489579254926115,0.0034391810218193405,0.0024973053201010264
AEGEAN-169 marine group,0.0001993732249579714,0.007281725669423091,0.00019113485893133424,0.0013846027737754961,0.003193100953016231,2.2971923426295723e-05,0.0006203508954867185,0.0005218453624653949,0.00016172933479795398,0.00017690848537172624,0.004248993935874079,0.004435938538173928,0.0034370167081474415,0.006858344335900502,4.08845011410597e-05,0.0019860201115535683,0.005073091470351109,0.005846239450217726,0.0009517969628196916,0.00018370372432819347
Coraliomargarita,0.00015359088402622603,0.007298356253668195,0.0001668145845319903,0.0052945554856336525,0.008684063778173467,2.3753448287455288e-05,0.0006025393876348463,0.0004472035384942768,0.0001230522368812386,0.0003079392669283218,0.002408411393394673,0.002468743972498066,0.002387481578777258,0.008302957163154328,1.533859953276796e-05,0.0024406946655244153,0.003399869642301627,0.005802095384094923,0.00022957843049496317,7.039364323931446e-05
Cyanobium PCC-6307,6.524309907146728e-05,0.002420550220757216,0.013040686249263326,0.007029995861015132,0.0024456957946923604,2.4502422468424708e-05,0.00034238188789363226,0.01091397302486639,0.0004874994451121479,0.00017001607740579525,0.00393627751623026,0.0022539634522439032,0.0029622876605416445,0.004689517474572471,0.0030655230760483453,0.003035595911874954,0.005720716765549022,0.00568426833675005,0.003451359585106914,0.00037958573738989843
Lentimonas,0.0004620785311063468,0.006428914133248493,0.0004468723506478557,0.004194687350837934,0.005757260163692552,1.7447782883947788e-05,0.0016671031461621372,0.00044052450602994226,0.0007820895989409246,0.004903599849694539,0.0015808855890617497,0.0016244198542667355,0.001578535830823599,0.006294124155768856,5.10403950451376e-05,0.0029812278536641033,0.0010610982785548989,0.005607813434738197,0.0009155684347210265,0.00029164511691693245
CL500-3,1.9943831824444075e-05,0.0026448167282701694,0.0022807501581284403,0.009539180229983533,0.0027338069152893648,5.609614741113365e-05,0.00021202464176873473,0.0010224855021519722,0.00035346153731180785,0.0003010555500833613,0.0019102985069843008,0.0012818259688459714,0.0012569295475741856,0.0009220155058763944,5.522213080785762e-05,0.004838576894164787,0.0013314924101135179,0.005546573370950483,0.00032887192714522697,0.0004195475269879873
Clade IV,0.001681084236295494,0.006354935302251493,0.00015941586184317757,0.0008882722527251092,0.0027388441962823973,2.1765973270816295e-05,0.0001493838275391056,0.0002382319187073695,0.00010948880090791961,0.00034372543084019785,0.0022353148340230784,0.002560248865690006,0.0023889396510924734,0.005617949212038162,1.1465977058026203e-05,0.0015587340603848442,0.004133020397110419,0.004947023941312493,0.00037483743767199716,5.2195044588967376e-05
Thalassobaculum,4.2856457917863914e-08,0.002284998455712269,0.002345458406189506,0.0084043442214033,0.006147210501655582,2.962439913702138e-05,0.0006667831384622871,0.0009078711052005032,0.00029675899002942795,0.0017601998668859056,0.0012431184951767352,0.0006911146301028723,0.0004930816244907584,0.00040301968687184555,2.2037398539128734e-05,0.0034325108962219844,0.0003696860453742684,0.00486084233922069,0.0002120114027441065,0.00013573696495205884
Flavobacterium ceti,1.1561155910396731e-05,0.0002017386801534128,0.00012550459200060763,0.0023067595009933542,0.003579813033663945,1.7336368200719054e-05,0.00010504908520875322,1.0024352182837036e-05,4.483597831529881e-05,5.567426873089097e-06,0.0009138291612544199,0.0012694612403894318,0.001199270169110841,0.0006495785597849148,0.000492634929750196,0.0013934463072559182,0.00011855836087337148,0.0047224655419070335,0.00036625391442160303,0.0011688228848793284
Rhodobacterales bacterium JY-7,0.00015675443616151952,0.005520260604463418,6.120705138868558e-05,0.0005222424913078334,0.0025545923637259427,1.1112479496359566e-05,7.884136380211616e-05,0.0005181310661791765,7.17346852186422e-05,0.0013465336328197977,0.0015188392396009753,0.0015929080864885187,0.0013160554768097204,0.00516915643763351,3.84941049215889e-06,0.0017918420432505588,0.0009673077352968564,0.004611231799028265,0.000292712456115376,3.382759298596576e-05
MWH-UniP1 aquatic group,5.067944966513222e-06,0.0008256804177139655,0.004601221249684761,0.0053783986105189,0.0005791650139763913,8.465377787074172e-06,0.00013412672222173065,0.00015534071513052618,6.921485564481995e-05,1.8349563617350314e-05,0.002715467574390101,0.0017374299055077196,0.0015337096542083143,0.001240271600374011,7.72548986600237e-06,0.003934884722122493,0.0022395501613191766,0.004434068393293289,0.0006825312450128418,0.00017438708841265
Rubinisphaeraceae,8.385236947744355e-05,0.004822527237653428,0.0043375053822607154,0.00554721467095379,0.008775765992276424,5.773779322552221e-05,0.00043493479662737154,0.042444614535356626,0.0007409543200581093,0.0042848366662645715,0.002200938643104572,0.0014499239066689449,0.0016850279515285486,0.004082386329788614,0.0004450182224138381,0.001163814397111982,0.0006568753304508839,0.004388851240669333,0.0008347737629633372,0.00149311922234644
Rhodobacteraceae,0.00030828623101572164,0.005511519867065105,0.0014387662707953965,0.0039048397999179064,0.004294690387706643,0.0003150637640451837,0.0012331493238770229,0.006114609162841466,0.002309814680016411,0.0006628928366256615,0.00540247257261017,0.008520741001012579,0.00644925168533306,0.005507751043446698,0.00030333970704247775,0.004348029156918771,0.0055470709656420085,0.004380467390540903,0.0057813949216050774,0.00159531741274024
Confluentimicrobium lipolyticum,7.62059982563577e-05,0.005006669778902754,7.175255231794717e-05,0.0007008552878979945,0.00045993886648944775,1.731525333052551e-05,3.414579882808266e-05,0.0009297380337035615,0.00010298449034196349,0.00017669392540743879,0.0007241286897737273,0.0005451463905389149,0.000571314260432636,0.004485412327265843,9.347586185642419e-06,0.0010637517110562579,0.00042949646236228796,0.004370120448742308,0.0006543281521764085,1.9242027742109587e-05
Tistrella,6.706260093601495e-06,0.0018681075637174511,0.0015896648542485083,0.007055452765066695,0.003282975463324515,3.178366638340449e-07,2.6235705252836232e-05,1.7628842485470365e-05,4.5780287976739994e-05,1.9838980104351204e-06,0.0005604078347051301,0.0004864697426532844,0.0005426675466031027,0.00010225482678227677,3.649835115160996e-05,0.0024932190871659416,0.0005679300170510987,0.004134815418939144,3.4518708363202416e-05,1.0378961050626067e-05
Burkholderiaceae,0.0014412531203562536,0.0024246961521570006,0.01839249830261513,0.0027800448241629776,0.0030567023795786707,5.6629164887780875e-05,0.004760950273555872,0.001521112889580991,0.0019976935509195826,0.0018253067835429272,0.003531588000838848,0.0031774373146105637,0.004338782590819534,0.010158762863880174,0.015774675155014583,0.005167295967121236,0.002305125482137316,0.004068040711884268,0.015609948085288452,0.0007150278525733763
Roseivirga,5.692966614003582e-06,0.0012167420988879996,0.010036088822315825,0.00471538349401658,0.002833890867274019,7.040073892130889e-06,4.364874376491913e-05,0.012513459984407853,7.272453515224641e-05,4.718884799210846e-06,0.001332847841729345,0.0009238993723435973,0.0009121555444434375,0.0012424056880785991,9.422158314214853e-05,0.0007273933867889065,0.0006124201461415855,0.004015436640982401,0.0005814025476640595,0.0002334797104820776
Fluviicola,0.0022931853499006893,0.006535872883691502,0.0003887225372538966,0.0009295523580258366,0.000976244740158552,0.00016372140619274258,0.0009917895024910556,0.0002007849953530596,0.001286217735687578,6.170796328434905e-05,0.003096293490727618,0.002456516418987666,0.0023346728629615307,0.003441353839491533,3.0419860159163007e-05,0.0014891269550477003,0.0025654089542170057,0.003945863019965178,0.0006454793166601581,0.0004552140044291515
Ilumatobacter,0.00015062175025806177,0.003113565942282944,0.0007790852853116225,0.00250020162166174,0.002086465559375891,3.716828633419723e-05,0.0004984248865209172,0.013420654859049936,0.0010384978199830717,3.641936048735998e-05,0.00089538462782834,0.0014376215938098139,0.0008925231401004939,0.004378322043597361,0.00024063466577046365,0.0012698728126146453,0.0005775586421903763,0.003788830059755289,0.002499485345533272,0.0007653682582668273
Rheinheimera,6.33502622595747e-05,0.0014862217475733188,0.02180992221661757,0.0024114266778396923,0.0005296933870572705,3.294342947318473e-05,0.000979643838224913,6.903964701853727e-05,0.0009340703583035305,7.975726562876081e-05,0.0018215808279893003,0.0033040573759057588,0.002003869518029675,0.011224654110192066,0.10890956656906824,0.005152618824436903,0.0025240459045355952,0.0037260240028724814,0.0004265943047693785,0.0007549841897671176
Hyphomonas,0.00023618255108451573,0.002943250185337876,0.007608992371013844,0.004513721829088369,0.006634194130034095,0.1713681814848043,0.00259764348716619,0.019612929203050956,0.004726052879573055,0.00018307597350134864,0.002471846750617243,0.0016869912156339815,0.0017605234590333005,0.0017199782750336589,0.0007547110567833232,0.002235403067866166,0.0010209534505169044,0.00372217307481581,0.002629976589077256,0.0006148855015295906
Pseudomonas,1.7684797987418747e-05,0.004109752457881536,0.017922641968263618,0.004616901088860749,0.0014388986286041586,0.0013967184826771668,0.0027166689782806147,0.00026349485806640647,0.002118605747690973,0.0004392457864161922,0.0021222141637861915,0.002193223483750511,0.002700505882711571,0.00979582320767586,0.011335006107813468,0.0026075534029715744,0.0017922287033897647,0.003704782488877347,0.0015479385043850622,0.0008975059662159435
Rivularia PCC-7116,3.392415847319003e-09,0.0012479686301503355,3.826035530124278e-05,0.0010577158731548768,0.0029025382135754573,1.907016629375465e-05,0.001298961632656932,5.410079501994102e-05,0.00010014446943492154,9.708280985586497e-07,5.669628558415139e-05,0.003995925735676612,0.0024165982627503122,0.001750581824416692,2.1148647429354887e-07,2.882060388774117e-05,7.239675948093897e-05,0.0036934654258144865,0.00014491983753988215,3.6138249997601686e-05
Muricauda,5.415912581395499e-06,0.0019370420289698583,0.0007204873457591001,0.001226681567454113,0.001157206068443854,0.0007177989705575142,0.0006464304322706387,0.0004709559818400679,0.004028288581784748,0.0003163033911029368,0.0016375004005569824,0.0017380466447879663,0.0018098414643419104,0.0051774583878427954,3.875711651081851e-05,0.0010940260360249425,0.0009086693678447029,0.0036810062498107347,0.001523779754996126,0.0006289191396244947
Phormidesmis ANT.LACV5.1,2.5195715846815307e-08,0.002641918777987196,7.579541086265325e-05,0.0012627326300231334,0.004141517945754598,4.681000314010794e-05,0.002564900166624624,5.449883598660206e-05,0.0005682926986886685,4.071339855535851e-05,0.00039820505991784564,0.0038558984937396928,0.003029577816737078,0.0041635604985410975,4.77261513347749e-05,0.00035918065880577866,0.000644816143161556,0.003618750655420172,0.00021198331640033134,0.0001278824999782486
Marinomonas,1.4100187066465957e-07,0.0009530287221837884,0.0016500806824608371,0.003281723603581357,0.0012040868570617513,1.6778823425136298e-05,0.0002460774094787336,0.0002537739134226128,0.0011721679493232058,2.3815731044018684e-05,0.0009155636750870979,0.0008621079123679756,0.0008237680587415044,0.002013619493455281,4.6347509959892736e-05,0.001200738306105426,0.0005604049368355884,0.003609392939850004,0.001818241957399917,0.0005515377285382698
Parvibaculaceae,0.00021655392710934613,0.004728928782495486,0.00011589206073451477,0.0005408500295086474,0.0015587209239957143,9.609308951356107e-06,3.119241387293027e-05,0.00018917597407869035,5.573290296904495e-05,0.0005860954867630015,0.003769778909262591,0.003657540229575011,0.0030863953541372694,0.004292190030895811,6.692995152167789e-06,0.0019480786146617319,0.0055471551154552,0.0036032541333273368,0.00037232463159995804,0.0001330786177812549
