,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Alphaproteobacteria,0.004634577158038689,0.060367383971528535,0.0296564825117492,0.02667982951591263,0.029934187469166866,0.16617831146015316,0.013405796736220065,0.2864865496115613,0.019526757304311852,0.33188621956318537,0.024835830346101536,0.03304099800272211,0.026388545247214307,0.0703030838101667,0.01572158218481831,0.01934007504893139,0.028336213344721643,0.05562348763018015,0.055664978956466854,0.01127006441174237
Oxyphotobacteria,0.0017259446160493488,0.026343739740411792,0.012032823025966729,0.037306584944453956,0.023034443833389297,0.0008882889087273914,0.017357335358037372,0.010022399776171687,0.010475157686246116,0.007533734996781337,0.044104327021583845,0.04731074571760233,0.03872428915631297,0.0454395675869841,0.0017841718119683925,0.029525868163586693,0.03565930615654461,0.04378556308117485,0.030596079241578734,0.043727418767494045
Bacteroidia,0.00041735549512023523,0.05056615209347154,0.01652712850318726,0.017788825736683566,0.017616905390370242,0.008682778788759532,0.0208356776132496,0.00656964718975542,0.012887758282664035,0.005070981134564476,0.019362697520058737,0.018141415501736945,0.019987472713779177,0.04627375451636777,0.002516118495094153,0.0233689597119304,0.0158140991986939,0.042315223539736505,0.037898014114618635,0.013893149501150264
Gammaproteobacteria,0.001802927786714832,0.03956485392082802,0.02919564768568408,0.0254833666112809,0.027256110754657524,0.0036004491636102013,0.025898401775690097,0.00642331114667101,0.024386254251642748,0.018135289418069377,0.018675416619558245,0.020062449859743814,0.019241464066527093,0.04486787028386855,0.00619396347315064,0.02386781181542632,0.014908041054274866,0.04204278140843314,0.020476759693187543,0.024503194285164627
Actinobacteria,0.0018797494261822462,0.022605335820606955,0.08690554296823941,0.03841965230497929,0.016439025816015466,0.01094007199800026,0.012137714257609004,0.026317456781294178,0.017625787115057124,0.05993202913186526,0.044266597388984225,0.04211851971199854,0.04872194245704232,0.05253762293701999,0.5095665368537011,0.04153396572036597,0.06223452177148572,0.036489296110625874,0.060639523683394606,0.03809283092442212
Proteobacteria,0.002037485090886777,0.043457454350586934,0.008289217469513213,0.01258550060647408,0.016481121110902965,0.00041310017142077657,0.005736726569507425,0.15575109896933573,0.004945351149109075,0.11769742001557383,0.010435761826898048,0.009529464916522463,0.009087548888804569,0.04701864115086755,0.0016075149678956074,0.016586348484560223,0.007832412960592741,0.034649081668419714,0.09660880215757892,0.0032314040834291826
Verrucomicrobiae,0.015712705980118497,0.031294516773056835,0.0101737883317044,0.026340505233524047,0.03128099453199704,0.004457387639328729,0.023191767051720078,0.007157001769743902,0.04050891464394992,0.008218894060965608,0.03443988716546688,0.03982978101191681,0.03617320788239056,0.03218902072254984,0.005296874223605185,0.030222759507596855,0.045779592318580954,0.03135195359698843,0.0273682431977561,0.02334882710881028
Acidimicrobiia,0.003419269123996416,0.03465521715841567,0.011532807165104972,0.03141266130127607,0.029348513199465805,0.0051601759706068895,0.0068205713816722885,0.01415729563456707,0.013735515935681277,0.005827247336821453,0.01927938534417691,0.01624818269312852,0.016795466571566175,0.031017340121101186,0.006263899659434319,0.013947298586926523,0.0160611624665558,0.030026673020197382,0.010940473234735475,0.012249918676986736
Planctomycetacia,0.0024374903875258097,0.029970606109977142,0.025332394544870043,0.05759857178622984,0.08151118819358794,0.007770425071350072,0.01397603542004851,0.01931370529488855,0.020809249122791744,0.15606866445296924,0.02681268517299927,0.023933181144815154,0.021992272620682745,0.013546320932008703,0.006170450821575773,0.01795155997985607,0.01645886887915778,0.02685088644664528,0.015006881393995612,0.021448572674779922
Phycisphaerae,0.009443961395361114,0.017085448666156366,0.01616373377654835,0.04134755048152303,0.0468104487445563,0.02030711713381786,0.026050090072528165,0.007273911178996718,0.05352449683729088,0.006792862960564783,0.021627865201454457,0.022134372177375836,0.017420738086803625,0.010649454489692104,0.01147954499198756,0.023092277997730875,0.017682824925867188,0.025319169871403615,0.01383058567057072,0.007868169133401598
