,PlasticTypeGeneral
Firmicutes,0.21443312692114114
Acidobacteria,0.16778492820209637
Proteobacteria,0.15453625228533066
Bacteroidetes,0.09909524085205632
Gemmatimonadetes,0.0932915374578913
Actinobacteria,0.08149637693798277
Chloroflexi,0.07479897243199919
Verrucomicrobia,0.05806014321269042
Deinococcus-Thermus,0.021031418394804945
Cyanobacteria,0.018125646596485107
Patescibacteria,0.013587719751260737
Chlamydiae,0.003758636956261087
Score,0.9
