,Other plastic: early vs late,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
f2cb5b568f7289fe805c64d697e2cbe2,5.121552441332508,0,0
2c75e79ae17c6a283133096aa0fe1f51,-6.711140508472363e+56,0,0
327b2c1e9c200e51d845bd4ab21c1ab0,0.0,0,0
c9869c8ee11c511d2adf4a495d12d553,1.378172453156045,0,0
d0fd45098dd34fc934d7d21e32c04694,8.42389320987627,0,0
a01df357b1da120c5070bf1fc09ef7c9,-1.1485670960586956,0,0
113b2e2e0c2efcf0e5b28f06c4d0e5b2,43421.02855426454,0,0
88eaa0a0cf6392584e61ba4648e18cde,0.0,0,0
c1d85f5d0462cde440c1bf8ded5f428b,0.0,0,0
de4340eff3230e51a4579d6b51f28c29,-8.521058738146328,0,0
4fb4af722997cb4bb1e8afaecf9855ea,1.1287629199736742,0,0
303c4925cbb9efd5e4613be5237850d0,-1.0646889144843446,0,0
566d652fb6eb98ab2423f0eecb90572f,1.0822118838873684,0,0
fd03dc4a602424d5f2eda8a3111997b9,0.0,0,0
5b3ebdc2b692286520e1a675c7511b64,16.0,0,0
18fe8b00d114363970839fa6bcfa90aa,-45.97435765343327,0,0
84ea3564fd34c5377c4305b340f0c16f,0.0,0,0
9580aa8a52ec18a4e92e701cdb595faa,1.0822118838873684,0,0
226a644f4d4c22b21fb7439d8abe384c,9999.999999999995,0,0
e90e62843eae98fdc986ec26b07fffc1,16.0,0,0
3dd462e3d4a39bcb5ed5efe35a44c7c0,1.0079606880042844,0,0
bdb531955d504be0132cd52fc06bda6f,1.0038676652344665,0,0
22144d9149a8a0eec1ce9f4d0539f1c6,28.938266943933858,0,0
436c589f9a053c8b628ea240eeffeb90,-1.0036785751375352,0,0
c8cebcdb4413a4d1d0939a7776cfe715,1.0218863001117686,0,0
1c73e1dd8862b6fdbc044d6e0d9ecc26,-1.049489985576358,0,0
4628c2446d425bb9f58a08dfa9643862,-5457.051288125214,0,0
da9cf7b18aa190e3a931150ac78cad62,1.189207115002721,0,0
aedda3ac307e63f33a5a5821dbe22e17,43421.02855426454,0,0
6e3c922eb0e8af48693a1389d282ef5d,28.938266943933858,0,0
4273880c8c3860ec37257bb7fd52ae25,0.0,0,0
b789311aa9560151b1976c990852c66a,-125.21482134575729,0,0
948996ba90b5e935e339812ce83beed5,1.0619360368833601,0,0
d5f58d5102ae637efafd3005f59bf886,1061.410035380192,0,0
2055d4bcabed4296aec22202dc030fec,8.42389320987627,0,0
5697414a50fb9f841bc5469d3b996d99,43421.02855426454,0,0
9261cba1fbbba5868ff8508387401ef6,267708.27485664556,0,0
311a0503e17a3ec987f1f3f455fb461b,1.1534673639952544,0,0
f186590f95cbc0aa1a0f4a37f5afba87,1.189207115002721,0,0
1606dd77af9faf5ca6185ddedd2d7c15,-1.013815630185991,0,0
a823f52eb4dd2c7e2d168f2c82081720,16.0,0,0
5f7bf278a4d857a40b7dee0e90774631,99.99999999999997,0,0
332139bff49a60704b53ee71c1f50191,99.99999999999997,0,0
aa29a3d2a81c767a9c8403664a058c8e,0.0,0,0
f91ce6870c100293b42cb2e8f4d5f5d6,52.80879189889732,0,0
b40c7a26777aecf4b7b8cad1c8fb2e9c,99.99999999999997,0,0
ad94f0ebcd4d1615eb3c3737ad44992d,0.0,0,0
c36b9a61196ae1b1cd2f890022be67ff,2729997.2085520253,0,0
c0c4de54fa0261707ed11bd04a20d4db,-1.1023430152579248,0,0
6c2d49a3484f444efe20c217ea006b6d,1.0619360368833601,2966.2851552967763,0
eed38f0f1435902ff32ab23d429fd358,-20.133525350380932,0,0
d9f8bc79b166195b921ce9c9cdc2c717,-1.000007525401945,0,0
107be6c55008e1f0b923db21d18a37f4,1.0272059683094998,0,0
4791646dccadd0a7b6d38f574d09f6c4,43421.02855426454,0,0
334b3846d287d263d98bd846a72f61ba,0.0,0,0
ca236bb49813e0c535015cb8b2442dad,0.0,0,0
d359a15f60da1cf986d8bbceb6899f0d,1.0169350244250133,0,0
be6c58790749ec53393a8ff4a72c7130,-2132.0677504033724,0,0
aa5de0642addd3142f38a836ed1df3fb,0.0,0,0
6a16ce308c0dedac37d27825d44a7987,0.0,0,0
bdf6628bdcc402f9100bdd262ef328f4,35.05,0,0
4ed9b03a9cf9366629acd8f2d9f3216e,8.42389320987627,0,0
e170c8ae201613bec248c8e838b64d23,0.0,0,0
2d9a3610311ef9d7fef8f6f90d0be418,8.42389320987627,0,0
5f64a5a4101ca5158c0982eafddb6789,99.99999999999997,0,0
c0feb4c4a7bed34721d57bd9cb0c2631,0.0,0,0
a56eff0d6341148e0f157cf2afbc7dd9,16.0,0,0
2c0cf253f8d1c43edd7b09c23942f3cb,28.938266943933858,0,0
d70b0125524607d2a6a63c30dc65fd56,-52119.271817984685,0,0
897c3b838eaa6b39dcedbe31ee06a726,-1.247428872273156,-797.4074431241387,-1.0745579863531587
7000c630ee147f12244e07ead9a08fce,8.42389320987627,0,0
fbade0f317634e900772b68353c61994,0.0,0,0
c0da7e784e7e887550b294eddcf287be,0,1.066513899167411,0
668e339c5353e6b261e807b5640cda5d,0,1.1287629199736742,0
Colors,"#ff0000, #25df50","#8B008B, #3593FC","#8B008B, #FCA94A"
