,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs unknown plastic,Late: aliphatic vs other plastic,Late: aliphatic vs unknown plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm,Early: unknown plastic vs biofilm,Late: unknown plastic vs biofilm
4b2085768735ae8c74f00bcd9bf9705e,0.0,0.0,0,0,0,0,0,0,0,0,0,0
d35b68fef21e15ec514f43e7bf3d283d,0.0,0.0,0,0,0,0,0,0,0,0,0,0
f03caa9f0775a11cc28c971eb975e0ed,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
762044de8be2c1cc2c9e3072856a5adc,0.0,0,0,0,0,0,0,0,0,0,0,0
f974c903d27807d64dafd08071daafa5,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
39d4bad2879281ffb1125a3903d4effe,1.1534673639952544,0,0,0,28.938266943933858,28.938266943933858,0,0,0,0,0,0
c93836927d39c0db66b27bdba78b3a42,0.0,0,0,0,0,0,0,0,0,0,0,0
67ae115905f31d0825e7b435e989b4c0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
f2a714d8359b9189946325a8f81ba346,0,0.0,0,0,0,0,0,0,0,0,0,0
ee483e80083681e32fef0e05939b9e4b,0,0.0,0,0,0,0,0,0,0,0,0,0
4ae579c75eec9259b3674015d5ddd1f2,0,0.0,0,0,0,0,0,0,0,0,0,0
32ff741977ececc28c5f9cd6be160100,0,0.0,0,0,0,0,0,0,0,0,0,0
f544cc417880717ce8871851e2fb53dd,0,0.0,0,0,0,0,0,0,0,0,0,0
bf0f25e0fdd7e4ce9e29710b59863b1f,0,0.0,0,0,0,0,0,0,0,0,0,0
6a06eec35056fd04d7eec429d2e9def4,0,0.0,0,0,0,0,0,0,0,0,0,0
a4b5a0b7035aa2b3c68b10ef368a133e,0,0.0,0,0,0,0,0,0,0,0,0,0
f765a870ef412e5acea9e5a2149738a5,0,0.0,0,0,0,0,0,0,0,0,0,0
84451f17a9d274414b433a8944adcc7c,0,0.0,0,0,0,0,0,0,0,0,0,0
2d14da0517d4ac2b7d57fe1544049478,0,0.0,0,0,0,0,0,0,0,0,0,0
e0ca32ae16b1014ba2bc2cfabb55ec37,0,0.0,0,0,0,0,0,0,0,0,0,0
9ae4e592d2dd081e2781c7fbe8f120c0,0,0.0,0,0,0,0,0,0,0,0,0,0
9cafae9e96dd3cacea4d6d1dbb059759,0,0.0,0,0,0,0,0,0,0,0,0,0
efb93ae3655fd3571534f46e32f7635a,0,0.0,0,0,0,0,0,0,0,0,0,0
a66e4cea3b49ed188a0493c84c781478,0,0.0,0,0,0,0,0,0,0,0,0,0
62e560443baabe436d07c65699615487,0,0.0,0,0,0,0,0,0,0,0,0,0
f4c9bb81bbe3ad6b07df45719a892870,0,0.0,0,0,0,0,0,0,0,0,0,0
6db516bbe41a36fed551cb08917b6e9f,0,0.0,0,0,0,0,0,0,0,0,0,0
17105e4f13a4f051c5116fe72f03fee8,0,0.0,0,0,0,0,0,0,0,0,0,0
67665e2c467a725a9fcb0cbe24e4d673,0,0.0,0,0,0,0,0,0,0,0,0,0
a562b4926ab989d46a1f1736a1e800e2,0,0.0,0,0,0,0,0,0,0,0,0,0
884ea6dc62a0a34dcba45dd89f8932f0,0,0.0,0,0,0,0,0,0,0,0,0,0
334b3846d287d263d98bd846a72f61ba,0,0.0,0,0,0,0,0,0,0,0,0,0
ddf7062f0e9d6c6373601f72a1eb6291,0,8.42389320987627,0,0,0,0,0,0,0,0,0,0
69e66fe540fb8829cd080db780b954ae,0,0.0,0,0,0,0,0,0,0,0,0,0
f0f6860ad309ae11dfac91e91aaad9c1,0,0.0,0,0,0,0,0,0,0,0,0,0
f5bfd06c7db00350ee84e5c79cf19c1b,0,0.0,0,0,0,0,0,0,0,0,0,0
73bf5f9a8d9f7913b75b68851202cd35,0,0.0,0,0,0,0,0,0,0,0,0,0
ecbaa507bb274cc116e19ccac10093e8,0,0.0,0,0,0,0,0,0,0,0,0,0
8cb56911a2b9040f6b9db974003bf1a4,0,0,0,1.0123058698769736,0,0,0,0,0,0,0,0
4d800c3b2f2f1f8cb23a89a45e3d8ec5,0,0,0,1.1287629199736742,0,0,0,0,0,0,0,0
21198426200d0e66b5115fdab149ff18,0,0,0,-1.0776143301457457,0,0,0,-1.0776143301457457,0,0,-1.0776143301457457,0
23edcac7d30c1894d9b849124e424eb9,0,0,0,-1.0964725761574543,0,0,0,0,0,0,0,0
98db53fac0e3409e319e4acabb66b94a,0,0,0,-1.0515435878097485,0,0,0,0,0,0,0,0
a3ce7240c0824bf6aee9372f427fc954,0,0,0,-1.013815630185991,0,0,0,0,0,0,0,0
437c3825020566bfed68baa731eab1b4,0,0,0,-1.045228324919567,0,0,0,0,0,0,0,0
390844a02bc29380c25f7d24245bd07c,0,0,0,1.0535490615074923,0,0,0,0,0,0,0,0
ae6b42332cf256977353bbde3e3edee8,0,0,0,0,0.0,0,0,0,0,0,0,0
35784a81d8adea62c0bb484838a7b509,0,0,0,0,0.0,0,0,0,0,0,0,0
b8ddfc6c2ae7524e2a6671d856b7d4ef,0,0,0,0,0.0,0,0,0,0,0,0,0
44160f493fbd48c4dda3a20934d666b1,0,0,0,0,0.0,0,0.0,0,0,0,0,0
abf1a733cd7dea975b8b4c85be2041cc,0,0,0,0,0.0,0,0,0,0,0,0,0
ef8ca82d1e8c6d13b2f5bc37ec28d7f7,0,0,0,0,0.0,0,0,0,0,0,0,0
57dde192ef7a152e9402964ad8385b65,0,0,0,0,0.0,0,0,0,0,0,0,0
5c7eb04e92014f0b471bb0f62226cdda,0,0,0,0,0.0,0,0,0,0,0,0,0
7f1da50ee56d626264361b7b1a058247,0,0,0,0,0.0,0,0,0,0,0,0,0
9329664f04de24d5dae16146ca45b3ce,0,0,0,0,0.0,0,0,0,0,0,0,0
f1b99037a6c9e8bfd3b5613482e10f81,0,0,0,0,0.0,0,0,0,0,0,0,0
b4f82ea67416b1a10e084a9dca04978b,0,0,0,0,0.0,0,0,0,0,0,0,0
e48f0415c755a58e0a0c541963963924,0,0,0,0,0.0,0,0,0,0,0,0,0
e232e6f4a873496656969a88cbe7f732,0,0,0,0,0.0,0,0,0,1.2528880399491493,0.0,0,0
0d57cf7470831a0ef6691288a0303eea,0,0,0,0,0.0,0,0,0,0,0,0,0
14cbfbff578d66019bd47d58c798b4c3,0,0,0,0,0.0,0,0,0,0,0,0,0
2191a03af1b639ae410ef259dc0744df,0,0,0,0,0.0,0,0,0,0,0,0,0
619ca57b4c399a4b4339ead1a7c0a912,0,0,0,0,0.0,0.0,0,0,0,0,0,0
cd8e39d6d28e95f245c7fef0dfad3e50,0,0,0,0,0.0,0,0,0,0,0,0,0
6f4a3bba59c65e18341155d71bf00501,0,0,0,0,0.0,0,0,0,0,0,0,0
7f29fb0bfb5d2c5a19ee9729021cbdbd,0,0,0,0,0.0,0,0,0,0,0,0,0
e5837f0a8c7e96dee3e1da594bd37164,0,0,0,0,0.0,0,0,0,0,0,0,0
7732a2a63b458a970e9b048b496cd751,0,0,0,0,0.0,0,0,0,0,0,0,0
0917b268f62a9053c2f6dccd890cb998,0,0,0,0,0.0,0,0.0,0,0,0,0,0
f7713f5e77b9f970e19665512b4e16be,0,0,0,0,0.0,0,0,0,0,0,0,0
69550e9e4b4aed16b2019ed25f6ea93d,0,0,0,0,0.0,0,0,0,0,0,0,0
718c201d4d7fbb3c35c85c6aec16f11b,0,0,0,0,0.0,0,0.0,0,0,0,0,0
aad30cf12e89a99c66835854f1944366,0,0,0,0,0.0,0,0,0,0,0,0,0
7cff51189ecf4417fa0d061797725008,0,0,0,0,0.0,0,0.0,0,0,0,0,0
ae870c432507512d53146bf2d47eb2ad,0,0,0,0,0.0,0,0,0,0,0,0,0
3fb03c63ded2e74ed6452d2f9fb11777,0,0,0,0,0.0,0,0,0,0,0,0,0
fa690429601ad4d6c2c200b77e4e72c8,0,0,0,0,0.0,0,0,0,0,0,0,0
5ad892a928747f53a9d3eb8c4e10b88d,0,0,0,0,0.0,0,0,0,0,0,0,0
9e0053a554db7ed4d9edbb476f708d62,0,0,0,0,0.0,0,0,0,0,0,0,0
31474016703682176913f2143d5eaf81,0,0,0,0,0.0,0,0.0,0,0,0,0,0
bcdbc323daf596849a3f80943f9b69b1,0,0,0,0,0.0,0,0,0,0,0,0,0
1fd5fae00a0faceb65fd228d1f54f37f,0,0,0,0,0.0,0,0,0,0,0,0,0
6fd99ce846b3539419ef7326c0391019,0,0,0,0,0.0,0,0.0,0,0,0,0,0
b45151a8eb9792d03cd371a6c88e263e,0,0,0,0,0.0,0,0,0,0,0,0,0
9bab55bd4fac54ad3354cfc3598f83d6,0,0,0,0,0.0,0,0,0,0,0,0,0
0b9fdcdc35f2b2dd742be90dce3d9bbf,0,0,0,0,0.0,0,0,0,0,0,0,0
bc0b372d13f80435a1c28c221dde2bfa,0,0,0,0,0.0,0,0,0,0,0,0,0
79013deca000adea00e0362f2ab16111,0,0,0,0,0.0,0,0,0,0,0,0,0
9cdadd8a7359a3163fb31ad06be74e8c,0,0,0,0,0,0.0,0,0,0,0,0,0
5c755c0ef612ea69441f98ca8775cc5b,0,0,0,0,0,0.0,0,0,0,0,0,0
63ffc596781727668a90d6da135a33b4,0,0,0,0,0,0.0,0,0,0,0,0,0
a7a963bf0fb0d67274c1d3c9769263b9,0,0,0,0,0,0.0,0,0,0,0,0,0
f2e6bb412b06ad38aa1c45d953f5912d,0,0,0,0,0,0.0,0,0,0,0,0,0
78f2c2268db988cac2def07f960a8384,0,0,0,0,0,0.0,0,0,0,0,0,0
9def3ee20938aa267a8c345fcc112f9d,0,0,0,0,0,0.0,0,0,0,0,0,0
5183d97b2862d0ab4cacfd081ab5d0fe,0,0,0,0,0,0.0,0,0,0,0,0,0
90e06b89d9a5422e5eeef47d973612f8,0,0,0,0,0,0.0,0,0,0,0,0,0
d688b3c0a58f9264dff83c017075c926,0,0,0,0,0,0.0,0,0,0,0,0,0
d567ed57f027660222f83cfcff0e8058,0,0,0,0,0,1.2528880399491493,0,0,1.2528880399491493,0,0,1.2528880399491493
f0d85852b1b414e978584fef01fa41eb,0,0,0,0,0,0.0,0,0,0,0,0,0
919391e8ecf220e459ce0ceb45c47428,0,0,0,0,0,0.0,0,0,0,0,0,0
328e0479460a254ba5bfdfbd48e92f98,0,0,0,0,0,0.0,0,0,0,0,0,0
555b33eb3c6ce5539cd445d2eb736bd1,0,0,0,0,0,0.0,0,0,0,0,0,0
b95f9f8c21787d115880265f226066a4,0,0,0,0,0,0.0,0,0,0,0,0,0
4bbec3bb723375416616a87d785ac74a,0,0,0,0,0,0.0,0,0,0,0,0,0
c4b4eb88228f525fa5022dc43b06db26,0,0,0,0,0,0.0,0,0,0,0,0,0
92792d265412926addf016a77f25aa4e,0,0,0,0,0,1.2528880399491493,0,0,1.2528880399491493,0,0,0
bfc6e4a3e2141d9b5c2ca404081ee3df,0,0,0,0,0,0.0,0,0,0,0,0,0
005d2313f12b94d19a1c28ad0d0df36c,0,0,0,0,0,0.0,0,0,0.0,0,0,0
ebe09965287411f89cc56280f9790a4d,0,0,0,0,0,0.0,0,0,0,0,0,0
3296d305e3f6ed0dae4669b5b8c4e9d3,0,0,0,0,0,0.0,0,0,0,0,0,0
27895cfbf4096a184ad2c1fd271feba7,0,0,0,0,0,0.0,0,0,0.0,0,0,0
74013580597bf608010275301bc7e245,0,0,0,0,0,0.0,0,0,0,0,0,0
d06c89b4a0d8090e10a3266deb939c56,0,0,0,0,0,0.0,0,0,0,0,0,0
871882488d08afb36ccadd30139a4eca,0,0,0,0,0,0.0,0,0,0,0,0,0
67f5d9563f0db6c7c5f218b9a6c0f61d,0,0,0,0,0,0.0,0,0,0,0,0,0
4ce1805b5c9e3a0e76fa691d979ad98a,0,0,0,0,0,0.0,0,0,0,0,0,0
bbd7983db659b8bc0aedf0b3616630ca,0,0,0,0,0,0.0,0,0,0,0,0,0
cb8c1525be8887d65dfdbfb80f627026,0,0,0,0,0,0.0,0,0,0.0,0,0,0
09a5539f81edd55c5cdb79d0783347eb,0,0,0,0,0,0.0,0,0,0,0,0,0
5498d65c6f3e6fb51956fb0751a7f783,0,0,0,0,0,0.0,0,0,0,0,0,0
97878b17a03213633ae3741c628aff95,0,0,0,0,0,1.189207115002721,0,0,1.189207115002721,0,0,1.189207115002721
999ea497bf071f558453bc8706e90bc3,0,0,0,0,0,1.189207115002721,0,0,1.189207115002721,0,0,0
e7ec7f4a6af87d8d8cbb1a4dbf5f55ef,0,0,0,0,0,0.0,0,0,0,0,0,0
cc246c2e29481ed5cfcd612810ec2b33,0,0,0,0,0,0.0,0,0,0,0,0,0
e018027ae4ac53f0766656b67ac716cd,0,0,0,0,0,0.0,0,0,0,0,0,0
997bb90b28468948b9b50991a2502ce1,0,0,0,0,0,0.0,0,0,0,0,0,0
5c243b8bdb634ff6186d229843bc5820,0,0,0,0,0,1.189207115002721,0,0,1.189207115002721,0,0,0
2d38257078f724a8161cd6552acf5dfb,0,0,0,0,0,0.0,0,0,0.0,0,0,0
f0c51a4fd75096ee36c01c63fbc31cec,0,0,0,0,0,0.0,0,0,0.0,0,0,0
4604894a7cccd3b21150b7ce2e54b204,0,0,0,0,0,0.0,0,0,0,0,0,0
