,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs unknown plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs unknown plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm,Early: unknown plastic vs biofilm,Late: unknown plastic vs biofilm
8f19b7a58894b7e4dab2411dd3197762,1.2528880399491493,0,0,0,0,8.42389320987627,0,0,0,-1.0629292921317954,0,0.0,0
3fb03c63ded2e74ed6452d2f9fb11777,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
147e26e9b59ceec4f7759ca0ca4a6a58,1.2528880399491493,0,0,0,0,8.42389320987627,0,0,-1.0169350244250133,0,0,-1.0169350244250133,0
69120d6623aa8c9fca6593be4216554a,1.0713909405970714,0,0,0,0,1061.410035380192,0,0,0,0,0,0.0,0
fa5cf7904c35a1a3682e120f28939b5b,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
d6061df8c4e3c0b334953adab14faf49,-1.1778212992849464,0,0,0,0,-1.1471735949388113,0,0,0,-51.612639443103255,0,0.0,0
340b0e69f7e38e3cae95739bd685a8da,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0
74d9ae9611fc75a49765cf28622fb8de,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
ca7ac1d1421694ee37bf8d15ec9134e0,1.1401633146217924,0,0,0,0,0,0,0,0,0,0,0.0,0
a2c39461c60086cd3b9e68a91a33e1f3,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0
a562b4926ab989d46a1f1736a1e800e2,8.42389320987627,21.54434690031884,0,0,0,0,0,0,0,0,0,11.759454142109306,0
9d117c903d01fafc549a3d05970373e1,8.42389320987627,5.649559819547833,8.42389320987627,0,0,0,0,0,0,0,0,8.42389320987627,0
5166a299b241088221dd8ea951f10155,0.0,0,0,0,0,0,0,0,0,0,0,10.275374840534774,0
eed38f0f1435902ff32ab23d429fd358,1.39102873205103,0,0,0,1.965730110549772,0,0,0,0,0,0,1.7495487456130352,0
a4b5a0b7035aa2b3c68b10ef368a133e,16.0,38.969714394746404,8.42389320987627,0,0,0,0,0,0,0,0,8.42389320987627,0
2d9a3610311ef9d7fef8f6f90d0be418,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0
c5e3e495cb33882d396dc0ab22c299f0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0
bdf6628bdcc402f9100bdd262ef328f4,0,-1.5574487885066662e+17,0,0,0,59351655.80504592,0,0,0,0,0,-4.890269947321714,0
48989212ea27d39e6d42abad1554d9b4,0,28.938266943933858,0,0,0,28.938266943933858,0,0,0,1.1534673639952544,0.0,38.969714394746404,0
8744411142649d2009f683c6cc0b1fcd,0,0,0,-1.090188523745866,0,0,0,0,-1.090188523745866,0,0,-1.090188523745866,0
6543fb7002ef3565144ca8248bbdabd0,0,0,0,0,0,1.2152344588167212,0,0,0,0,0,0.0,0
4672cfb7df31f9071fcf4bb20f3c91df,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
d70b0125524607d2a6a63c30dc65fd56,0,0,0,0,0,8.42389320987627,0,0,0,1.2528880399491493,0,0.0,0
9ab0e35a677bf6eabfb0ccf857062a75,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4c0770efbaa62146f8a6aea48ed97b1f,0,0,0,0,0,0.0,0,0,0,0,0,0,0
8e3debaf9e4cf3defdf2447838bc212f,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
9fee33a55848c917b2ea48017bf0d9d8,0,0,0,0,0,0.0,0,0,0,0,0,-1.1169946797214712,0
