,Other plastic: early vs late,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
8744411142649d2009f683c6cc0b1fcd,-1.0515435878097485,0,0
c8cebcdb4413a4d1d0939a7776cfe715,1.0218863001117686,4341935409.479764,0
b86a75df482f0fc6da75c20d1c434a62,0,1.3197805553566992,0.0
e15844b3dabd49a2995f936c5b616330,0,-21.212093761493342,0
da9cf7b18aa190e3a931150ac78cad62,0,16.0,1.189207115002721
ed98833c5e25c1fc8a0d13192509a9f8,0,-7284.604829237383,-1.0555086964572047
c0da7e784e7e887550b294eddcf287be,0,1.066513899167411,200.84756458211325
6a16ce308c0dedac37d27825d44a7987,0,0,0.0
5a7b179b1b45f0fe2282f260bf073f60,0,0,1.1534673639952544
a2a01f110fdae631de98e7bc9bc6150c,0,0,0.0
4fb4af722997cb4bb1e8afaecf9855ea,0,0,1.3176251600253115
147e26e9b59ceec4f7759ca0ca4a6a58,0,0,0.0
cc86c15357f8c5ba4b55e5379b07ae38,0,0,0.0
1516cd1f7a1e4da4a9318783cb437b3f,0,0,0.0
2c0cf253f8d1c43edd7b09c23942f3cb,0,0,0.0
cb76ce3c9488571137c22fd5d6627d9b,0,0,0.0
48989212ea27d39e6d42abad1554d9b4,0,0,-1.5091044272558543
Colors,"#ff0000, #25df50","#8B008B, #3593FC","#8B008B, #FCA94A"
