,Aliphatic early vs late,Other plastic early vs late,Biofilm early vs late,Early aliphatic vs biofilm,Late aliphatic vs other plastic,Late aliphatic vs biofilm,Early other plastic vs biofilm,Late other plastic vs biofilm
8445a1f534ecb24fc028061470634f03,0.1064921830680703,0.046771660839286106,25.822784943251527,0.038725489996435804,1,9.390360599151164,25.822784943251527,0.046771660839286106
d0dd24560a7bf1602b42c8242efda52f,2.2217591123336713,1,1,1.7913389267499495,1,1,1,1
e25bae974108b259222155fcd1ed2c93,1.0,1,1,1,1,1,1,1
afee6a2280347eeb42dd3bb967ee73e2,1.0,1,1,1,1,1,1,1
c0da7e784e7e887550b294eddcf287be,-1.9657550898893215,1,1,1,1,1,1,1
90b38f7272c6b47574fa1ac86467539e,0.16195437047215938,1,1,1,1,6.174578661166196,1,1
5a7b179b1b45f0fe2282f260bf073f60,1,8.194762645300605,25.822784943251527,1,1,1,1,1
5166a299b241088221dd8ea951f10155,1,0.6375593069636709,1,0.5331444701473408,1,1,1.7957040436704894,1
ba3604f1b4e039b4b583368de2ef0b99,1,1.0,1,1,1,1,1,1
147e26e9b59ceec4f7759ca0ca4a6a58,1,4.854906619166852,1,8.194762645300605,1,1,0.2059771852360797,1
fb605b20f7842001a4dc80ccb36dffa2,1,1.0,1,1,1.0,1,1,1
f270b88dcdff6c7d26cb3ae6af0d46f9,1,0.5553814339873981,1,0.45949500292192463,1,1,2.0772403789923213,1
ccdedc613074241e31a66eb74eb715d6,1,0.2257724967479859,1,1,1,1,1,1
73b25afe097792213b9e0c4aed49d1ab,1,-7.9184404071514045,1,1.9976804770246646,-57.11196233891412,1,0.8890328151491939,1
c36b9a61196ae1b1cd2f890022be67ff,1,12.372164977496382,-3.0617907003046954,-2.169925001442312,1,1,-0.2474741248499158,1
34a94b861609f01f7b1a5fede2cec3ff,1,1.0,1,1,1,1,1,1
48989212ea27d39e6d42abad1554d9b4,1,0.15311524909563218,1,1,1,1,1,1
1b8464a5028cabc478bfeadbd11336b2,1,1,1,0.1505149978319906,1,1,6.643856189774724,1
e47e6ee33f98d11c35b1647d27825eb4,1,1,1,1.0,1,1,1,1
9330175d2b374ecffac2290db274c2cc,1,1,1,1.0,1,1,1,1
c0ddbe96bb6b5151b0e315f42e513c48,1,1,1,0.25,1,1,4.0,1
Colors,"#ff0000, #0000ff","#8B008B, #0000ff","#ff0000, #0000ff","#ff0000, #0000ff","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
