,Latitude,Longitude,WaterOrSediment,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH
bf7c288e56837b9f97547481762972c7,0.05120456531951636,0.0,0.0015377931892509725,0.005251978971922471,0.0041526858710781624,0.0032729623545217916,0.0043493733622058245,0.0015139314002712162
cddeb4730930248f3e3b7072bb3f84db,0.043377983400419484,0.0,0.006301962522941682,0.00303809446302522,0.0036136205641628277,0.0037893994481568603,0.003722330162809853,0.0006514187134186154
db9f9a996631b9b479ec28ff02394343,0.03513745023650925,0.0,0.0024395196073390283,0.006952647305487784,0.007006665682450862,0.007940244739060189,0.006032532530585865,0.003027364980809386
aa484336a6905271653212c83ec98b32,0.026713206674291848,0.0,0.0074298590919598595,0.006376672979324969,0.007122041714223813,0.007282213191565612,0.004371518125070784,0.011124029025938
b02b3d9f477c9d1b771a8a5ec6b5b8ed,0.0263283857103396,0.0,0.00842090426529182,0.006389779151400645,0.005172632853758436,0.005886598669344425,0.003017895504979406,0.003988957967403561
342eca328b16a2c6156119cb6eac07ef,0.024843664003247667,0.0,0.001444828248025655,0.0019599436629548694,0.001156459847520268,0.00268633448599163,0.0013517171951735942,0.00046290467217312736
e17f20cc08fbbe50140cbe85806907b8,0.022771806842425298,0.0,0.011348466415772274,0.0074451071762255865,0.010019118498716662,0.00830695196275484,0.007303092707302808,0.014411594513045821
35ecc1db7dce7aa0e9a33f0c15c587df,0.02181022152615888,0.0,0.0008871438712106103,0.002501570896475937,0.0013417181459331776,0.0029109321151202044,0.0013978412582129809,0.0004862545039385401
340b0e69f7e38e3cae95739bd685a8da,0.021688187753858636,0.0,0.011719037536316894,0.009158309225695015,0.008402660869208886,0.01149844307993591,0.0059394850241808765,0.035481673869106174
d6d42dd518266427882182f9ccdbd3a8,0.02022195896537373,0.0,0.0020019101632239448,0.0010057704711125654,0.0027704113379173954,0.001342273654751757,0.0038803729484688256,0.0013770770478891737
a609a5898b541da6ace1e25b3f0e30e3,0.01810113127840974,0.0,0.001973363300885574,0.0009060624476094603,0.002351523637638761,0.0006615346636200857,0.002548166506377646,0.0011517964795300345
90c359420cc573582758884f51af9260,0.018036344008453935,0.0,0.00840157939585308,0.0015949466172440233,0.0010751758393409362,0.0017419110463622938,0.002123318687482045,0.002649502823218022
90722a58387204d92de2be9d7daab6a2,0.017703874366724322,0.0,0.0034706217853175,0.003061146546307352,0.003887547352253034,0.0046005357913949056,0.004464046595417664,0.0009279017519654097
15e1b6d3453309fa231ff63d2b3c8a9c,0.016200697356006703,0.0,0.015048754985059755,0.010444662568666763,0.014716607866750137,0.009119918448378181,0.009250743410949223,0.007977418055341043
ba4148cb7a30f59db8ff37161f6f82fc,0.016105273635185997,0.0,0.005451197264345582,0.004458292997990401,0.006600351478994083,0.006587048407811242,0.006928900342511109,0.0008852122431429023
fbb28971630d9217315585ec7b2ee1c4,0.015931392525874354,0.0,0.023230053242668275,0.006973437927093627,0.010229774327733409,0.00886553359939417,0.003976247520622398,0.008591417408636845
6a4109d02d1153bb66264fe4f2ec2186,0.013941259666696515,0.0,0.000903799262771784,0.0039681431127759825,0.001665045962762334,0.0032091200644703824,0.0022067476944996516,0.00018028195825799175
5a845e0ea4818d7f905f95d6c7feb660,0.013446083915928827,0.0,0.0009125828194479852,0.0006542991775889466,0.0015015769460163108,0.0006636527274470039,0.0013925580466953543,0.00026035459734402783
