,Latitude,Longitude,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationGeneral,Temperature,Salinity,Season
fa34124e6535e4037dd47166a9aed76e,0.07344114110203258,0.0009051677355924199,0.0006485274743903537,0.0010499439164151087,0.0015178331479380098,0.0019010034334161605,0.0011218509013351651,0.00014799187350905343,0.0005337764705448374,0.0019761932609150537,7.424518495898375e-05,0.0014190711691435879
52830a247dc6101eb1441e28a593ce08,0.02673243224646863,0.0017040494979249636,0.0025094111097192363,0.0032943243508786572,0.0030436495713485573,0.0034789594824342386,0.004102974633189281,0.0024268800501599554,0.002874962295809959,0.0014665868971750992,0.0022320233301727386,0.006198056874272712
d6fe9f8deb2554efc06521aa19800682,0.024916188908904145,0.012426992600523575,0.008279943733034187,0.00711041504655502,0.006686234258547388,0.00798832633179005,0.006747791210080063,0.0022912656104599307,0.007140234211306171,0.005162414387949354,0.014002039690415035,0.012301532669547175
06502a7ad8330fdbf8449c9d133b9e51,0.018826720398146302,0.0017368148382400914,0.0008000804734723647,0.0019488569922940409,0.0012069111509488515,0.0010463380220631364,0.0023641389149434322,0.001105052829644953,0.0036611894755717864,0.002930674663034944,0.000567061323141472,0.0019314244370945421
3064cab665172c8f33f645da13512b4f,0.01733660760330513,0.018197207450842735,0.010553109518427884,0.013157395971945731,0.012059280622737444,0.013099899256892682,0.01440417109481807,0.0034126857932414963,0.009535782176905632,0.008671260866835567,0.014367868122507383,0.016652387521796923
953c2bad32925cc44a0f63f5dbe5fcbf,0.016699370720901583,0.004495887257593866,0.014257571819793737,0.009750440994223333,0.009277954771496864,0.00837925555415305,0.007103361357398947,0.003005484223951914,0.014484745277655031,0.0028193914359905094,0.025055683764177328,0.017079200748952403
5f5d33c5e55bf3621797bd2f9acca067,0.016138042472423453,0.005607410091061079,0.006473884123385862,0.007404063594705516,0.007613640021994896,0.00797350837860136,0.008054933798155433,0.005415992123711762,0.0068589521134047,0.007480429354140486,0.007844975041943382,0.01409343521975346
d35b68fef21e15ec514f43e7bf3d283d,0.01550044006952575,0.00804080221412087,0.005987566442031722,0.0063792579791968305,0.006915481891109024,0.006800663332152739,0.006540020674590555,0.002578828068864749,0.008469003723021921,0.009511071338638282,0.020008802786163068,0.009111331669290715
d9c558b43b91fd59ac0e5cdadc825334,0.015014712824091569,0.01899593221285814,0.00883203445648018,0.006702490448935906,0.007521235982096515,0.007616481153402291,0.009696268100101288,0.0006969760162854028,0.005879290177771648,0.006848066290563552,0.00838243446614043,0.013017474838845465
af1d8bd7ee952fca43324def6fb2092a,0.014037426965750634,0.015951491453878943,0.005898157245969618,0.009219378947313308,0.006486156522882528,0.006988703427478645,0.007492175304065127,0.011491410398250463,0.005236929826476991,0.008819211098077028,0.004986881344151465,0.0077044640287344136
875b58863fe25c17bfebcf56248976ec,0.01356217947026558,0.0021552948191656584,0.002393897513289051,0.004298594301417984,0.0034097396721258773,0.003627049917602482,0.0034133048479175177,0.040626441605695965,0.0017309723244159682,0.0013940661001537868,0.0010201181464516245,0.004267163362841304
eebac1ea6be5626296f86b16cde31b66,0.013240993543377442,0.04390325321568542,0.013668904048808073,0.01324307132695661,0.01665107734380905,0.017704924070721894,0.016684034171028674,0.0062518167405227094,0.010122185075113308,0.01615439393570531,0.010518572238668424,0.01533890262928726
efb93ae3655fd3571534f46e32f7635a,0.013048000246087823,0.009325212762524205,0.017325732069146102,0.01097914206361402,0.009283096529548404,0.01155649201478283,0.011101905019729689,0.002602796188875161,0.019848456580843325,0.012316335286753386,0.05210327739225479,0.009485654655214991
fba3a1a4149bf309476e3d147e77efe7,0.011891846369285529,0.017771869430140315,0.011429102318607923,0.013439366899543937,0.012352337435911125,0.01397222074040991,0.014106591299958952,0.007678823497762226,0.010411854328146244,0.01217662489283471,0.010338081386311766,0.01582919269232952
4e92be5f2ba6eec92c324b951b19ed74,0.011161223153733326,0.006401821629809554,0.005257123278763783,0.0029007999391337225,0.003546438729637981,0.0031741043679293815,0.00330921091767721,0.00027139895380885607,0.006896769189129219,0.0006463383630938019,0.0014443695063540653,0.0031840797721413953
4ae579c75eec9259b3674015d5ddd1f2,0.010910606930329504,0.019822664679196,0.011228486036863652,0.009572794131387102,0.00925024135945822,0.009565088145682814,0.010367827096007726,0.007571211243257376,0.010186971165737304,0.01189436219936359,0.019089758381583544,0.011082609956640697
9cafae9e96dd3cacea4d6d1dbb059759,0.01029972574939329,0.0019216617719167647,0.011562124296612067,0.006208122652758663,0.00841518160275266,0.007080722698306871,0.004905525988616514,0.006198183165582657,0.005245990967005903,0.0027246327751388245,0.006696669435056931,0.007725825881656688
d9f3ed1d204f6c5b1500ca3557dc99d2,0.009971399952662848,0.01918388641103921,0.010382217899298819,0.013193291129376178,0.011596460191514538,0.014050535800267522,0.012898359744059555,0.012662571267167484,0.00946982585890906,0.02514353851503905,0.019199938614710397,0.013667444986220002
