,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral
c2f34082d1e366c6c60199d72f04b2ff,0.032436663342786685,0.03153410227197724,0.04320597401191251,0.02853866065333825
dc94149d0cf709c9b59baadb34d56632,0.028553372357285164,0.0071634965343394755,0.006222626566545968,0.005980945773002296
854e03ff6038f2a141080b4f186a1f20,0.02829711692206951,0.047224987374485626,0.03180675234961928,0.026736855254056124
c47c33246a2ed0f7e23d636e9e3c58ee,0.027555717336725048,0.049213285965648064,0.035547118880452214,0.0462080174988942
378c2353e47bab357ba7dee4311f363f,0.025598636693080743,0.004612616071618805,0.001534048635497911,0.004362705120251488
29cc946665c481dae6c155a0a9f48f74,0.025465423220278106,0.007651214589947991,0.007535132535132537,0.009738466634443362
88f127fe3a140d751f366226d300f85d,0.024312733025488628,0.0061284817749893625,0.011772213351694137,0.006666967870329902
d4056c1ed430ae9ef35f852c935b6ce9,0.023772381156019363,0.0063174893838698325,0.004975697182687594,0.007217008612172287
caa0966132bc56346c71df8156c659ee,0.02358635665388199,0.01181290566271707,0.010278992421849566,0.016739809444856063
a44f054148dce0d2745fffded296d57a,0.023445106167320328,0.007653472231175221,0.0065467881865534094,0.008325766260397844
1ce7293e4d21e35594c6cb7645a1fdd5,0.023404229445754706,0.00900408883300501,0.015317360446704975,0.02024072542579283
19c54d31fd6ad757edc976f7f2ae9a22,0.022719901632647865,0.03705292596181902,0.03883115086178328,0.03135198837796216
71e2b7df21f054a13c67778bd313ac88,0.022061860869280282,0.007956352440555457,0.012486838448986057,0.011633110349412884
98ffca66644d8d2ba6d463090e6d3a23,0.01984141659930682,0.009331095326287953,0.00733382253069416,0.007975788374663792
3ee05fdc8eeb48bc0fed4396176a71cc,0.018523540755757906,0.031978044472889385,0.019655097855580946,0.03607913268286571
b2c5a27bd2fd0283ab41388ac6c896a5,0.01849409145208484,0.005196931468717119,0.0024932653478752765,0.004563343389317857
43d8979d52d1de83df6e15a3bd899fbc,0.01765928007469648,0.022943019371110377,0.006350685484066556,0.021897019404207498
11866d2d9fb174e0b94c24b87eea2c80,0.01716311259570361,0.013051009267348633,0.017447439098782054,0.03242098116155553
179ce616b360fbb4652972885d8e5b84,0.01674262885566299,0.01753496213034458,0.0056222298070124155,0.009456703545632826
554d4400b34f2ed3111f7f741a53a7e5,0.01641375853544703,0.04800803058103601,0.020548728600649244,0.04822782282918297
fc72bb08bc82152703b73b088d61c502,0.016311071938857013,0.014758468974849977,0.024663109959003678,0.014774333467031263
88d94e2803167ac5073e929175f59936,0.01629533196538617,0.03433683520175475,0.015092400440855792,0.015006093148640877
9e00ba65801ac9d563934dee13871070,0.01574863040481115,0.00290019241504229,0.0008273579702151131,0.003369111072063101
b69d33c2ec8a2e579990470bd9ff683d,0.015226398805558759,0.01912487013216868,0.0393404894279457,0.021363883150402267
5cd91a84171397ca09affda1ec9a4983,0.015162432213404629,0.03213426576846087,0.005917433569131249,0.029864611420005308
2ad121e08d16f50a3801944f85817d69,0.014808198965031109,0.01770553216552905,0.009629648022505165,0.023015613594687952
9603f62b126cedb1bf9c0f5e8d72547e,0.01409611650156077,0.002479101180083476,0.006015214348547682,0.002833421191354771
495c1bd1608a1dad54d3e2824ce899ef,0.0139317112080287,0.021318766613294488,0.012268959238656209,0.019555807754542288
f617931335477584dfd0b193104558b4,0.013827969056294777,0.007878220855874637,0.006789135659359637,0.007311150291167048
7f29fb0bfb5d2c5a19ee9729021cbdbd,0.013675114462114715,0.01547112197275108,0.01905097738431072,0.014508155645833442
243652e1d8501d7dcb91d5fe44189fe0,0.013668166414820814,0.014295237481936677,0.03969767692593779,0.014103394568788098
982e4bccb6613326a75dc6791eba336f,0.013362695772121475,0.009694305636534187,0.01782965000169099,0.009889667470238893
b197c7b86597356d5c6433a732bd1c69,0.013042618546126952,0.02391072843795091,0.017525227467696938,0.04935346809135814
e3311a3407d2ed2e2b06fbfca3c0f3fd,0.012759964867246275,0.022294685651388833,0.026465266544631622,0.02486434767926986
34a94b861609f01f7b1a5fede2cec3ff,0.012737328236956067,0.03218990032145389,0.02466401369503172,0.021713773520734666
20d5ae010708e997b7aaaf0f1826a13b,0.012717117542655082,0.03391126321396918,0.03595099428432762,0.03225059344095278
f8a78ac1fe533ca44bb7bb29fda2ebf7,0.01245835361235411,0.020216547165717216,0.01692978877938228,0.05092476029417541
c93836927d39c0db66b27bdba78b3a42,0.012384777031166081,0.012883396618712867,0.006939194199424379,0.010818786885444747
039d7e58d43105dc0162854c58154a35,0.011880919825194609,0.006676274844499867,0.007767059491197423,0.007355194926675903
96730263ca104bafb3991d0bea756708,0.011414960965980877,0.0148726189353,0.0195847001402557,0.017482669730039282
752a6fa40377f89b67d8fc29af6f0747,0.010976170802370257,0.021261898462968325,0.02315102063725814,0.014067185904203191
9775dd8bbc76e65781081c268471ca3a,0.010192907230436777,0.015530004451131132,0.03429688393456509,0.013409505048652612
d260559d1745514076cef528c1956774,0.00940281789337051,0.00047541031567244966,0.0016061393773249646,0.0006808996661395184
e232e6f4a873496656969a88cbe7f732,0.008792612733325735,0.0076118662172885735,0.0007422194922194923,0.004993541280018277
db30bfa14b0cd36a31d9d1bd5aae464f,0.008763410686162666,0.005755060054173449,0.02095033345033345,0.007043494617896775
79013deca000adea00e0362f2ab16111,0.00866343894220171,0.00030718820397296744,0.0014965087428855546,0.00020500205002050022
94892ea78fb188ecd4e8a1c59539bac6,0.008091352629014245,0.019706375293787406,0.025324675215066154,0.028615604538488156
e4304c9496921fcf8a88c1ef30dfd0eb,0.007763967006094957,0.0034122862359073146,0.004932392160653031,0.002890108149015632
c0331e2005750df9173b5819de88ecf1,0.007753466888827957,0.0014263720617815987,0.003912191412191413,0.001511890118901189
504bda43dba49a4c962dac812c8b799a,0.007673885478345321,0.002528207678729899,0.006909207263817192,0.002836774746368842
a560a8fc4cd6a01f145b3eb72b4cad5b,0.00746598271546442,0.0022087669538007446,0.004734965703345149,0.0024444012421796415
4aa57304b7ddeeab175631a6a91cadcb,0.00744843675232771,0.0019627333226724017,0.0028864091364091365,0.001042093754270876
322858c8a8a889ef5032a6651a04ae1f,0.007428927541167162,0.002869382550256463,0.0051141147426027374,0.002788271930338351
66c75141b6cc5f29b38f794ad6433eef,0.007366001406189959,0.018766901701825458,0.005667024104249741,0.010858371739634425
d0217e3c75a979cd1b13e912a39f3714,0.007130573925933269,0.0017791613210624982,0.0046590868842641886,0.00236606532731994
d0cebe17cac69e42e48178849ab207c5,0.007039498572442905,0.01247410916159636,0.0019635141917750615,0.005626574122884086
ca35cf310ff1db51bd09184c6454f338,0.006995320876319913,0.0018817784703298837,0.001664814164814165,0.002304347804817949
bd6a34bfa11d858066cbd03ee27fac39,0.006937981447154516,0.004830137395101455,0.006065271463822188,0.004580684034353571
6090622dd5beebf1e79a655897f304b0,0.006563104497147039,0.001479235912445204,0.004555546581408651,0.0025751718556146596
5bd14fcfbdc4014b2ce094b21b0e7e1f,0.0064819588940302235,0.00198707731941934,0.005132646039326845,0.0020044843305575912
b23bc69ba6079b692b99365ef222f9e5,0.006381018315345628,0.0025352050340892596,0.006076164907469248,0.0025346573708393536
7f758c4278136c2936757f01e9bc0b7c,0.006189071529528158,0.00037301424768146043,0.0011370948870948873,6.589351607801791e-05
35a443c41f4efefad5c76408ff7a99d4,0.006113773722937709,0.0027456523685677183,0.005069585406079393,0.0026057767191428527
7fe96498443be08b90817fd1b5b6890a,0.005364342350488447,0.0022687793013412513,0.004593985572246442,0.0027699807882784135
d443de3344c85c665e74bbf97db7d5e1,0.005073774491479376,0.0,0.0,0.0
d71f2d20170f5d88d18f50bb64d416bc,0.005066515309535151,0.015342346721608962,0.022989455054672443,0.014023480931313462
f011d65877c50f7e4297ba8e2d1cc8fc,0.004784802342992324,0.0018265746672402724,0.004719381530975735,0.0020702265441288918
86916514fba57a9caa2b55142062d649,0.0047697675660080905,0.0022458568102160063,0.004768025601358934,0.0012706873100477036
26ecc009ce5f0076b5df99ff0ec9a84e,0.004753175959337918,0.0006143764079459349,0.00042087542087542086,0.00011596585588187574
4252298275c4aa325d6bbdd61564998a,0.004680008933996339,0.0028841559150795276,0.004228512751240024,0.002050969583769912
ca2cc9d6ddb5ca316bd03d3ac8868f64,0.004632375879336034,0.010011935103560214,0.00749708610831403,0.004488454655130236
072c1495e90acd0847dc58107e83d746,0.0045586032373428126,0.00828012742043448,0.03324125347934872,0.022372811467755993
1554a1ff448e4c81917965fdf3ea3164,0.00449649652316442,0.001963884182806976,0.004622942122942122,0.0016302255729718903
38421d66789673e27b13640ba5c87f82,0.004086780000452944,0.01158917298978451,0.01888278971612305,0.009454644780844167
37039d713cf162569fff657df0aa3db7,0.004079021051343384,0.00556784385973621,0.001221983558940081,0.004627189129034147
ae4e632f987617f8b6280d436d077d5f,0.004018064197348903,0.0,0.00042656292656292655,0.0
650af899db64755064c5d82fd2d96737,0.003570299685172,0.002425776105860965,0.004541591798085304,0.002638322403124529
8fd372cb3bcacc2b01a8934a383fab36,0.003498036962376583,0.0,0.0,0.0
cc246c2e29481ed5cfcd612810ec2b33,0.003051653337816265,0.0027290340801796216,0.004919872975428532,0.0019908067053730407
d28a9f039bc0d0a23b5daa6316d98b43,0.002954334138768208,0.0018313595608503343,0.005194317694317694,0.002151346809762582
5178e9441cf8c8b2c71fabcd4068b15c,0.002679001512654849,0.01452398164262956,0.007641570141570141,0.0040210622470966345
e91c8477cbe94d1303c258f719e217b8,0.0025058929768965866,0.015367243661638958,0.001741189241189241,0.0027463766701159077
08a646c6732a1c6dfc827730c7960e43,0.0022026470075286624,0.0,0.000819000819000819,0.0
e538267ceb8465a6e2ddde24c27f959a,0.0018825267505486838,0.0030665997028888692,0.002471049473081993,0.0
c5a8bc21db929f2d514dd627ca860a1a,0.00157886155525907,0.0,0.0006142506142506143,0.0
af0734d13d54fc12a56ffe1cea938f3b,0.0014100576939636614,0.00045003703956533503,0.0033359929193262526,0.00317664432055576
