,Latitude,Longitude,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH
19b090dffd88a7709bf8b09589a89874,0.10184471215626432,0.051340568831645186,0.04184737480921112,0.027855303839352134,0.029992360478363324,0.024642300594199095,0.06334698714409581
38421d66789673e27b13640ba5c87f82,0.09212501272857633,0.05146579352870761,0.041136229732870525,0.015123758105139449,0.01804151628873947,0.03477825537188607,0.014869632449926827
495c1bd1608a1dad54d3e2824ce899ef,0.07790770953427237,0.039050714895219676,0.04523933261295896,0.04166984118176397,0.046749540142415884,0.0452283790428072,0.03217668506596435
8fe2cb38ea625c8576eb21a2135e13b6,0.07269033990733187,0.011682380944365224,0.04091653642303326,0.028874515568363814,0.029075522161853235,0.04022976086285815,0.10756124789705349
6f1746660c3ac32775bd720c45c7d7da,0.06207984620445466,0.00021141649048625792,0.0,0.00248525342702649,0.022790607473066903,0.0,0.004118632500189173
342eca328b16a2c6156119cb6eac07ef,0.05025254224804906,0.018337233245498807,0.023462811073458937,0.016052247873156178,0.0054679068725240094,0.005955245647333811,0.0010570824524312895
14816d1caa7ec1ca50502b3ec76789c6,0.04977196597494397,0.015028725943894945,0.01954752842232672,0.015635925308749368,0.015440371445536238,0.014863150483621515,0.01031949672656216
f9386c18a2334d76e64597c7b8a0043e,0.04474499597779932,0.00010570824524312896,0.0036020100975607946,0.0024191422234630215,0.01332921518587398,0.0,0.0011740368903952769
1f8e9b2bf1c23201cd0f7ac8ada43a43,0.044558769503622454,0.0011627906976744186,0.009003389184476135,0.01314630131290835,0.00722150307911441,0.0,0.005681809326162139
c93836927d39c0db66b27bdba78b3a42,0.03327961073157338,0.03428581642876183,0.026729294983578507,0.02561757022734221,0.019153047198646456,0.03185357156650843,0.015206424849751628
af0734d13d54fc12a56ffe1cea938f3b,0.032675723361612403,0.0047103487575773,0.029924817529089872,0.017362840533911524,0.03727601776152265,0.027434568817213432,0.028604054864497786
e3bd4c321c5364d01871ebb503a1dc7e,0.030817056830327465,0.03473376788304233,0.018002459804781695,0.01805852769956386,0.018176948130943244,0.015341950606656113,0.012647856718622142
e7ec7f4a6af87d8d8cbb1a4dbf5f55ef,0.0295945138208917,0.0724077334183496,0.02561038453493112,0.03626831590991052,0.028663963427186457,0.02663824769028237,0.06855895508423247
c39b168de140aafeb0db165699a50548,0.026035425211802497,0.06469202628775235,0.005927832882353889,0.005685707107579494,0.0015984288149918533,0.004820961119115486,0.0
ca35cf310ff1db51bd09184c6454f338,0.019003148833137473,0.011045076951455502,0.016015274821891624,0.024464256164804153,0.01662567282827819,0.024643487841865656,0.0021656882559585116
e5837f0a8c7e96dee3e1da594bd37164,0.017620857754954672,0.057113047596109794,0.007254726413031219,0.011044486133914217,0.010982752609808296,0.006710122731107687,0.0009513742071881605
b497a348ae94ab7ba9cc3642a880afff,0.016831012465240713,0.007679621034996504,0.005362821720646838,0.01870200953005558,0.005322829950458278,0.008028187789812563,0.0004676771068048068
58c4c519152238addd28ad789a0e3adc,0.01601584376138456,0.02689132580404991,0.016171661283568728,0.015069753133088058,0.006974106960058115,0.014771473777529496,0.0020790953087223493
