,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationTime,IncubationGeneral,Season
7fc8626c77dc26c52c6bc6b571088f86,0.08571825870106203,0.016336165283829807,0.024551021527738345,0.018795786290388,0.06535641865543595,0.0392947656094981,0.013920948358579887
3145bc5073753da331c23f0e724d2469,0.07029583585447507,0.03174183045983925,0.020200974746253052,0.030409733301960364,0.05412572141631569,0.03279721774496381,0.009010764394687147
5fbc39ebbff252c4146c5c8b2d584c82,0.054979429737593434,0.03132108467763582,0.026021110502659997,0.023686337009096593,0.03649976602714085,0.04023618702407392,0.04249089090097653
dee5d11b2eb88314fc87acc8589865fb,0.04058141703333835,0.022341992427247707,0.017560524906343692,0.01300597955066285,0.0,7.891378972333552e-05,0.011101664108599415
67d74e23bc8905307b6b01495d683ff0,0.03324358213378067,0.009421117102624324,0.03056220767189696,0.01584985150228241,0.000935891436593355,0.00282366460064947,0.016474973667207623
52702f00e2df05cd3ea1a6926effb98e,0.03211104141250526,0.017724153039843697,0.020439654418288787,0.013553945956909895,0.0,0.0007555277731258757,0.01421774282708224
18f1742ffbe1a67bc2eca6f6699e801c,0.029381853415859183,0.020046631240230883,0.013938668167475066,0.013925899113368015,0.05584152238340351,0.037908342397278826,0.0126922856526808
2d874954c905673c9267b99951bc0d4c,0.028602956638028962,0.02484620356945287,0.01533604648735343,0.02182787054818525,0.06676025581032599,0.0415635452954124,0.012389993210813681
cf03297d76864fb6531978254e010e86,0.027795086151334195,0.02160626149953898,0.020937893359676937,0.017675660431196293,0.0001559819060988925,0.0009302441221909995,0.007260001953287945
00fcee69a3885b234e2dd8396a89130e,0.026016139296303566,0.023960010849958715,0.020386519059180076,0.014078815850281236,0.0,0.00051802664360322,0.007947487382400883
5a7b179b1b45f0fe2282f260bf073f60,0.02576847791998853,0.009318769926834086,0.01673110584729803,0.012526095469342892,0.0007799095304944624,0.0012323530170676564,0.004406079502586647
24531df518054d1f28740b73944e2852,0.022727023638173752,0.02304308268625512,0.020147949227189283,0.020118274743241422,0.0,9.868243038909558e-05,0.012478194364547909
d5da401c60fb927a43b34f7e158bd385,0.02078386114414295,0.015105129112489877,0.017055345391327307,0.003977702282410428,0.04227109655279987,0.05235262097351809,0.007753555308404076
c1bef89703d41bed6101e9cbe234c109,0.02054614605104007,0.037163278033486895,0.02381125464416255,0.031708243197459025,0.0,0.0005908596709563805,0.009159846133686898
3c5442845adaa5ee9a124d5d6c932576,0.018952076929840956,0.015047938318431186,0.010616949645219285,0.008930627422676517,0.04055529558571205,0.046770523032026695,0.005582010096188943
c03953c92a48649a55ab1e3bd342fcd7,0.018638468883946133,0.005787727035993931,0.006970136348597086,0.004514997447024321,0.0,0.00010745420197923708,0.0018830912379335814
fd12fef5cd042e6d041abd95eba52cc3,0.01849482588317086,0.007807761797316911,0.006973230600437206,0.0053765445566888725,0.042739042271096546,0.049991757774280006,0.008008338758337506
a15c4f4157d55c51d430f579c8d397e0,0.017838785697200234,0.012349773278875162,0.014160331423725515,0.01738131082922246,0.03977538605521759,0.04407123167651946,0.004723981095365706
0d410385b940330b20205b60313fb8f9,0.017200229262222477,0.004778583433156203,0.009091731809364222,0.005573802080576533,0.0,0.00039081810677257914,0.007311312827998528
8f8fb193c72db2aa3ec4a726636ec58c,0.01655690378038266,0.016140534771479222,0.029529613940941734,0.020810207642883417,0.0026516924036811725,0.008164146385346058,0.006929510228964225
212f5cd14e9d298b15533afe69993223,0.015694921013333255,0.005681321436839008,0.004708815904831305,0.0025367467297777416,0.03431601934175635,0.04395895420046619,0.004070364816662195
202bc1c93762f5da59df003a8780f85a,0.014969602340171065,0.019034715296960505,0.027904812493360295,0.012615921671848853,0.0007799095304944624,0.0015075879638604172,0.01052529714684353
ac704763d7ac5b90a7b18c4b171244da,0.014523109370626633,0.014352907767976068,0.01631792457217081,0.010699577833084839,0.06364061768834814,0.04653931046905176,0.008161323846344574
80e994ecf2cf8722abc3a1ec19e66985,0.014197793108161104,0.014079215576052387,0.015262001066238668,0.015883304135421435,0.028700670722196217,0.01698340109751053,0.053215899406239914
b90b2e82e544aaa28ac26c1782dfb7fb,0.013526032263191115,0.029181449975580153,0.0240263788484362,0.05152027918068124,0.0001559819060988925,0.00218039118007674,0.03552861729672078
d2612bfca06ecb93fdd53a7fdbe71fa4,0.013522174710044743,0.017592379331174378,0.035131827541325905,0.012625080329461308,0.029636562158789573,0.022798661477717565,0.008019685299971937
e58f070861f3d4e8efc64b0c26ad8d2e,0.013447331501813773,0.012133130913791954,0.012612812128434327,0.018758399140993056,0.05007019185774449,0.03450267046800349,0.006424025131712079
d0d24491a1d6702889dec9ec0f022ccf,0.012933705007228779,0.008554079109510128,0.005709951572396893,0.010185246755833863,0.00124785524879114,0.00228061022875491,0.008151098740289702
70f4c0240ee5e540b276d6f7e545ca95,0.012757477896527217,0.010346789571745844,0.002569559728252265,0.024112475519848266,0.0,0.00017220224676159812,0.0201649132796356
a35957baf4788e7750ca924175f56b34,0.011437866649660027,0.010442144194027933,0.010042063626508092,0.0037852051132440637,0.039619404149118694,0.039383943547685554,0.0017371596846248141
