,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
11397adbcc3ae7ea2d586775e298a19d,-1.1120301965654846,0,0,-1.1368892014416605,-42.304188049260425,0,0
3a08b1d1b72dc2e393156373a38cacda,0,-6284.472995184396,0,-1.056471995364361,-6284.472995184396,0,0
226075f38f64e4b46ba5f90d1da83be8,0,-422.11087718275525,0,-1.0827194472561776,-422.11087718275525,0,0
3a03346da75d6349e7e2da681d15a048,0,0,-6.711140508472363e+56,-6.711140508472363e+56,0,0,0
1953a1072e31d6a63fd0b685a542ceb6,0,0,11.759454142109306,11.759454142109306,0,0,0
00291cb486e72af7670f7b0e74133a69,0,0,0,2.748822361561508,1.6734964270927428,0,0
aa2792df67f96d08214065311882131c,0,0,0,1.0193627712849953,75900924434.9459,0,0
0ac64ebb10fa44495bc3455196a939fe,0,0,0,1.48082664077561,-92.25704017297976,0,0
4778dfc4c5d9aeceeab51859855b8344,0,0,0,1.0822002498437941,437.89248640749076,0,0
06bb3fa895e072e060638ec1131d0d3c,0,0,0,11.759454142109306,0,0,0
12f0627b0f930aff1182481eb84cbc7d,0,0,0,1.2156911253478615,-1241.9470669077089,0,0
13d7754a56b77b903ad8e14a106a6821,0,0,0,1.046012040066654,43491.60210712563,0,0
85764117a121c0a1c8937c98a123393a,0,0,0,11.759454142109306,0,0,0
300763d703ddc07d5019a4880f30f9d2,0,0,0,-1.6505721196245295,-2.1793460189622897,0,0
5a7b179b1b45f0fe2282f260bf073f60,0,0,0,1.0123013886299923,1.1648608861642093e+17,0,0
d32e579b3ae7b2aae8d5bf9f027c29af,0,0,0,1.0272004467392482,59564818.368192516,0,0
0646dda313840fec0f1510b16fd3308e,0,0,0,1.373861683101766,1.1945666133448496,0,0
0a89d39a6efaa924ac57d90ae88a64cc,0,0,0,-1.1752699446074504,-19.589244379672703,0,0
206977be386ecbd95c21a3c8560c90ca,0,0,0,-1.138048618057742,-2.5315758589798465,0,0
02302e176d74b8b7d3342ea21dda7e5c,0,0,0,-1.2370268044770008,-282.1907092777003,0,0
713e97afa1e02b8fe3098c8b98dd9753,0,0,0,-1.003682171931642,-5.9072989911664234e+56,0,0
14d8f839cfde5f1b974be363b574dd3d,0,0,0,1.2527938013863968,8.429886845248287,0,0
3b50e9874fa67e04b49f5a59ecf0059a,0,0,0,-1.003682171931642,-493868012859.5784,0,0
00504b396468358f74f5736e0e1a7655,0,0,0,1.2246542594678416,-2.8044806150531154,0,0
2d30211ca83dbaba57bb7d08b25f6cee,0,0,0,1.003863689106463,1.2857270356777755e+54,0,0
6595017c4c32be581e155eda754d927c,0,0,0,1.1401388024327819,38.993120027277676,0,0
04175f386c14319829ffb23d5c188b2a,0,0,0,-9.585930281814063,1740.664035219017,0,0
174d8892613c4c76501faacc0f8eb83c,0,0,0,1.0244914972528378,420263725.749151,0,0
51fa97e740d33f9cc3df210252645ab4,0,0,0,1.0425189428413817,102569.89380366044,0,0
6e36940b2cb34dcc4aa4540ca427ddbc,0,0,0,293.00117608414513,0,0,0
398ab39049b3efb8ea799a11d4050d55,0,0,0,1.0329449073310852,2737232.2120506535,0,0
39f3e5d90483ddecea2c541aaf69ced7,0,0,0,1.3197805553566992,5.649559819547833,0,0
0cab4f6ab53af7521dd727066c787434,0,0,0,1.0244914972528378,420263725.749151,0,0
4fb4af722997cb4bb1e8afaecf9855ea,0,0,0,1.2527938013863968,8.429886845248287,0,0
183b6af4cbb2e73cd7237ed817e78bea,0,0,0,1.0391854526066757,268254.70160122606,0,0
b978450e75ae38f47e8e4fadc48bbd0b,0,0,0,1.007956473874575,2.1337160448404416e+26,0,0
0f13999694f89cf7e19110ce075c78bf,0,0,0,-1.0089068332518303,-3.39560974693252e+23,0,0
0ca5e8a697924c172f6eeb8218934e70,0,0,0,0,1.2528880399491493,0,0
5f7bf278a4d857a40b7dee0e90774631,0,0,0,0,1.1534673639952544,0,0
b62d6e1c39123bb0622a3ae9d1150f1a,0,0,0,0,1.2528880399491493,0,0
a56eff0d6341148e0f157cf2afbc7dd9,0,0,0,0,1.2528880399491493,0,0
5fd8757a16e27c1fde92abd8bdcc315c,0,0,0,0,0,0.0,0
20ada5c0fa2722151f9039d1896592e8,0,0,0,0,0,-915.9505192039011,-1.072988820808663
43faf3252e0182e1bab6abcc38918ce8,0,0,0,0,0,437.53025380130885,0
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #3593FC","#8B008B, #FCA94A"
