,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
0ac64ebb10fa44495bc3455196a939fe,2729997.2085520253,0,0,2729997.2085520253,0,0,0,0
dd92b4dc8ef906aa926fea4e41ff1e4f,1.1287629199736742,0,0,0,0,0,0,0
54531ee42f8a5cb2c9c656a524867fd4,-2120454.903657599,-508639303.0666329,0,-2120454.903657599,0,0,-1.0242555246960845,0
06bb3fa895e072e060638ec1131d0d3c,140.49312412745425,293.00117608414513,0,140.49312412745425,0,0,1.088264437451673,0
13d7754a56b77b903ad8e14a106a6821,200.84756458211325,0,0,200.84756458211325,0,0,0,0
18ef1a5c313767b928c513f5b103b377,-1.062035877504668,0,0,0,0,0,0,0
181270ff39dc1c54f01b1d6bde714fbe,5669014.76274693,-6.711140508472363e+56,0,0,0,0,0,0
0356b8bf9fd15d2b45124228f1e8a464,2966.28515529678,267708.2748566462,0,0,0,0,1.1254623399352925,0
13a81e31eeeb356b7d28933740ac86b9,1.1188017150394498,0,0,1.189207115002721,0,0,16.0,0
0436cfa86877527303a6edb955a475f8,28.938266943933858,2966.2851552967763,0,0,0,0,1.0619360368833601,0
43f5630fd1313ab29af7102ec699c8e2,1.1694032425278227,0,0,1.2528880399491493,0,0,0,0
4259c62698940560924f1e394b1284ab,1.2528880399491493,0,0,0,0,0,0,0
28253162bfd03feed7884f1fa89be177,5301.426803798913,267708.27485664556,0,0,0,0,0,0
0002f15db0a619820472a18398197f5b,1.2152344588167212,1.1099656250033179,-1.141811092004929,0,0,0,0,0
1687e9e0a11389039faefa7d739d016e,-6.885537035074865e+19,-4767.455003893651,0,0,0,0,0,0
18858749d103f12337402b92cfc64781,38.96971439474638,2966.2851552967763,0,0,0,0,0,0
206977be386ecbd95c21a3c8560c90ca,-1.062035877504668,0,0,0,0,-2929.471692127126,0,0
1c24c54399d664518a8d08ef16403827,52.80879189889732,0,0,0,0,0,0,0
8667ba00869d7abae46f4053c1b08f7f,72.23262330184653,0,0,72.23262330184653,0,0,0,0
5f860792e75c63fee7cc9ba712c92163,8.42389320987627,0,0,0,0,0,0,0
0525b52e706abbccb469c20e861f2f1a,72.23262330184653,0,0,0,0,0,0,0
0b59a39511050d6af174534cb1465f28,11.759454142109306,0,0,0,0,0,0,0
00504b396468358f74f5736e0e1a7655,-2.0023519696219263,-13.404696738799842,0,-1.2784037278247709,0,0,-6.4276380140082505,0
04175f386c14319829ffb23d5c188b2a,-7118724021.028565,-7284.604829237383,0,0,0,0,0,0
1e6d6596b6fd76e5e2fe5bea85ef1d4e,1.1694032425278227,0,0,0,0,0,0,0
2c27361b2f95e8d0646fbcc02e0b9806,-8503.045967120781,-306.41563901681207,0,0,0,0,0,0
2b364af4f3acffb23bf138229399c60a,-67916.29648991648,-4188.744471847662,0,0,0,0,0,0
21198426200d0e66b5115fdab149ff18,16.0,28.938266943933858,0,16.0,0,0,1.1534673639952544,0
033398fd9a06f48d0247ae1a6063f9d0,1.1401633146217924,0,0,0,0,0,0,0
781713d8851fa1032ed8e29c2a3ca3be,11.759454142109306,9999.99999999997,0,11.759454142109306,0,0,1.0535490615074923,0
75380179c20c73fef33c9c64de32722d,437.53025380130885,3.6605315325422076e+35,0,0,0,0,1.0058844362969364,0
0eecd98ee0fc801c9e05d6d60939d76b,0,1.1694032425278227,0,0,1.1694032425278227,0,0,0
300763d703ddc07d5019a4880f30f9d2,0,267708.2748566462,0,0,0,0,1.039191969563748,0
74326e2287ae5e9d508f2821bb6db5c4,0,200.84756458211325,0,-1.0499984242727385,0,0,-97.2460694093745,0
1ce7293e4d21e35594c6cb7645a1fdd5,0,1.2528880399491493,0,0,0,0,0,0
10fb351bf35359df168431035a52ebe7,0,52.80879189889732,0,0,0,0,0,0
4791646dccadd0a7b6d38f574d09f6c4,0,1.0766073524501176,0,0,0,0,0,0
f861deb66544ba4ec7c03c678f5b06fb,0,437.53025380130885,0,0,0,0,0,0
b2c5a27bd2fd0283ab41388ac6c896a5,0,0,1.189207115002721,0,0,1.189207115002721,0,0
43d8979d52d1de83df6e15a3bd899fbc,0,0,1.0425257649469395,0,0,1.0425257649469395,0,0
243652e1d8501d7dcb91d5fe44189fe0,0,0,-1.2009917267696393,0,0,-1.2009917267696393,0,0
0ca5e8a697924c172f6eeb8218934e70,0,0,-184.33276463107254,-1.3273108427945128,0,0,-1.8123419738207731,0
d443de3344c85c665e74bbf97db7d5e1,0,0,1.3197805553566992,0,0,0,0,0
212eab76495ec59ed30bd5ac03466d16,0,0,1.2152344588167212,0,0,1.2152344588167212,0,11.759454142109306
028ede7aaec86d4b3c3bdf91a6335ee9,0,0,1.0948397242600092,0,0,1.0948397242600092,0,0
b69d33c2ec8a2e579990470bd9ff683d,0,0,-1.0054575103579748,0,0,-1.0054575103579748,0,-2.1748826389200465e+38
33d7317d54fe41bced73dd2f497c12ec,0,0,-79.58597344580713,-1.1160232738987697,0,0,-79.58597344580713,0
090fe2509aa7e05f1d50c8d95a6c61c8,0,0,1.1020325424249957,0,0,0,0,0
68d4955e689ca6683dd5e0f51c8026c2,0,0,1.189207115002721,0,0,1.189207115002721,0,0
09fa7bebd94077cdfb424febf664d2f4,0,0,-1.1461346331174238,0,0,-1.1461346331174238,0,-33.869318333787156
5bd14fcfbdc4014b2ce094b21b0e7e1f,0,0,-1.0583668162738982,0,0,-1.0583668162738982,0,-4767.455003893651
0d41e45c3af1388c3ffea1dafa926f66,0,0,1.0822118838873684,0,0,1.0822118838873684,0,0
289a6cadbce19316f21ed2f7133f940d,0,0,0,1.0822118838873684,0,0,11.407498856908605,0
c1b4d4f034152d964a49c3f6559274ac,0,0,0,-1.0574246208913274,0,0,-5457.051288125194,0
797894bb0d8cd7f6f43250b723aa2a97,0,0,0,1.0822118838873684,0,0,437.53025380130885,0
1f5e28ccbd6fa1fd8d8291742334a4cd,0,0,0,1.2528880399491493,0,0,0,0
087e50a409374f400614f96d9c161f62,0,0,0,1.1099656250033179,0,0,99.99999999999997,0
23ecc1e054dcfb352ccbd96f61c7c80e,0,0,0,-1.0092149274934483,0,0,0,0
dc3835d12dc9edc210bddff9c66bf356,0,0,0,-1.0473857865681155,0,0,-32130.236578066444,0
5183d97b2862d0ab4cacfd081ab5d0fe,0,0,0,1.2528880399491493,0,0,0,0
d32e579b3ae7b2aae8d5bf9f027c29af,0,0,0,5.649559819547833,0,0,1.2528880399491493,0
9afe5161231532d3cd3b698b1d58b89c,0,0,0,-1.689352974615671,0,0,0,0
00ef81badd721616fccf537203098a60,0,0,0,1.0713909405970714,0,0,0,0
0e7c4b229cead6b1494c00340d3024ed,0,0,0,1.189207115002721,0,0,0,0
361415f522e4c1e777562df222d2309b,0,0,0,1.1287629199736742,0,0,4.8932338970021645,0
0f46c35d6629feaffa5e8f4b256e255b,0,0,0,1.189207115002721,0,0,0,0
15c1c3c6b3755a72c95a9cdc9ec5ad28,0,0,0,1.1099656250033179,0,0,99.99999999999997,0
0bc1a9023a32750de92cc2c7909dcf04,0,0,0,1.1099656250033179,0,0,0,0
20ada5c0fa2722151f9039d1896592e8,0,0,0,1.0218863001117686,0,0,0,0
6fa4ccb9f6c0e31d985a0c0ffcc0870d,0,0,0,1.1287629199736742,0,0,0,0
57f316f2b8bb8cd1fcfdfe2c557148f0,0,0,0,1.2528880399491493,0,0,0,0
0fef4581a3c6c96c91f420a307873b68,0,0,0,1.189207115002721,0,0,0,0
b1f7b21a5152a5c6d36df2c15f9c5b66,0,0,0,1.189207115002721,0,0,0,0
938647d500d0ed9e973136fe792d6b30,0,0,0,1.2528880399491493,0,0,0,0
2322e6ecfad183f8ec5613a1bbfa89d0,0,0,0,1.189207115002721,0,0,0,0
19026183566db7ea1ad9b200971335ad,0,0,0,1.1287629199736742,0,0,52.80879189889732,0
0b55209f579f60995372586668a5c182,0,0,0,-2.3636823616182077,0,0,0,0
0646dda313840fec0f1510b16fd3308e,0,0,0,0,0,-25743.960197441018,0,0
