,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
13d7754a56b77b903ad8e14a106a6821,200.84756458211325,21.54434690031884,0,0,200.84756458211325,0,0,1.1694032425278227,0
106ed7dc0227600cf4f402320cdb11ab,1.1534673639952544,0,0,0,0,0,28.938266943933858,0,0
030fe41d5bd286cd7b06b321453a2f9d,0,1.2152344588167212,0,0,0,0,0,0,0
056187ef37d059aaf9b50168420fbd1f,0,2966.2851552967763,-8.335580611403566,0,-2.475115823434199,0,0,-1.2018278330860612,0
001682b2bb137ddb40efa3944e2d6fc2,0,1.5794179870051324,0,0,0,0,0,2.9440581179096736,0
0eecd98ee0fc801c9e05d6d60939d76b,0,1.1694032425278227,0,0,0,1.1694032425278227,0,0,0
00291cb486e72af7670f7b0e74133a69,0,0,-792646.213689206,0,-1.3362395840821795,0,1061.410035380192,-2.2616980104823057,1.0329508868761246
00e49da04441ab2eddf92784d1724a65,0,0,0,6.945787892119578,15.560152171599231,0,0,1.6314265245604793,0
00e410cf5ba81da3d93e35809b1dff32,0,0,0,-1.0954451150103324,-2.1213203435596424,0,0,1.0876528812157833,0
0002f15db0a619820472a18398197f5b,0,0,0,0,3.171289120273606,0,0,1.6877146548400581,0
04409c001c6161d6ec9900fccc781be1,0,0,0,0,1.189207115002721,0,0,16.0,0
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
