,Other plastic: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs unknown plastic
0020a0d0325652d9afc09ffee32e8002,-1.098867174449258,0,-1.0360043033262436,-792646.213689208,0
106ed7dc0227600cf4f402320cdb11ab,0,-508639303.0666329,0,0,0
0002f15db0a619820472a18398197f5b,0,0,9.159741711188389,0,1.326647249167221
001682b2bb137ddb40efa3944e2d6fc2,0,0,1.9039795952094483,0,0
00e410cf5ba81da3d93e35809b1dff32,0,0,-1.1150413660160379,0,-3.6350141406532095
04409c001c6161d6ec9900fccc781be1,0,0,0,0,1.2528880399491493
00e49da04441ab2eddf92784d1724a65,0,0,0,0,1.1188017150394498
Colors,"#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #3593FC"
