,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
7e06b5786d98e6ce66ee5137ac736d66,-1.1464860325766353,0,0,0,0,0,0
00417935e546dfe8e74de29f8f3f0b76,1.0713909405970714,0,0,0,0,0,0
001682b2bb137ddb40efa3944e2d6fc2,-1.0809630371668129,0,1.2528880399491493,0,0,0,0
043b76bfbbdb81400cb8c0d07d28c012,200.84756458211325,0,1.2540161051688838,-1.6741204726640384,0,0,0
01bec91107c2b6749108283b68a080e1,-1.0697632299174555,0,0,1.007956473874575,0,0,0
197df0274ad40c2bfe525a3207c31b86,1.0079606880042844,0,0,0,0,0,0
34835afbd7b2e3ce535d53436d8b9a86,-1.0000081378375498,0,0,0,0,0,0
0020a0d0325652d9afc09ffee32e8002,1.0218863001117686,0,0,0,0,0,0
0002f15db0a619820472a18398197f5b,-1.2307322738209763e+29,0,1.0848773230408155,1.373861683101766,0,0,0
0a79a7efaeea5aed2ce116dc5d554e5e,1.1287629199736742,0,0,1.2527938013863968,0,0,0
4f6c824ca4242dbea96ce73e1a822844,-1.049489985576358,0,0,0,0,0,0
008ba014f02cac90589c730347c9bf8c,-17.322582000567152,0,-1.0430147153061113,1.003863689106463,0,0,0
0b96e9355ce7602f89aa30d68c06627a,-1.072988820808663,0,0,0,0,-915.9505192039022,0
1085cf7b0c6ec7c6e09832dd30c4dd8c,0,-45925486668118.6,0,-1.0153900458956917,-45925486668118.6,0,0
0149948a1f374acddf54579acf2ee182,0,0,-678.9301786984635,3.5944029945047093,-34.216775649716695,0,9999.999999999995
04175f386c14319829ffb23d5c188b2a,0,0,-36957891253.587845,-9.585930281814063,0,0,0
03c1a0d53d44e83b53f7bd0b85fc6272,0,0,2.4640473773780123,16.0,0,0,0
00b29436d3526a4cd1af9a9db16c6d0a,0,0,1.4245838359933003,1.7175687300841973,0,0,0
00b54bad7e854b2cd5c060869fa7ad6a,0,0,1.1534673639952544,-1.1522661107553827,-2.0102177331407263,0,0
18fe8b00d114363970839fa6bcfa90aa,0,0,1.2528880399491493,0,0,0,0
033398fd9a06f48d0247ae1a6063f9d0,0,0,1.0619360368833601,-1.1414415605051043,0,0,0
22144d9149a8a0eec1ce9f4d0539f1c6,0,0,1.2528880399491493,0,0,0,0
005d2313f12b94d19a1c28ad0d0df36c,0,0,1.0822118838873684,0,0,0,0
1cb3558d8e931cbfe4138dc6111e0892,0,0,1.2528880399491493,0,0,0,0
00504b396468358f74f5736e0e1a7655,0,0,-1.0925656321979567,1.5199696193146157,0,0,0
0243ff122f36584fdb303dc4bcd95662,0,0,1.138462399201284,-2.025216387980723,0,0,0
0723506697d216a978d3fe4985d15775,0,0,-1.049489985576358,-1.1622661770138707,0,0,0
09b28a283ebb717777aaa285815f5c47,0,0,1.2528880399491493,0,0,0,0
028ede7aaec86d4b3c3bdf91a6335ee9,0,0,1.2528880399491493,-1.056471995364361,0,0,-1.072988820808663
03b35d5b8ebdc5b0010ce4684b67b449,0,0,1.2528880399491493,1.0169350244250133,10999.382230476249,0,0
205775a53c1629b48fb78d3d7192a87b,0,0,0,1.0822002498437941,0,0,0
05e4f40f4ef41c503a38c4ec58d3ccf8,0,0,0,1.0329449073310852,0,0,0
13d7754a56b77b903ad8e14a106a6821,0,0,0,1.046012040066654,0,0,0
00e410cf5ba81da3d93e35809b1dff32,0,0,0,1.003863689106463,0,0,0
05e85f6e44fa9a93ada82df059a5fadf,0,0,0,1.0123013886299923,0,0,0
04b24da4384ac9422d8cb43a9a64958c,0,0,0,1.0244914972528378,0,0,0
00793dece430bcf71e5849bd6a07f12d,0,0,0,1.0244914972528378,0,0,0
0b9fdcdc35f2b2dd742be90dce3d9bbf,0,0,0,1.3197805553566992,0,0,0
00e49da04441ab2eddf92784d1724a65,0,0,0,0,0,1.1188017150394498,28.938266943933858
43faf3252e0182e1bab6abcc38918ce8,0,0,0,0,0,437.53025380130885,1.0822118838873684
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #3593FC","#8B008B, #FCA94A"
