,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs unknown plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Early: unknown plastic vs biofilm
00b29436d3526a4cd1af9a9db16c6d0a,8.42389320987627,0,0,0,2.346826622952101,0,0,0,0
1bf6d6f0e139ee65d4c58ce19be2a1b9,8.42389320987627,16.0,8.42389320987627,0,0.0,0,0,0,0
0002f15db0a619820472a18398197f5b,-1.1643192873596533,-1.0036785751375352,0,0,0,0,1.1012991828628553,0,0
08125d77b7d233f0fd5c4072467d0dd9,8.42389320987627,16.0,0,0,8.42389320987627,0,0,0,0
5beae322aacbf8f247936dda43bed6d0,267708.27485664556,0,0,0,267708.27485664556,0,0,0,0
00291cb486e72af7670f7b0e74133a69,1.189207115002721,0,0,0,0,0,0,0,0
008ba014f02cac90589c730347c9bf8c,1.4591298335016052,0,0,0,1.9475232454070588,0,0,0,0
00ef81badd721616fccf537203098a60,1.0948397242600092,0,0,0,0,0,0,0,0
09281c85adbf0aaf3aa3b71f8974b86e,0,5.649559819547833,0,0,0,0,0,0,0
57c3f1478d243c15a2ee44e205029304,0,16.009635543804404,0,0,1.1534673639952544,0,0,0,0
1908e49a9338ed297b593e0f78bb1685,0,8.42389320987627,0,0,1.2152344588167212,0,0,0,0
0243ff122f36584fdb303dc4bcd95662,0,-6.9218416994177225,0,0,-8.463973656311369,0,0,0,0
113381e3893ed86fffe77e3fce5dd07f,0,5.649559819547833,0,0,0,0,0,0,0
239a7ce7776d589a8c5abea7524c526d,0,5.649559819547833,8.42389320987627,0,1.2528880399491493,0,0,0,0
0723506697d216a978d3fe4985d15775,0,-3.465746309457741e+23,0,0,-794.0926392507563,2729997.2085520253,0,0,0
06b19c1cccb145ee285728fee659e800,0,0,0,-1.132915159187261,0,0,0,-1.132915159187261,-1.132915159187261
085adfe7b323eed690961c21364b88b5,0,0,0,-1.0611331312908232,0,0,0,-1.0611331312908232,-1.0611331312908232
00417935e546dfe8e74de29f8f3f0b76,0,0,0,0,1.827143052158103,0,0,0,0
001682b2bb137ddb40efa3944e2d6fc2,0,0,0,0,4.2225572517309375,-173848468.2039832,-173848468.2039832,0,0
00e49da04441ab2eddf92784d1724a65,0,0,0,0,2.4640473773780123,0,0,0,0
028ede7aaec86d4b3c3bdf91a6335ee9,0,0,0,0,1.7036415093983044,16.0,0,0,0
0077b1c328d7c6d76713c77105393caf,0,0,0,0,0,8.42389320987627,0,0,0
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #3593FC","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #3593FC","#3593FC, #FCA94A"
