,LabOrField,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature
0f032854ec86edf72c60237a705ccac0,0.04526704480234001,0.024336079341399284,0.02222425491521689,0.032145911924665614,0.04319420553442752,0.06680034993840318,0.01759763851044505,0.03181706877121929,0.18179262280994532
b62d6e1c39123bb0622a3ae9d1150f1a,0.034753497785466325,0.007401102611799321,0.0076327957170768575,0.005750700721557131,0.0033235735610301284,0.00849117114787727,0.03553587647593097,0.04719339577343384,0.0543805379772288
da56b6c543a242b6898f46b84a9932fb,0.02942416296749294,0.025833692515915375,0.01921485523005084,0.03294068127315316,0.03646846431511186,0.09089870521295816,0.038080911292764155,0.011226222755412666,0.0640358034977222
d32e579b3ae7b2aae8d5bf9f027c29af,0.027152819236458268,0.014962604850850084,0.02015944931545678,0.023494884238160433,0.025418502159756374,0.05057054577915925,0.008287920072661216,0.004722219109374485,0.015176736067799894
c9869c8ee11c511d2adf4a495d12d553,0.02495204342144763,0.013911042780542726,0.026699491077098774,0.030098231259959196,0.020951691360178496,0.051412640642495906,0.03962306993642144,0.01701588432331849,0.023415881050556833
395b9018556614c8f338feb3db6a56eb,0.024940575704298706,0.02760159113700469,0.02916827424409938,0.03422918999341415,0.033273972644214306,0.120751392588643,0.010899182561307902,0.009635460487497513,0.009239425249223814
5f7bf278a4d857a40b7dee0e90774631,0.02449017243296162,0.009581056065963812,0.015027996898946483,0.00347893466545963,0.00897105913126797,0.03259777486475466,0.134763851044505,0.02366087258319439,0.04634154345633908
5afc2a9c279a0e72cb96fb88e116f994,0.02443771390667761,0.00625842757538142,0.007480271070712558,0.007433574764115957,0.0070302247754109,0.001291230933125037,0.01055858310626703,0.03257203394052257,0.019633472765801258
03ce811941f66c0b73fbaf7d29fc9c05,0.020393373241872393,0.0037016694929717,0.0051458171154812665,0.005588792547520966,0.003872603506900301,0.0005134735398584129,0.0003405994550408719,0.028729991304394627,0.016987038267928377
0ca2eb01c2e69f3b10c46f06b0d5c236,0.01982775873745197,0.005592966098928621,0.004869575598340983,0.005056529569483,0.00980378163830306,0.0023007417242759246,0.04053133514986376,0.028294894682065433,0.00792811534501306
18fe8b00d114363970839fa6bcfa90aa,0.019362854957517377,0.005640378125817366,0.004903461871619999,0.0049293513454275245,0.002812279819073994,0.0022363476366454053,0.0010217983651226157,0.030593540427421368,0.06763397513503852
d46e2205f0c6ecf67b51f83d111c509c,0.018969108676454603,0.01404737415290663,0.013981024963567932,0.019321261296489596,0.02513507263172592,0.004407301492668285,0.0011353315168029065,0.0025089796797690246,0.0006059111710704854
2c75e79ae17c6a283133096aa0fe1f51,0.018891655605039036,0.004798208713295874,0.0025050802820364717,0.003325478670323088,0.0028893461115382614,0.001495551438784065,0.0018165304268846503,0.02049223910107176,0.0036623241405484837
3275549275863bba59477de992e128b5,0.018777896194590794,0.019574218058441763,0.00706136705484183,0.019736356352896788,0.02865439074462767,0.026698548290513338,0.07345594913714805,0.011610283663848803,0.027222817296040085
a36a81d94d9dcd8761117e7f08d22c0f,0.017869341399763185,0.011458370144795952,0.012507648908344066,0.015882460099101017,0.02539400294380814,0.006880875913372501,0.00351952770208901,0.002225080784004184,0.0034835658689166414
c36b9a61196ae1b1cd2f890022be67ff,0.017436187928166223,0.004062926864572552,0.0024397047972252723,0.003174975665728513,0.001959392972666611,0.0020421668447104364,0.0007947320617620345,0.026844961952002703,0.010802225487542614
b789311aa9560151b1976c990852c66a,0.017383496655462932,0.0032890478556260937,0.002790033827813618,0.002251470111459582,0.0010579512055664969,0.002152376347823258,0.0010217983651226157,0.020449015166297737,0.002701228411973352
e462165105b29b568ba8e340080417f8,0.01721818155902459,0.003892133215492526,0.0032886430604257095,0.003922716210763848,0.0018749405163317665,0.0019284845415257822,0.001248864668483197,0.029394599234769024,0.012692170331531742
97991ce469a1cc109b514c89920eaa50,0.01720336051841881,0.011702735001207611,0.010905815058766784,0.020055615625804993,0.021208869202924547,0.002353159317702731,0.00045413260672116256,0.0027260954008943177,0.00010727709132444891
323442b89ac839bca0b277760ea19a2c,0.016681800097700924,0.001640858306987093,0.0022260943641949087,0.005059622308592711,0.0015589923024662373,0.0005307842774208014,0.001248864668483197,0.022818312126629447,0.004100416530670241
37e255eef9f2b25abe5b8cbda5e620f7,0.016536900803893924,0.001951740449207815,0.0027363527475763876,0.0050106670460120075,0.0024499630087326577,0.0009552093368087834,0.004768392370572207,0.02931246312196047,0.013118066159999721
e27dc78bc61590b62b730be607e7ff9e,0.015805482511526085,0.0007362338442979986,0.0023463430353839504,0.0023550756356244375,0.0012298908643505319,0.0006220214994113925,0.001589464123524069,0.022470930608584003,0.011205543627121263
0bca2aa985f900160e83bd991d499732,0.015686935460230207,0.013279784720866206,0.01713688954038697,0.009706572346853536,0.019069798107475718,0.004675847325391462,0.16905086285195278,0.02290452161299037,0.027550243863356253
b365790697effc27a87d99d16f8a9fb5,0.015165954078091614,0.0012408946294665785,0.002660054665846233,0.0018153480015093639,0.0007997219922949934,0.000618626533851258,0.0006811989100817438,0.022837640769793374,0.011700777038827674
2c27361b2f95e8d0646fbcc02e0b9806,0.013272906383269655,0.0028004614387445365,0.003068435961698521,0.0013087289479866916,0.00140247442465374,0.02678865431718184,0.007606721162579474,0.005150471477730013,0.010071579616470613
8d35e09d2b89486c5c11d6f16f493705,0.012362698571669252,0.004212093360117122,0.004652299289134577,0.0033373217861778857,0.0020835618916199053,0.0013928050811890832,0.0010217983651226157,0.013169926102901307,0.003926501697186046
c4b15d00ba4009557099f7c3c0c6a4e0,0.012254434715705897,0.00265578369068977,0.009462940894250094,0.00215409205765363,0.0013453525862779248,0.0032956455043012018,0.0007947320617620345,0.020218698813473907,0.023418218980714015
0920dcf0f62fb2b3ab9e32f1c4edec37,0.012051924885123187,0.023124144195715002,0.024457084064011526,0.027873210582926838,0.040665270357287474,0.0011417967394616502,0.0010217983651226157,0.002215073310841747,0.00016587819242670294
1f59c794fcc55b3abbbe02dfc2dd90b1,0.01201340428779343,0.0015303919937876386,0.0030492740566118977,0.001688344765100279,0.0027311447790297557,0.00039854899495076536,0.004314259763851045,0.012691137539356573,0.0031477266547174764
15e1b6d3453309fa231ff63d2b3c8a9c,0.01170792632383543,0.007894210004232745,0.012855872798320189,0.006948421894908146,0.011679799354407812,0.003248501176428212,0.017711171662125342,0.00449078453338431,0.0030228705810723434
92bcefed0189da1b47059837ea29a85b,0.011271898017054806,0.0010617912088394833,0.0026027473087288635,0.0027887116238637277,0.0013708464517374333,0.000537099312583213,0.0007947320617620345,0.013155891567797263,0.0010623139372735535
