,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationTime,IncubationGeneral
343834626bba07824bb499760ededa61,0.02294514313052241,0.017365866668025802,0.023803609526179024,0.02524578634960983,0.008685178294534558,0.016094344976373926
346c96029ca51db4c2467066a42bf9b6,0.020506859841699532,0.012098010599289869,0.02687738397331379,0.011498282303713189,0.0065882256159811615,0.003709842984636563
783b33f67ca88bb83d8680ecb2b5a8de,0.019878285324183256,0.01751734424709488,0.010490070393969835,0.02833825538658478,0.003574730970197205,0.005267833694516891
e4304c9496921fcf8a88c1ef30dfd0eb,0.018327823526940405,0.006823794947815483,0.008240239925152777,0.007031100473903017,0.0009801015692919096,0.0019405717361351295
4b3872ef9319c13b0265f9466bc02807,0.01776276802518233,0.01794407252835126,0.012469612558926717,0.018062996811233,0.005026316809330118,0.010673986432807028
85222e35b2ec5050bfbff3bcd4a4c25f,0.01703536868310854,0.009914700287841308,0.026368282106331298,0.01289894414690261,0.060440337042647535,0.01858901113049244
0bc1a9023a32750de92cc2c7909dcf04,0.01639682088985197,0.004955449521667358,0.009462712368627774,0.010686529672273293,0.0006081903314648229,0.008032506278940102
98aa9c712c47a49d29e5b334ba5f932e,0.016167459886651317,0.014810240098920258,0.010969760700155939,0.011297759040550732,0.005523782669839072,0.015184162068943617
108b158a717f8cfd5f675762f5d6f545,0.01534612174858679,0.005416997913487785,0.006744076254735862,0.006475994792971514,0.0041273319242624866,0.006261664107322977
d199bab8057f4ef44150300d26565992,0.01521429493569159,0.0022904181811542693,0.01480483727801746,0.005756609779952899,0.0004018056666732151,0.0004956737964853103
351dbad48eaa8ffb176af4f65a7f41ab,0.015214062656486718,0.013070182306838833,0.022882456570340024,0.01658570832767924,0.007359787090424285,0.022487073030114182
0e352d09238810f65d3c2ad7a151341d,0.014705025646607008,0.01130898515307549,0.009399972082679503,0.030515850104963528,0.0009466903898370494,0.006384875199238306
c5d59c091845760162468e77350d3481,0.014641375884449909,0.011482720053492315,0.01865300541198447,0.00807352531941383,0.04940714147559253,0.024386724464941126
32c7b32437e417675bb8820c4e92d10d,0.01434310829246277,0.019615468814655108,0.0069935793125953495,0.011277813629523376,0.003403159353058777,0.017860138053117217
c47c33246a2ed0f7e23d636e9e3c58ee,0.01411037210110816,0.0061143175180573845,0.014856875926948936,0.010539028439697005,0.0027644514736389807,0.007539810049835403
133b4d56c67ae7bb4693cc4fcbb6da8c,0.014095137002990234,0.010634926635035073,0.004097463485537786,0.00952644276753526,0.00016929373152499509,0.010019950865396497
a3014556d1a0863de612649d85d02a6b,0.013901682928516226,0.018000085684701763,0.00482960435149476,0.009069046899461055,0.001326904649884339,0.015516953808890113
5dd42ed6093dcb9f9cb273699ca38d12,0.013739334248474793,0.017606144017272285,0.00780323063726906,0.01614069940598063,0.0298653333833912,0.025076403014932074
57a73d860022c79c79e55a60f1028eec,0.01373658368125401,0.0094072166386295,0.011139912270650514,0.009404264123207355,0.018927814257189684,0.028963154967291276
29279cf5fedb344b6a00a63947682318,0.012458287869099464,0.02160179696709721,0.011617217766761907,0.011928098407348394,0.008403822783580516,0.008045611288207022
f65803479819d713ced4feba6cc632c2,0.01214616983509116,0.008792701515033212,0.008356314344937691,0.021395131656413643,0.003948011913976595,0.02244815947956911
