#SampleID	Study	Latitude	Longitude	Environment	WaterOrSediment	LabOrField	IncubationOrCollection	Source	MaterialType	PlasticTypeSpecific	PlasticTypeGeneral	DEPTH	IncubationTime	IncubationGeneral	Temperature	Salinity	Light	Season	PrimerPair	DNAExtraction
Ro2020s007	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s008	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s009	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s010	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s011	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s012	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s013	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s014	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s015	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s017	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s038	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	0	early	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s039	Rosato	44.25	12.11	marine	sediment	lab	incubation	sediment	sediment	not_plastic	biofilm	0	0	early	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s026	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s028	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s029	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s030	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s031	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s032	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s033	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s034	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pe	pe	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s006	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pet	pet	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s016	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pet	pet	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s027	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pet	pet	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s035	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pp	pp	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s036	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pp	pp	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s037	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pp	pp	aliphatic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s001	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pp	ps	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s002	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	ps	ps	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s003	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	ps	ps	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s004	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	ps	ps	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s005	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	ps	ps	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s018	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s019	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s020	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s021	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	autumn	27F_519R	ultraclean_soil
Ro2020s022	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s023	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s024	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ro2020s025	Rosato	44.25	12.11	marine	sediment	lab	incubation	plastic	pvc	pvc	other plastic	0	14	late	20	35	dark	spring	27F_519R	ultraclean_soil
Ji2018s004	Jiang	29.508306	121.457583	aquatic	water	field	collection	plastic	pe	pe	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s006	Jiang	29.508306	121.457583	aquatic	water	field	collection	plastic	pe	pe	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s007	Jiang	32.081222	121.602806	aquatic	water	field	collection	plastic	pe	pe	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s008	Jiang	32.081222	121.602806	aquatic	water	field	collection	plastic	pe	pe	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s002	Jiang	31.616083	121.391667	aquatic	water	field	collection	plastic	pp	pp	aliphatic	0.005	unknown	collection	16	15	ambient	unknown	319F_806R	powerbiofilm
Ji2018s005	Jiang	29.508306	121.457583	aquatic	water	field	collection	plastic	pp	pp	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s009	Jiang	32.081222	121.602806	aquatic	water	field	collection	plastic	pp	pp	aliphatic	0.005	unknown	collection	16	33	ambient	unknown	319F_806R	powerbiofilm
Ji2018s001	Jiang	31.616083	121.391667	aquatic	water	field	collection	plastic	ps	ps	other plastic	0.005	unknown	collection	16	15	ambient	unknown	319F_806R	powerbiofilm
Ji2018s003	Jiang	31.616083	121.391667	aquatic	water	field	collection	plastic	ps	ps	other plastic	0.005	unknown	collection	16	15	ambient	unknown	319F_806R	powerbiofilm
