,Latitude,Longitude,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Season
39d4bad2879281ffb1125a3903d4effe,0.02829717395335757,0.027161788125860994,0.005663420398480126,0.015436294909707696,0.01125915033007244,0.01099633307358187,0.02543057750028261,0.027213383100807193,0.011352333904391082,0.014045159538547151,0.014754574994628117,0.017134927576240678
417881d28a65629a8bdf23cb68220b52,0.027590618082638536,0.0052514600412513785,0.003451325983099081,0.0018722692991719014,0.003535090290748618,0.004110288784409853,0.0053938090094402796,0.004719209896834009,0.0009022785255703935,0.006711912857442784,0.0035624411043127784,0.011351426058017892
6f4a3bba59c65e18341155d71bf00501,0.02641635801434786,0.01052007862305253,0.01354270351068378,0.007917461877046403,0.01013186528699258,0.007126178660974472,0.028446793606304886,0.007208064738046569,0.005331038509255959,0.012928912670817748,0.008409531802932088,0.005618017870329992
e5eb1024dd265c00a5a21b4b83c624fe,0.025804099035687613,0.005910005044556215,0.011296276994281183,0.00762428134722263,0.004145843346840278,0.011214625604188904,0.014616188413386307,0.00011216571374135941,0.005382431356708838,0.002025633352806219,0.00016990054866852919,0.001970243225992425
f2fb5bb0c325924e10f3ae4aa16f0b9d,0.024601008910634003,0.008424120228608693,0.0006924790416562756,0.0010534935501842855,0.0008723417207290324,0.0011144763417669551,0.009479138795237667,0.0013264543500196748,0.0031476883104988233,0.0012854497922865572,0.001863675296457908,0.0010810796217403205
ab9bd74808cab68ca819b050a7e46522,0.02121345020884976,0.004096671802324889,0.0035725866849138093,0.005419739715099552,0.0043447644932362575,0.004823738066235723,0.010192248721611792,0.005846008951640979,0.0068851091062575075,0.00325224846683156,0.0006533024009902229,0.004082868297289895
fc4a4dd4c72b9e5a71a6067af6e7c70d,0.01976609974022917,0.0255612139903024,0.0025934233396650345,0.0036984512655692486,0.005264680408683836,0.008047752420213232,0.033748582908852263,0.0012186946972200206,0.0009144973499387257,0.002136631240217972,0.0015375960338346783,0.0018652562160772046
e4304c9496921fcf8a88c1ef30dfd0eb,0.01798003863801192,0.011473231993146097,0.007275756708639408,0.004277636050367758,0.006231586308356438,0.008527119459428231,0.01383853279009367,0.004519078967647574,0.0073940988794199474,0.005312434252574674,0.003441330445236154,0.00896265353665385
7f29fb0bfb5d2c5a19ee9729021cbdbd,0.016352420587496013,0.023212420265266116,0.004105092133263038,0.0046338298081366365,0.004066330874980827,0.004147078698254347,0.00782580197769029,0.0023190989835595406,0.0035816583516902188,0.005791738307417903,0.0034500793201437856,0.00465376135786899
1b4ae17ef7544a568a8898b7f0d32fd3,0.01514546413073149,0.00898555906899593,0.0028507943458558516,0.0043478539221048045,0.0020066526367847094,0.0023382155041301645,0.006872771395143207,0.008979442596451944,0.0011913044764170135,0.005826407469732951,0.0064555741781358944,0.005136734481144079
