,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Proteobacteria,0.00014768979196634624,0.017275270834680743,0.0004825604748780034,0.006177636224672316,0.004424394018547616,0.0005338335099807689,0.0030866946881192435,0.23979838931677025,0.0011207287079285611,0.27846762767204064,0.003052949307517658,0.0032188099197832114,0.0034380140594748197,0.01947814612994744,9.158928830429485e-05,0.0027323448013927237,0.0035631976395537664,0.015134242941564784,0.029043881870474804,0.00031680166829300613
Alphaproteobacteria,0.0002573924170036261,0.017469051842131385,0.0034396749430043883,0.004774762959004108,0.0033124676296791174,0.0005964777754498046,0.003617602191132856,0.04231759848149269,0.0020082293602489043,0.004154599090468758,0.004372619775634378,0.004455756564439809,0.004591718392827446,0.014594778213412181,0.0005245438534026303,0.004353675146038538,0.0027449140152025087,0.013357824169889744,0.010996860686153721,0.0011380185854381688
Oceanicella,0.00018159510619453212,0.012099206608346852,7.457569704322739e-05,0.004128319205007726,0.0017103070644501493,1.056832594026357e-06,0.000546724288404621,0.00826706800309971,0.00025077600415583347,0.028291886498015856,0.0015572088216119517,0.0016573010557206006,0.001320587714239086,0.013423926478619638,6.460464734973894e-05,0.001920070298344571,0.0009170269308448738,0.010237651467387952,0.0032460820179205916,2.661281410217333e-05
Flavobacteriaceae,5.07636555355123e-05,0.011181596259988241,0.008915287776820427,0.003817463970573307,0.00410617441771279,0.0030480299692709815,0.008409351456028207,0.2082448065028329,0.003388604386995781,0.09435575997384166,0.0038991002107545826,0.004960125757707327,0.0037133159122893287,0.008390279151647263,0.01734409065289543,0.006520212276324226,0.0016823897111153056,0.009301859806733285,0.1693521781603396,0.0011379180933516597
Coraliomargarita,0.002316926178530078,0.009666621095061646,0.0002091132073769789,0.00652041516786365,0.008453569653483777,1.909560861078918e-06,0.0017858799703068435,0.002908853614879392,0.00030178893797331435,0.0007595316700368673,0.002892103699309501,0.003322031509724,0.003085556188203947,0.009889013468671192,1.0095012008861942e-05,0.0018224093423665985,0.004226891325671491,0.008152053667981106,0.0006701498464506146,3.3707470248486046e-05
Clade I,0.0004787447947912085,0.010039470865808642,0.001512144187281146,0.008075872661354642,0.010233928510666629,0.00041300941974221585,0.006569097354502654,0.000517216103404229,0.001312283241357298,0.001118934781432288,0.006776569969140195,0.007452540758804957,0.005691029989099669,0.010210588538282299,3.923162589077034e-05,0.0029388802886111238,0.007775783063631486,0.008075921109134314,0.0017994810331456617,0.0007304156800824641
LD29,2.638406806136159e-07,0.00401758878552967,0.010984428318352947,0.011626363809889913,0.00450223001335267,3.3855737957631824e-05,0.0002621458116995156,0.003797398814570144,0.0002549817650982043,0.0006857466117127407,0.0018547329135436823,0.0007157872349901708,0.0013637731720320795,0.0024944706242363366,8.13773480601411e-05,0.0039579078309593275,0.002153895771228581,0.007763867951617928,0.0013244577716357074,0.00013252009368105983
Flavobacterium,2.1831536566543605e-05,0.00809923314185731,0.017733930895543183,0.004101539115688649,0.003609884681325421,0.0005078561517941135,0.0029010279908532797,0.0010543906547806489,0.0019732905191229846,0.024150557811110526,0.004093664625625917,0.0032845994466883044,0.0042569376583267435,0.011679071183252739,0.0008754195178204325,0.004887800463846899,0.0054024868064049105,0.007495839291324251,0.003560171361444666,0.0018431094851105462
Erythrobacter,0.001068212061753257,0.01026435277215204,0.0003616885965972038,0.00755585112282016,0.00801617851291565,0.0001285923302661248,0.00330393093330203,0.0007541153725735048,0.0008682989599925132,0.0004158110079502966,0.0039050813926260787,0.005689050788628692,0.0036081141844640954,0.012132563007482867,5.34288446679322e-05,0.0028897977078844905,0.002492467733763394,0.007215653887934694,0.002269121719102629,0.0003283992197594659
Methylacidiphilaceae,3.767600479642526e-05,0.005222790887314086,0.007100695313113787,0.012085611393356462,0.00515014856788571,1.9936157183041468e-05,0.00018076266266875554,0.0012541850902092824,0.00013280797310427362,0.000782022719791491,0.0021248126910101495,0.001122010331960462,0.0018063108562597506,0.0019798305951164905,0.00010352753308944802,0.004732835413917939,0.0021378606722324387,0.007162849673260887,0.0007658444817444924,5.919447220873475e-05
Terasakiellaceae,5.8971659949927175e-08,0.0033050932676285524,0.0032801248979221656,0.009450030410120101,0.004011391109887327,4.6897982833824446e-05,0.00010508186524051531,5.95109952804167e-05,0.00012336284637842063,4.02654079811925e-05,0.0011299371330297263,0.00048564097538030253,0.0004934936967075966,0.0005121812456662024,0.00011932850052282763,0.0033519468284133823,0.00033418526181913704,0.007047743261267211,8.831395874379492e-05,5.502628755967078e-05
Lentimonas,0.004572829809717691,0.008432519801444582,0.0007345453765675761,0.008386610115514866,0.011624268204615705,3.941838274762873e-05,0.007422211625364878,0.0005914293585632345,0.0019401505701639962,0.010498198724427551,0.003214508731112464,0.0028354386425309937,0.002925557803919947,0.007534200706110603,3.833228703738222e-05,0.004133555343013439,0.0034561491025945023,0.006949733286789636,0.0029593064340966597,0.000399137263391349
Clade II,0.00031515556059292154,0.006779892559979604,0.0005565496849178923,0.006643120123028821,0.011880709267442183,6.335740421039576e-06,0.0018133605518096626,0.000728375163087384,0.00039898391618515546,0.0004928891635062638,0.007108265081699959,0.0069786153663677205,0.005925802014551906,0.007949005998039481,7.170303652323637e-05,0.0025429035692859907,0.009540060969055887,0.006401449475091163,0.00043423500050333754,0.0005149888956275758
