,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Bacteroidetes,0.005187947738870936,0.13638803743348224,0.060722971410967976,0.07893184466906515,0.07377722782808653,0.016708571752508963,0.09638905490416716,0.37536908708795214,0.05441549757591209,0.3942163469935662,0.0651458502829486,0.07091499759900652,0.07536716303089552,0.13452927792019287,0.03762209651368945,0.07760545495373733,0.061210027849544914,0.11801791938061812,0.21335980850746,0.04643811166531029
Actinobacteria,0.03785553770707842,0.08833416959867338,0.09318884118062944,0.06924552085598272,0.044673453618968795,0.26764910680590037,0.04349967966022393,0.027989575024056454,0.03473791192750602,0.02699501783035529,0.08106285442929474,0.08193556196004828,0.09313640403055048,0.096122378073261,0.18365575594976113,0.06953223177484302,0.11409308619337598,0.07868840639708825,0.05181014894568846,0.04953585895181751
Cyanobacteria,0.0069704544283437095,0.058966741147595536,0.061576395881239435,0.0835959681254025,0.06648000276659385,0.010342882312211506,0.07594366972935793,0.03106123894829803,0.04887969632978962,0.016592932432592297,0.09807657751604633,0.11054661641763991,0.08977320859988584,0.08987313890659321,0.022475228096346896,0.06039513172607297,0.08872754683940143,0.07711851528015701,0.06858443083457992,0.07816240606917348
Planctomycetes,0.013857898625780867,0.06063755871589371,0.10217968454443152,0.09875338237634178,0.10708602002797425,0.016972064081592967,0.05143055433062255,0.09072147348312506,0.07505169601137564,0.06417386847135784,0.07250576321804658,0.07053854278320364,0.06654445439031208,0.04237696197284573,0.07734783775973748,0.05434612418515126,0.046478754473664965,0.07019610303284098,0.05245044757987915,0.060167444943440125
Verrucomicrobia,0.013274823592848692,0.0725773138334759,0.047601879271695964,0.07340577902239183,0.0737021281886364,0.08330322097632775,0.16957965258986596,0.0694542069566109,0.13748712297601806,0.047535668032966126,0.07008447883297426,0.08463414080409468,0.09065333106393958,0.07763202731408836,0.020422964535515318,0.08482409973794755,0.10108232248154017,0.06601674048563316,0.04279404840649036,0.033810141360980886
Proteobacteria,0.031426855267165606,0.0628785868589108,0.043191910984185816,0.06664134536697638,0.0633633031460677,0.3233388358732418,0.10540515184912447,0.10478299053862769,0.09457814413056592,0.04725250023510433,0.06336263638884183,0.06974931995819351,0.07760236846906109,0.06534172376778515,0.050287549377487153,0.08696819153668237,0.058563162456711886,0.06430979245398115,0.06024109547022452,0.04376728901241933
Patescibacteria,0.0034143024251245212,0.04258249674486167,0.019550932829047366,0.03308440099329953,0.021045631907886417,0.0010846374271096023,0.012081303247523618,0.009706808488705738,0.014167307695857535,0.012197747093098246,0.031263718163026095,0.028928774313417612,0.029921449383839373,0.036902107473768146,0.00749912580428282,0.046042892071036595,0.018730473025600426,0.04428771387641918,0.019923038051106658,0.031745460344326674
Firmicutes,0.006204655076909561,0.04391827201446123,0.04252807794911142,0.06521040711070673,0.07495124035499447,0.06597092090645021,0.0494242910734661,0.061648850345394295,0.0316354977897406,0.04254256917116477,0.039241826881614955,0.03766805940597032,0.03920709086846519,0.032251960760024886,0.023425876381562842,0.04357879080140062,0.029841314573371823,0.042614165721494235,0.05024947014297831,0.026834864210254654
Epsilonbacteraeota,0.0016483524250134518,0.023600639394628916,0.02058602329661323,0.03125191055503871,0.03656579758413697,0.0023664824970479922,0.01750315401242488,0.009190756541863833,0.013939368932850405,0.007854865025650111,0.03097439966937694,0.028486610241020855,0.029754120553100342,0.026139243624500496,0.012250663015394504,0.04757979800232662,0.02252896149554442,0.03629669858059319,0.027158224208844613,0.03432305488619287
Marinimicrobia (SAR406 clade),0.19269059010231393,0.035497902941820515,0.04299343954630459,0.04315181604022598,0.07518510107681127,0.0002693416957100822,0.01410844402703227,0.006575955642294863,0.005002805799683519,0.00786547717308372,0.06961950039748885,0.06737219329631161,0.05489918697722613,0.05048560219895155,0.03171879219245729,0.023106525927220314,0.0821385355428299,0.032505970359404196,0.027593761181193423,0.016185475537097486
Acidobacteria,0.0024581869637073156,0.022479356432522336,0.024161349997364707,0.03622185345381263,0.024274131695208367,0.002580999945970704,0.019584843274134164,0.0038228935534798613,0.017063419893823394,0.01115601713885283,0.036161702116779736,0.03165384116666894,0.033276576207935164,0.01793552777798658,0.02713740182135322,0.029350009401816392,0.03213533857335232,0.027672433629107315,0.04154851803147752,0.05307824118968077
