,DEPTH,DNAExtraction,Environment,IncubationGeneral,IncubationOrCollection,IncubationTime,LabOrField,Latitude,Light,Longitude,MaterialType,PlasticTypeGeneral,PlasticTypeSpecific,PrimerPair,Salinity,Season,Source,Study,Temperature,WaterOrSediment
Flavobacteriales,0.00011910912178612592,0.046299309283756855,0.009806355935271056,0.012877010586899898,0.013696518311261972,0.016579122805387717,0.049216408557800455,0.2516588028423218,0.015226047022379107,0.011320953176523672,0.012828172934614974,0.014778851870228798,0.01799855855707399,0.0396712939174395,0.0022884754472081116,0.019002377417626778,0.009856931344937364,0.0324477872404606,0.02929942054055899,0.004897459895263655
Alphaproteobacteria,0.0005699789978849669,0.0314217003926444,0.01025426101593935,0.010671022286056334,0.008931377415171164,0.008780858924695396,0.009626507305370931,0.01819547245311929,0.006354642449957583,0.005859894629391621,0.010898937906385952,0.010938629007612527,0.010615282247784432,0.029698845901234037,0.0019114083673919,0.010950939334311013,0.00673161843167164,0.026410006574669756,0.011500601210006137,0.004517108824481131
Proteobacteria,0.000228095448940586,0.030195499437782367,0.002310476282392649,0.011207388067662518,0.009251012294575181,0.00048160046373757606,0.008129579736528227,0.18061138265928675,0.0033402543556556486,0.3593757155611137,0.006876848994410364,0.0069089097062798345,0.007519413115605126,0.03538717762178484,0.00032440500519270417,0.006896724871126507,0.006186602012740022,0.02582103878459252,0.05817624215086034,0.0019116363422620561
Betaproteobacteriales,0.0003023648564697119,0.01847661165779114,0.03795436488805564,0.02151052917870399,0.02980829317275949,0.004522283723050268,0.01886540415419581,0.02245468022044315,0.024856482760290028,0.05934029914890014,0.018423173205391812,0.019738718314303925,0.022700102291863148,0.035917371024101336,0.02312591460983925,0.02453511237603431,0.018228675092859126,0.025037236825221562,0.0337026605644278,0.006669766409619947
Methylacidiphilales,2.204138084994218e-05,0.011855224206944069,0.01751139627240155,0.02968324476981194,0.010376378103652979,9.352401980692327e-06,0.0004404077289247021,0.012331920205331899,0.0001873874421429983,0.00239495324991159,0.005901208160999931,0.003189317628854639,0.0033863958356443406,0.0042749447656840744,0.0032823350284765735,0.011918551437424166,0.0045781449741704346,0.018027101742161277,0.0003620578685991182,0.00014369454777829815
Rhodobacterales,0.0005990688302301174,0.017926663487758943,0.02109232196281519,0.01223544377962093,0.013564200042979506,0.1307201785443606,0.03551219573979379,0.01151087418538567,0.011065851684862392,0.0057554985215258194,0.019703420406009756,0.027503792584423946,0.019146632767212294,0.016533419086776253,0.030975337922588823,0.02340073745560174,0.01489539408485913,0.017044465998453273,0.013669587448167047,0.018496619268679036
Synechococcales,0.002075830018112445,0.01092726662257697,0.007324020058272829,0.013568876405200651,0.010521173766933513,0.0033474643774547347,0.01698475561612235,0.002222626160737603,0.008379016424508003,0.00251696988282147,0.013752060789011967,0.01652020665288865,0.01758334000295337,0.014691208449609562,0.001284284961086905,0.009309039379313131,0.013999797119947158,0.01646251962530149,0.017152351283129204,0.005040272969836392
Oceanospirillales,0.000800417503040011,0.01851983918556933,0.010018138639504107,0.019915765847575394,0.018860110770613267,0.014374489812371735,0.012126480234424206,0.002159771536361652,0.018548610307932447,0.011431173842647123,0.009629934828742373,0.01404080621228029,0.013820544809240661,0.018714151350464604,0.0027433152621610724,0.016756525729688988,0.005602661514319387,0.016342392670214693,0.030941798585883543,0.0034649757720546176
Rhodospirillales,0.0006444817559878446,0.01615647330310249,0.011334469287435985,0.017404895860322154,0.018391732751937565,0.15011115913022477,0.0175652658739009,0.017748475825535882,0.02162903391077277,0.002496793295261592,0.01965977616882784,0.02173850730374357,0.021895066427875406,0.011637603034413392,0.0003048521656799179,0.0107445130298436,0.024451469425502314,0.015471484854853865,0.011130249650325502,0.004079434709760164
Chitinophagales,0.00012803995984129467,0.01490019149375857,0.004270785838543258,0.00965690866060624,0.008423926635912923,0.0033154623545788835,0.012726812228260989,0.00268101525404348,0.008504020156821966,0.0015177619196411992,0.01336686270124462,0.012078332527864999,0.011634049791375967,0.01612416448547843,0.001309600987866673,0.012838536026228874,0.006962306927666601,0.015333843572762787,0.005901026033048198,0.0052004739474908745
SAR11 clade,0.0007329789400288654,0.018835624454998534,0.0022431719445014423,0.020069606237308496,0.02286317754217863,0.0008134562637649246,0.02076134597773866,0.0036681639078391145,0.007322859459549971,0.02742681193839613,0.029292656522882963,0.026182532659452893,0.023269428653173756,0.01745522975423725,0.0001734849041876414,0.008777469324012906,0.0297203846388771,0.014983096260644077,0.003598412412881192,0.0027780589853178416
Pseudomonadales,0.0009429041742628076,0.018764698832731054,0.02439667005560837,0.014210360409942103,0.009426259778254637,0.001810282755762586,0.011564351421103179,0.0024288701664265805,0.013083948391437613,0.008381766457553022,0.010741548300866743,0.00983849193385994,0.011432960457964299,0.022000295341392834,0.012248957920403536,0.008142040983251771,0.006157608749571082,0.014331517084498096,0.00997362988290434,0.008982090246385742
Chthoniobacterales,0.00015309985848902273,0.007869791449553262,0.024190378803492982,0.022570299718325415,0.008539327996150654,4.87686867853169e-05,0.002442178089372432,0.05558825602128432,0.0018255164001251217,0.002169452910289537,0.0074369072329074784,0.0071390039012349605,0.008221546116348627,0.00973431179375741,0.017748011665648388,0.011236070846973749,0.012038307194151636,0.014125909257889861,0.002270322747856612,0.002939122992573665
