,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
eebac1ea6be5626296f86b16cde31b66,0.01157408048058509,0.18828124875041896,0.27707860678223795,0.0016607652995271848,0.00017634130607585273,0.0004216562585148366,0.004297867422548514,0.0026806101026550524,0.0029335327952573187,0.0022433315289075687,0.002603270613727657,0.0011897905608928253,0.0009625245355021108,0.005759051311731853,0.07741271355595421,0.0007998603292976355,0.00013305547335016986,0.0024578591080424363,0.014445209596174749,0.012828144487970627
3064cab665172c8f33f645da13512b4f,0.009912221450223378,0.007657604262572542,0.009462349591359435,0.0009304164606816509,6.213484039074812e-05,0.0002620250278067639,0.005149533790889385,0.0024404812991155617,0.0027422477292316947,0.0026903399709404985,0.0027589690753182005,0.002573877088817684,0.00018462549328807204,0.005024597655398021,0.0037534581490493322,0.00027109859459049517,9.415737753022873e-05,0.0019985076281848146,0.012047518224187032,0.0109773503894453
d9f3ed1d204f6c5b1500ca3557dc99d2,0.008406068901580726,0.1541719382758211,0.12546164544183597,0.0012372526381145342,9.922958078227897e-05,0.0003380837660749302,0.00349847138996372,0.004328224203447435,0.0035078837259040667,0.003269099198433846,0.003538410299551393,0.0022030298469759855,0.0003379979155576578,0.004137140570869611,0.05846979895363596,0.0002504880344312623,3.1848000918546574e-05,0.0017572337855046535,0.011160719895427032,0.010354124255977716
8c7ceee5ea67170af32563717c6831f4,0.0074597959576013775,0.027127219186463235,0.01225810690596854,0.0011212257533494195,0.00014872404393770952,0.0002668068940490381,0.0038152629718649286,0.003460992872609629,0.002996593095269048,0.0023869806969982746,0.0028917665347550922,0.002134046221621189,2.9707656589140614e-06,0.003649453301821804,0.007074861452249039,5.992637448704516e-05,4.9744866052406686e-05,0.0017933004601153118,0.010343943803306646,0.00937821627788959
ddc675e112b72bef9bd8bbdd384c64f6,0.00595569523409254,0.00022252454684601976,0.00042604373105575703,0.00647273676930331,0.00010562315926026836,0.0003024643228676131,0.005492417622017957,0.0029665065437864202,0.0028783776568601506,0.00255124128544471,0.0024038519232810504,1.719487261760427e-05,0.0012854014099709754,0.007767020129574527,0.0003631928447424996,0.00024404520784074884,0.00042199610533519966,0.004768995546986853,0.0018284430665466594,0.004167037767113973
ab3c8788d244ad9a77a7a48ae03ad6d3,0.0059306880073551095,0.005129066440788763,0.00019371355130397576,0.007000186828211642,0.00014656880474343153,0.0003118589667941488,0.005294442794380374,0.003424214828109284,0.002764493094611658,0.002587703497499968,0.0025138066400717486,6.609129072767658e-07,0.0002946398916183203,0.007927273637603306,0.0005074916266308751,0.0006403835912735987,0.0005215737413857251,0.0051780294847314084,0.0020634656344116027,0.004349325245128839
9ae4e592d2dd081e2781c7fbe8f120c0,0.005426277021497514,0.0008071734508293101,0.0007185688254413442,0.000522492005061385,5.204949854210657e-05,0.00013308560235815963,0.0020270596383566916,0.0023722688506978263,0.0019420710451531836,0.001264155867230471,0.0016441626897604638,0.001726759885023888,1.1413852472483796e-06,0.0020876039882133327,0.0016939519850675822,1.9600795566143293e-05,3.1554493119305693e-05,0.0012838347793161118,0.006830170888317167,0.006984098257985065
2ff0e64636a0f6d6852c914c9d3d48a8,0.005274347711226339,0.0016851042205346777,0.0019728823178630263,0.0004456887769163221,4.518598458048078e-05,0.0001673136833399867,0.0023838584403055516,0.003262894335246751,0.0025774206295287243,0.002165021252534133,0.002118793716973881,0.0013473814116073772,4.379246714820279e-08,0.00230653864300274,0.0019180628382505231,4.9457500367517356e-05,1.3143623909477494e-05,0.0014092884797366986,0.0073774284409418075,0.006620855564563875
dc1f113c270b8457a25cdcaaed038082,0.005225127811558643,0.0007107399718006816,0.0002491223535626888,0.0001521049354472489,1.1995639125181298e-05,4.19806729577491e-05,0.0028883007354377392,0.0028662817914713204,0.00157721379422502,0.0018411031358275525,0.002091515595453787,0.002321259238274563,1.6482469685460086e-05,0.0023028478301735534,0.0007541070744264956,5.875609733180119e-05,4.9951309858946034e-05,0.0012811267148222748,0.006932291541504695,0.005825480696792174
12007c6d1135d67ecb05d1e9c774c8c0,0.005119508482260865,0.0008801830750489942,0.0008190346520457931,0.00026329494189440645,2.570145499417937e-05,7.112358718358804e-05,0.0022378387019747615,0.0010538589211275097,0.0015242229303337677,0.0012019981939304693,0.0013405524486564033,0.001036238188935383,0.00017084606613439234,0.0015672746572577985,0.0012962365922581395,7.738718681362095e-05,9.575356566594886e-05,0.0015454147220959557,0.006219539038690032,0.004960813622631504
