,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Flavobacteriaceae,0.03682851611713586,0.3900002233623578,0.1634255497393856,0.011131614466887839,0.014707488171617003,0.015265751537411248,0.014878685402339236,0.018181688220224593,0.020473153374781304,0.019342499610796333,0.01968839945391613,0.001520550525003313,0.003737884504504421,0.017849676234223465,0.1639992460274865,0.012911695711946912,0.012023202045178986,0.015565399725988806,0.044580520172139884,0.047537938995924865
Alphaproteobacteria,0.02464936060515839,0.030083779540404237,0.159009038082866,0.008811587687753905,0.007474393712280427,0.007698999860644925,0.021687494872563672,0.010305319267661341,0.012430085458968877,0.011675996939201391,0.011449333639666224,0.017564335209196445,0.002135739663892594,0.014160527234750805,0.01751539041839889,0.003067369245719577,0.004759251815696044,0.01266995243603884,0.02976559478055786,0.02948361574680455
Clade I,0.01832240548320341,0.027760231103709038,0.01446729248809116,0.009871107546514832,0.0035957999094139033,0.0083652905504611,0.013262804236384877,0.010989336807069957,0.010571636694985266,0.010555002879024639,0.011102020445549,0.039232419341472306,0.0002901089934941785,0.01278440914864783,0.007289349295068924,0.06225850408252563,0.002580573799791719,0.0077094795105828815,0.024633312210039063,0.0200561867221461
Methylacidiphilaceae,0.016333590823662147,0.042220388815096835,0.002290307380838658,0.01615576343594223,0.001447032769505812,0.0011545179146209496,0.014853619656897665,0.008896129049774108,0.007017094505190757,0.006775218731153513,0.004166689650044998,3.307013273275222e-05,0.0012217181538283577,0.02370080509777519,0.00048073348546693283,0.0003646375121403164,0.0016664741783861672,0.012998317330450943,0.0030433247976891205,0.010194329614365663
Burkholderiaceae,0.01600078204031149,0.016161525810696298,0.009405434688909996,0.03499146864947337,0.013537789270016047,0.014755849236885936,0.01501345492348346,0.029422765735322615,0.019018640617060587,0.021297162860556784,0.019899801346075625,0.008833038707825829,0.0018438912836138072,0.016835016466973347,0.03541798416714788,0.022318114427888967,0.008778792842784273,0.019282141202742954,0.031754961543280155,0.013491655373450656
Puniceicoccaceae,0.015045859088325474,0.014410216888196164,0.0033498085865819277,0.007452919179699987,0.004182257800748739,0.004623257575823084,0.009835906953701226,0.007978896379947625,0.007502762791009744,0.008768582413737357,0.009553519191952927,0.014137882307774552,0.0001344771187123661,0.007925628340528592,0.00810151716853288,0.0018748184375753313,0.0017602818251369523,0.00764959904419417,0.02405009074010514,0.017360067189662518
Clade IV,0.014618033364723778,0.0034051868984125147,0.08270968651830174,0.001438260425453965,0.0016383770237885873,0.0009324438328935004,0.004754320033521286,0.008251152385392986,0.006740261596725325,0.005918764657900329,0.006102856516974197,0.00842191474001238,9.335206382093947e-05,0.004647553444091677,0.007180770839367716,0.0002708499661208387,0.0002477458486065816,0.005444082688698775,0.017930224898097046,0.01858011214500698
Chthoniobacteraceae,0.014494385536274353,0.0016882886936309778,0.0006627844226581265,0.019552450975435513,0.0016104010978692106,0.0015719448172242432,0.00943408270075056,0.007343904102392801,0.0072654188010768984,0.006046523180155943,0.004771260312341148,1.6462167027138773e-06,0.0012233787622457732,0.01773819899786585,0.0013096103723318998,0.002635791356545332,0.001845136997177588,0.01758429261997408,0.006538011875367377,0.012665032176561848
Saprospiraceae,0.014398917415635608,0.004926874259805476,0.005379571078594576,0.007489400952396368,0.009229974297097716,0.008265420620924432,0.008293732591093119,0.011727816764773073,0.01315188974877593,0.012560509527933686,0.012748072753728431,0.0001775710366585438,0.001924640012923998,0.008401463001557597,0.013544218093916257,0.00519113334967138,0.0068412843890519,0.011678474802261187,0.014459738132735432,0.016108234155359565
Rhodobacteraceae,0.014100462892373013,0.013256417189909084,0.03409883582729086,0.010762769935565833,0.016215155664080404,0.012081292582843378,0.01589470389075941,0.019865752178505808,0.02319747452780564,0.022617269967784823,0.022711704909023536,0.04561235883611981,0.008422835840006276,0.014918620121186615,0.02601689640916616,0.014236542871932874,0.011753960500451225,0.018397133431131824,0.015700832930823302,0.014642141359668008
Methylophilaceae,0.013260834523360847,0.0020125010873976675,0.0007935434206778326,0.009714412816497679,0.005610563698426285,0.006656750072493109,0.012913432702726811,0.014203442763433523,0.011426761747438613,0.017570940370175415,0.017042166388499952,0.0009698431671801994,0.0005991215201619041,0.009994547379287863,0.00878748507245961,0.02126610621715266,0.004082388910857457,0.01417516269853002,0.013665203347676496,0.011255121705195973
DEV007,0.011657789907524549,0.005573443460809371,0.0033474656445922494,0.0031704194922982307,0.0089427828055825,0.0023119535248108756,0.008112373359991007,0.01444124906539576,0.007468635020859393,0.011154755839801833,0.008954319597263602,0.0025703371660210673,0.00026892709634214387,0.005971484300568434,0.0046079847538185925,0.0014648190307723808,0.0023551977610810977,0.009653093396418422,0.013098508843785137,0.01484002322948761
Pirellulaceae,0.011357343372055849,0.0033172226186972413,0.004032117952628422,0.00926018383400078,0.009934035195252326,0.007486644773645764,0.02328029149573687,0.012031192264244782,0.015337505280548242,0.0146147918987254,0.0140096032374621,0.0013930503697725462,0.003978256197812349,0.021047086269957254,0.008050628385440342,0.01053216955860279,0.010702746216751498,0.014355447099812162,0.009575436185377763,0.013032169638220308
Sphingomonadaceae,0.011335750614281733,0.013278847376930176,0.009537983097050678,0.008874352646756166,0.012523978758453578,0.015439312797716992,0.01871188193304781,0.01723833475003364,0.018240058459545315,0.0199785510998276,0.019566551210520672,0.010146227121185979,0.0074111223984361175,0.01676094576030174,0.017803699045239863,0.01676766731506125,0.01140095527652632,0.0179097707600178,0.010580666312762176,0.01900731103542401
Clade II,0.011145400808404732,0.0030721314780869963,0.002575135555249423,0.00629687636198818,0.0024370544168182116,0.003065277392979848,0.009959786044184887,0.006989817400306847,0.00668589990615826,0.007316302453088233,0.007859628694919513,0.008143568844784939,0.00017491132568736104,0.007087430890037391,0.0053568580710426856,0.00040540908486672055,0.0009446247394091099,0.004723910419731051,0.016554105103018982,0.011616426919211525
Rubinisphaeraceae,0.010991420885069183,0.0017777227237475454,0.011711897897028943,0.019042712957288106,0.0037977898607927654,0.006883180470376495,0.01684676283715521,0.006741087074926902,0.009786746272985418,0.007513950545650425,0.008124317367037929,0.0001619110864136742,0.0009126847139051608,0.013658035577724957,0.0031106800770928974,0.0029733413828951956,0.012242037574454398,0.009498847790687902,0.006780224579594466,0.010925844906082687
SAR116 clade,0.01096588642911297,0.004014904890118962,0.003974594125617825,0.005315166336611455,0.00386853075250086,0.00561212444415669,0.00705494303039283,0.00890547961473336,0.00845742389753838,0.008195330399153523,0.008787296259800716,0.012869904112195888,0.0002564912549906535,0.006842745479978406,0.00862088746713251,0.0012644488092291002,0.0022385994144284308,0.006872574841074126,0.014095645288323137,0.012631493385806946
Proteobacteria,0.010745982274607392,0.00568988956725045,0.011361269016252716,0.0006932895652275212,0.0026286797390579065,0.0011444928075894799,0.004661960327960968,0.006034496297235073,0.005194535209786829,0.00513221149753454,0.004780871210512619,0.003767159158725443,0.00024569440071025845,0.005477978987055485,0.003780258009556451,0.00043325387949006897,0.0008923873151972664,0.004166827391787578,0.012305671590123276,0.01205026212077903
Crocinitomicaceae,0.01070608674031574,0.0029874985562430402,0.002373161059179722,0.007513678579111591,0.007762318452047878,0.006425501817552768,0.00666072982400816,0.014370950035375384,0.011320393236039342,0.01169825516179743,0.01146358840424593,0.00020173228884045764,0.000938565428932999,0.006983581310716501,0.006967614199805713,0.003724509259792007,0.005581434334589509,0.008691488531748703,0.010530173285791821,0.010339705702476349
marine metagenome,0.010626487532988947,0.053810030720490946,0.0007711851929354586,0.012757288971359181,0.0023970795259004966,0.004595827691227747,0.019116715743017296,0.005722902025997957,0.007675788321727294,0.0054998023593456034,0.005125524014518001,1.0494499727784075e-06,0.002543594561570502,0.015363730604664835,0.0008293947759347933,0.0014166171029134408,0.00593121937221962,0.007225380053250766,0.003509083393152902,0.005635342080663235
Rubritaleaceae,0.010193094542105052,0.005148142623907867,0.0030258962489515327,0.004439292215747708,0.007035394489302514,0.005682804105550978,0.011556181254356288,0.012429095674805154,0.01026194518171513,0.017348477676900655,0.019236186141032417,0.0013914012616899468,0.0008160841408030907,0.00819017302245906,0.01004401961221162,0.008741246875333111,0.006385014023357147,0.00891645482124796,0.008543149745860417,0.010553086752081858
Cyanobiaceae,0.010140501998932136,0.0030493251922880833,0.0011640683665339164,0.0070237443258967395,0.01892050797883785,0.004420421414668691,0.018835661976954653,0.008333518405689747,0.010159128544942794,0.008804539812963289,0.00871205333595338,0.0004347847332767398,0.002177097988304054,0.016549858103223264,0.007640338579517266,0.0045479810906216365,0.007277823445848103,0.012183636893398627,0.007978881770399883,0.009314879136730283
Pseudohongiellaceae,0.010126273104542937,0.001259759789422301,0.0012744842979869736,0.009260349425454197,0.003292495646535344,0.0026431623142484702,0.0041730024877849724,0.004664804668412475,0.006852281188951197,0.005235262812601771,0.005471446428880471,0.0005558016810075425,0.0015383618516552214,0.008739253773985631,0.001549521558109645,0.001086504657105591,0.0029736091207545902,0.006344987842182439,0.004226201780657552,0.007737461921072237
Rhizobiaceae,0.009857668316388405,0.008031739879622687,0.005363437790908437,0.006106927351533334,0.011808614606062869,0.00873205424424337,0.01219222265201611,0.012982941548183198,0.015529548463208413,0.018417078408916113,0.01661264379912716,0.021811505157994147,0.0017437966567107584,0.012022108111302566,0.020949074114628135,0.006659259542738619,0.011566359114424296,0.013832726380831535,0.01032542020002916,0.01546701399875798
Isosphaeraceae,0.009761815557542393,0.0012208252035614097,4.6683235478594774e-05,0.008073840605973406,0.0010737529818826096,0.0015569205503858938,0.012613908379833547,0.005102795554324458,0.00495143254809012,0.0042061263925122026,0.0027837208874572335,8.893825239328402e-07,0.0005063053977102163,0.017865064659796717,0.0004874762436886716,0.000180540165636929,0.001372045993637873,0.008152580537729683,0.0019759028331342745,0.005917082426957204
Parvibaculaceae,0.009498542067735363,0.00362130209590868,0.001570245938849208,0.00038828428663021693,0.0025088214340354123,0.0008964311605776354,0.005678885461291651,0.0046579886716177025,0.003937483970565916,0.003189835925012499,0.003331106793385313,0.0029508515728830054,3.430054003878083e-05,0.004444231621251988,0.003899579420752667,0.00025125709991068016,0.0002811752021654834,0.0034804370169940813,0.009763754760962112,0.01180497880743918
Terasakiellaceae,0.00946237452716137,0.0005930824557228317,0.00011152134035848713,0.012205216986170745,0.0003776615671839563,0.0009221058669318293,0.00979781947397288,0.00568906413356083,0.0041980313849324545,0.003038030130442189,0.0022635330398252597,2.487211554148927e-06,0.00026913792008992685,0.01622402570016145,0.0005782784728373953,0.00036649320620745445,0.0015357330751181717,0.008707063067013054,0.0018765164758435537,0.007240802940980737
AEGEAN-169 marine group,0.009428000484396003,0.0045329656618027896,0.003255151476529902,0.002008520160854652,0.002570545949831627,0.002772106178320521,0.0047807379211361675,0.01262642157968088,0.008019927556542189,0.008603833235560838,0.007737317571102193,0.018329589512024652,0.00043496685058703885,0.005908920995108616,0.0069947245948916,0.0004635980059649675,0.001317355687489924,0.005391241213196,0.009556570829042679,0.012295611396849381
Alteromonadaceae,0.009406283577087032,0.0025477387856482478,0.0028879401220270836,0.01411413914286116,0.005934880476225818,0.008388205968509916,0.008336843053761037,0.01319637747091404,0.012274169711125027,0.010711871479972443,0.01220239312251676,0.00025687827051775386,0.0029303443523123647,0.010053252900910338,0.00665172449581176,0.00648679919654705,0.0104136995114164,0.009331172777344398,0.013006588946876266,0.008914354422284122
