,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Erythrobacter,0.015730975079704244,0.054769747322541563,0.050426561247278776,0.003994264298597108,0.0021958758605269873,0.002540842330071547,0.003907223507024294,0.003883880238163858,0.007665287793656733,0.00545735024537308,0.006170601367413188,0.017702672678862063,0.00025816373007403535,0.0035550280063219794,0.007257354992049838,0.00032075010179211273,0.001207138913799416,0.004266406306663471,0.0210233135381003,0.01752068992108423
Alphaproteobacteria,0.014905551596796048,0.011965299063400988,0.02609167718584104,0.004683793046082835,0.0037875880168025916,0.003482931535221195,0.014146676447114518,0.0066861323845989785,0.00789878080619721,0.006694430307668879,0.007216796277909454,0.008028289962236276,0.0009523745169271722,0.010890538866886765,0.029331549772155664,0.001680292559375428,0.0030353241158727682,0.007623402260336159,0.018498220090462415,0.019021131428258776
Flavobacteriaceae,0.014306032739095179,0.13924453403808582,0.23998765365600846,0.007565648786581015,0.006692947307254759,0.004063640419933321,0.007677567880866716,0.006607233621561431,0.009737831155038493,0.008162350393979587,0.008497015896102682,0.0008771223395028123,0.002492631103032716,0.007704348742187459,0.009298527285344792,0.012289520421218742,0.004991564132123889,0.006607171481961141,0.009701668605107856,0.013163042079919526
Clade I,0.01291236817606842,0.015539927293289693,0.019941768636424374,0.009764782870697169,0.0017450658567360311,0.0046326891358096246,0.009714608892797523,0.008654507215094996,0.00794886855726768,0.006908470139302097,0.007884095790488653,0.03075902273047214,0.0002167370769239623,0.010003908289006562,0.021271939894469502,0.0073209935428356345,0.0015543726383404149,0.005668297414828054,0.0187156030952821,0.016291481672111276
Clade IV,0.01141877596962175,0.004335711752181443,0.0034377054084955565,0.001419471451224391,0.0008221704621260089,0.000547786905458352,0.003195884193676363,0.00784365716757606,0.00527472014179482,0.003992399682431569,0.004823186775409534,0.009895414555957271,4.386354040175896e-05,0.0033366965112866178,0.008641815447432016,0.0002561683160228625,0.0002111850501232551,0.003304807658738844,0.014013467259165004,0.015175117417792051
Lentimonas,0.011271372530214863,0.11939298175646586,0.0577553398004836,0.006680234797112992,0.0016581390979972027,0.002774337089567961,0.004680567043577895,0.005435874290082999,0.005683742432003076,0.0048592068618505705,0.005976453180956408,0.01733260047888135,0.00010079881480212073,0.004736062595624309,0.006117367842819152,0.0013206145898078446,0.0009565899450570244,0.004246829023476403,0.016085911448361693,0.013952653072848145
Parvibaculaceae,0.011031429360048733,0.01599962662079527,0.0049482823479936565,0.00025526548145285915,0.00045429100232191323,0.00016164072990082525,0.003372059337261293,0.00626620808028019,0.0034618459693874525,0.0023703042048034825,0.003364029465847255,0.004491687387359414,7.493072218558363e-07,0.003129761895159798,0.032863568439663815,4.911097843162049e-05,4.848955578823397e-05,0.0019451089028083692,0.0140088269487781,0.013755515501267895
LD29,0.010965714088277961,0.010674992674466482,0.0015087863042502318,0.012091500687656615,0.0005661839416888137,0.0008365913379685478,0.009564662667600062,0.006353654969465998,0.004729283458019846,0.005010148231445479,0.003060546581952492,5.64005717285568e-05,0.0012226326671357242,0.014632775974618454,0.00045869376114063086,0.00036666180381424987,0.0015115745240621558,0.008854810873767247,0.0024171864839994603,0.007390403404032256
Methylacidiphilaceae,0.010159096653091901,0.012858445072243489,0.0010667314549640497,0.011589062293203124,0.000399605031773947,0.000677531644110789,0.00972720936829885,0.005603918216300986,0.00484736981178596,0.004323970619728795,0.0024540521047141627,3.611694343085359e-05,0.0012620302626921327,0.015114607520976904,0.0003680522518790299,0.0002175427001496065,0.0011644647836481286,0.008141970853510896,0.0018937173079541822,0.007237306466313981
Flavobacterium,0.010025506093627528,0.014624044690372776,0.0015271811391229704,0.02810803092359301,0.0035808845507490526,0.0026427590622289557,0.003644363833729354,0.013844898698004553,0.007907408638455557,0.010653792044643218,0.01110560495149455,2.1926738403572695e-05,0.0007513733727318176,0.004947037642439938,0.00402686398934829,0.3211141642145859,0.002561391690705903,0.008201988589488382,0.02340747998380351,0.00897343866088275
Oceanicella,0.009803739538333524,0.019508498504589966,0.004517864821497711,0.00027358295406114283,0.00034739572998131727,0.00020341364645460138,0.006160758116290917,0.005480686989055673,0.003233691448085936,0.0027699599790609033,0.0023834370454135713,0.02972253351102933,5.74417544071924e-07,0.0038968392259850168,0.05691588091545158,0.00012534519235214836,0.0002563824673621112,0.0024432021951574126,0.012974223093312632,0.013136722475028288
AEGEAN-169 marine group,0.009678069810077307,0.003986645244258032,0.002140453712277091,0.001151736935484992,0.001102510984962056,0.0012414316811571494,0.003640087400074573,0.010304778450848756,0.006061217653686697,0.005934794435907982,0.005392251786112807,0.015154785483494224,0.0004003568493126261,0.004273583319358041,0.007120868534239684,0.00029049708736871233,0.0007130198634690813,0.0034358320605162238,0.011902281663503404,0.012301527893569413
SAR116 clade,0.008969946099318478,0.003147632822660913,0.002863107160592086,0.004055552793885437,0.0014374997368307788,0.002552602063445163,0.003798515929567701,0.007182806079726769,0.006403158415405178,0.004930261781882001,0.0060665307136078565,0.005696026245104815,0.00024370234077961993,0.004426934046454706,0.0044918053285262155,0.00035754740775539347,0.0010111838580814402,0.004564209100115038,0.012516410153063387,0.011991048903045155
