,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Bacteroidetes,0.17038538148208887,0.4543072180922808,0.4681407092015283,0.10500960140968374,0.1011912043046945,0.08706139216604013,0.0930196729304628,0.09380507747408497,0.11024725404192305,0.10257005772554179,0.10904633794096313,0.03142838167791045,0.0854063423830451,0.1068789437544564,0.2547192601596056,0.23657502983782694,0.06548610497909373,0.09500568228617712,0.19978497365723427,0.20848742991752814
Actinobacteria,0.10643708514900126,0.06248985752824097,0.0493939669691287,0.12264625349783997,0.07416034897525786,0.05269986945203079,0.0715433515142193,0.08791018013777653,0.09006755943446107,0.0864270046604306,0.08739950368811933,0.06526739784990714,0.030608984026618456,0.075974321156459,0.08177877990004279,0.09013578225916459,0.06846037881348284,0.085795882424559,0.1154132275744762,0.10247179532979449
Planctomycetes,0.10484049289797644,0.08779779848785228,0.045241727845331675,0.15054590631184211,0.060727497008062306,0.06856288180012315,0.19095768590589732,0.08369533798824828,0.1051524099634858,0.09815238320818308,0.09805245554219832,0.036236204175077384,0.09980846868144505,0.16201391476535493,0.05868349357027482,0.11631043303803294,0.09110794662561396,0.08137950980850048,0.07678469599957523,0.09779236454070385
Verrucomicrobia,0.09219878528065285,0.07286150858312669,0.04347652267092757,0.0907258375909397,0.09380033700005963,0.058555888437748456,0.08107681591872534,0.1282584141674644,0.09684866464108172,0.12274144987023969,0.11730973698144757,0.11806937271121658,0.031158152628375776,0.09190061275599726,0.10306877880443215,0.059156695862464886,0.04859783596716876,0.1026603881927892,0.08598435726122734,0.07487910719201618
Cyanobacteria,0.09134449820612822,0.02535778228602161,0.03773368005533544,0.0714190816294355,0.1857457897799534,0.05412300041196017,0.10593411693580224,0.06556344598860557,0.08482514871200915,0.09353111106436302,0.08554227822334604,0.013503097215435054,0.017523137946520585,0.10221166031169444,0.06902572968593904,0.050657255557714824,0.038995149501536784,0.07132065736819183,0.07102306656706729,0.08434988179027991
Proteobacteria,0.08806006158484497,0.09288931333500249,0.10073787796656546,0.07548874119738087,0.09227720187330184,0.10818142856096404,0.09304109622548257,0.11945836447281902,0.11612151350507945,0.11139824454813506,0.10699458368324778,0.1584477138740351,0.21814640931167387,0.09068707125991578,0.1243126323293088,0.13183766913510994,0.09614109819226241,0.09809482731456048,0.08937224404165187,0.093563767676908
Epsilonbacteraeota,0.04903307360171417,0.025882120072111405,0.013469417724576691,0.04442818414478337,0.04618389213232644,0.03251922221738882,0.044072454945617914,0.06524318346985647,0.05755090001739242,0.06142861050105301,0.06610393449802117,0.008985226746702848,0.005897312247148261,0.04482908327649196,0.03374760595630009,0.03276670537353285,0.03096463323569671,0.053792447617441695,0.04709290146267246,0.04863248862184897
Patescibacteria,0.03842841498444758,0.012543123131004875,0.007725775646333142,0.031121664223612615,0.0164282430772908,0.020119111216934833,0.018457263166247257,0.0335595723028331,0.02547823302575878,0.022975839434002956,0.026327495029032644,0.0022670926672156842,0.0004513966241918823,0.019013309684379292,0.013357643284389225,0.032070067161418955,0.010730969044574002,0.028400618728581895,0.020656747937541787,0.04420551390063048
Firmicutes,0.03398424938045464,0.028888388457836887,0.028679018873909896,0.03517132009294085,0.08983120121747251,0.03695877835403532,0.027261836478431535,0.04411603908797366,0.04398266233701229,0.04271748600197243,0.03854184147274149,0.06891881345047209,0.008622260813702065,0.02932180964847377,0.04242692834563241,0.03532690464250345,0.030234815527479107,0.03222940806202291,0.029431697732341503,0.032028171874867103
Chloroflexi,0.027738870654960442,0.016423937616878072,0.016195676085884726,0.03540535449424942,0.028598740088502436,0.08706555536511272,0.031971867257823854,0.03783121014162498,0.03906882762196436,0.037849136697074445,0.03858429907086604,0.020389734092849107,0.008001693121317686,0.03603999682842877,0.02811548408010544,0.03386894467586227,0.06995190817111037,0.05283822128116341,0.03451848574286367,0.02396607988907139
