,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Flavobacteriales,0.05135877413851044,0.3990648935942779,0.2880245282510728,0.019618522098752415,0.02480016992478005,0.021523740269257425,0.021929005564773504,0.028002092016481885,0.028843486542300543,0.028655816523955234,0.028928591349722744,0.02219485347222502,0.007006474708616683,0.0248262460624518,0.2070912142193906,0.023673003250880693,0.017370585441302204,0.022608924292819257,0.06016768942108457,0.06392593991697584
Alphaproteobacteria,0.03092062895503331,0.035118235627305615,0.058240118514567916,0.015618543288609836,0.013609500958312268,0.012095384687374885,0.02548214952772587,0.016350531106990595,0.017731560488132736,0.015537085173519932,0.016934468175156914,0.024352447751648278,0.0017469854431807039,0.021565198158711236,0.017219972389797313,0.010884186367648877,0.007226280281865796,0.017688327517819347,0.04063955958729564,0.03855270251256395
Betaproteobacteriales,0.027076039036291258,0.015623550938279026,0.018920780279748008,0.041933774517664425,0.033034157939339885,0.019807697514688406,0.02393107065157592,0.03588795914831284,0.03180893914274441,0.034561628388872306,0.0335664114989882,0.008424462948004008,0.0033805705609252328,0.021844694222091208,0.028142372605960163,0.038053310549097004,0.015441990596406234,0.03225296166415473,0.0382051257622149,0.021181395519382175
SAR11 clade,0.023367377129826637,0.02111448424139747,0.00802666100136568,0.011114517007197034,0.0078800021920436,0.01567638351804916,0.0242155525880426,0.018261718719554003,0.01739919048707169,0.017742698215783316,0.017638004799845782,0.03118100172286672,0.0007422794556907425,0.020669096108213134,0.011852761214171297,0.018469291181943383,0.005722133843282456,0.01288237034562159,0.02853627523247195,0.028146085644565166
Chitinophagales,0.02302978344430096,0.010649962329096905,0.006296888523285442,0.015549374451060699,0.0147551777423595,0.015884145918638338,0.01527748147792674,0.02103983930465098,0.020552818939719383,0.019308860633617336,0.021067741494177877,0.001333274320283372,0.004540047754759983,0.015743126377125292,0.01460598554279213,0.008464360841238416,0.009429394454799707,0.016530036484965843,0.0258509818081925,0.025403491699578343
Methylacidiphilales,0.022363838346775605,0.05436732047493314,0.0023803278282883253,0.021119376098253765,0.003124049542001399,0.002082962388465954,0.019941067092111204,0.011841565290665896,0.010368093904735115,0.00884811898598333,0.007362300754205257,1.58129580476225e-05,0.0014805947263273691,0.03397665267347914,0.0005772640026486703,0.0008261110966965289,0.00204746380643872,0.018720639082460248,0.004347491154755698,0.014631009701015513
Rhodobacterales,0.021593891458052784,0.013564325985935665,0.12215661304439407,0.018052828338889552,0.028473730139997988,0.01885406838667965,0.022516813425208917,0.03086923504364115,0.032157883127736,0.030537768387209223,0.03104179079060958,0.05176302112485834,0.013667948556320439,0.020701837218459952,0.038285658291554316,0.017790028438884543,0.014409469940073208,0.026809477070558693,0.023165749242630967,0.021293714871952613
Cytophagales,0.020726265096646587,0.004482771913410273,0.016212572076952068,0.04052018783347052,0.013906823112201028,0.012905852686787265,0.018195813278481965,0.021519945888260516,0.020572759541240986,0.019532710377512932,0.019519257117506968,0.0010953160607474232,0.0023408346266414475,0.017748198287695777,0.016730268761106226,0.1942218253721762,0.010953648488982674,0.024098910649562627,0.035952136930290896,0.020141439176598868
Alteromonadales,0.02043033619404344,0.003877562608216507,0.009013376990632694,0.031668211149370594,0.012030311857221697,0.026896568200938772,0.017438601296591676,0.02024767616995928,0.020333960993544332,0.018665526347692456,0.020014665059223998,0.0022792693257422704,0.043149263044829876,0.01923452078442425,0.013368352226714187,0.04568223842628973,0.01878522683672854,0.016937652688366403,0.03137951730520388,0.02126623127764355
Microtrichales,0.02030302273226656,0.003918111410438391,0.046513300601079124,0.013411156381473105,0.009553138675882988,0.01212194729253205,0.011599085917410868,0.013294522675140578,0.016886317514807445,0.017331777464022226,0.020429263415246292,0.007622822424189414,0.003914826264640578,0.011511448577285862,0.007888836677545821,0.009284575524756427,0.009216547872261635,0.012078788434441086,0.015220289699783698,0.015984029353447813
Opitutales,0.0196970883761325,0.008853487029341607,0.0034843691209497972,0.011705946971522026,0.005230754631444403,0.006924497716996217,0.012715205337052338,0.012170157082425704,0.011588801256130208,0.011721313462712019,0.01302647498015766,0.02093774451856972,0.0003183651561578564,0.010904829020234931,0.011583969831783062,0.0059761694582820156,0.0030799294356077945,0.010432908030369998,0.030243606415712703,0.025625480343219504
Chthoniobacterales,0.018481763837621814,0.006566603687156017,0.001993528148179192,0.03119511099214765,0.004966134555488264,0.0033630546782728254,0.015142885277723235,0.009128745984647075,0.010500348135269035,0.00874414392640973,0.00850632807716876,6.0202675851178323e-05,0.0020957718416473635,0.02099814628458366,0.007414389307359794,0.006025698248106212,0.004347463895084331,0.01960696676815793,0.011461878632575072,0.01307518820143982
Oceanospirillales,0.01836216691263553,0.004267877381339958,0.006954026600560419,0.013626573636983278,0.013364884644208912,0.01738474957550911,0.01647758166027988,0.018106564094702817,0.01972219146246447,0.020242546080818605,0.020572986553475125,0.004059541379967251,0.028797325595002362,0.016233849696044866,0.01414075089339494,0.014396294239914271,0.0190224428762477,0.018131890103170664,0.019233348123646365,0.0231486154943637
Cellvibrionales,0.018034340098696415,0.006070972414537985,0.006114583363712762,0.01816168526184264,0.012454531997063664,0.011717988218744764,0.012660148448538255,0.018322204910866245,0.018186083047257242,0.01955455763520455,0.019166320373172153,0.00104620169394485,0.005590744740124953,0.01274748408847798,0.014987546974945108,0.029457405619176976,0.01234294650409497,0.015817530138081022,0.022520262971569092,0.017519025450636643
Verrucomicrobiales,0.016815067522322737,0.008085723977118424,0.007009671101777143,0.011343790426875422,0.01733337733878441,0.011155987573556627,0.023040149282990342,0.025908252423153356,0.020875351553219804,0.02917478458905641,0.027261058308958634,0.007548545336942511,0.004584997017931355,0.0192149560382346,0.017940317597088785,0.0071270735862030005,0.010245081028101871,0.017978798149944086,0.014143963500357338,0.01566952963802867
Synechococcales,0.01666427483323021,0.004118498169429638,0.001715981671827302,0.01303267693134551,0.04327696662148285,0.007602024901823002,0.03177799831114513,0.013388066595109131,0.019491223048653923,0.014878117106049046,0.015549638921495227,0.00044276266033023903,0.003892706791701611,0.02772866505711986,0.009389723335186024,0.014117615228073541,0.008622230183147105,0.019290372708490402,0.014398583734324137,0.015882482129610794
marine metagenome,0.016414797277598214,0.004255999368960034,0.0009631003619477918,0.0254485431662419,0.002688621327654871,0.0033301637171698996,0.014362033844363725,0.012046656249905623,0.009931292736467642,0.009840617336853354,0.006730968733731784,4.372086025509743e-05,0.002738514279795614,0.022840751639623482,0.0008673792768815047,0.002505807516057787,0.003883495357907296,0.009100443695411235,0.006494273622327195,0.008388945901145905
Rhizobiales,0.016278627168230676,0.016843404576794504,0.014375492752899895,0.011901341010081473,0.017701780666042614,0.017522947414551487,0.024785334694953438,0.02415751323567085,0.026288682692494694,0.027228212730248127,0.02859500709443813,0.05545949504042465,0.005510283004187405,0.019832354533030578,0.025627673516529472,0.01073052358685634,0.016095263994328306,0.021147854831359576,0.016176042373465024,0.02394419182997418
Sphingomonadales,0.016041566235453452,0.011598297809516175,0.023935000193054234,0.012831741098756604,0.018953608237075394,0.01989302781084016,0.028720660974130566,0.024405337476774792,0.025236773935558884,0.026680201759769522,0.025991479655597942,0.019481928998442734,0.016110262058985997,0.022941273396871735,0.027276920305608104,0.012290678872193152,0.017032618952038343,0.023169289575087456,0.014211882402753702,0.021512260511864577
Rhodospirillales,0.015784940419413942,0.011295793096878047,0.007421909314505747,0.013503980667164928,0.01034322382645092,0.010256409080250203,0.011457357262143014,0.02495205408122296,0.018146059923062174,0.02317075261759342,0.01790795048893691,0.01575258762260565,0.04444906463164044,0.015256773104900659,0.01073214234811308,0.01276263233969883,0.01878292800495368,0.014250879251901992,0.012597535925664772,0.016303944955272466
