,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,Season,PrimerPair,DNAExtraction
Erythrobacter,0.017325436806740025,0.004011902423020594,0.005824449851532194,0.00580945384013118,0.002960173593066579,0.003143417166786032,0.003026189481665955,0.004405633532414099,0.007961589986935316,0.006757170877628319,0.010558873950407536,0.011458769986325432,0.0003257117515969164,0.0033010464136727317,0.008318307821126612,0.0009631392920048647,0.0015284749244482093,0.005221842705336627,0.02003849704176841,0.014438217305133259
Alphaproteobacteria,0.01624764743286577,0.015293490579441215,0.041642092378116585,0.006554591604643294,0.0037568685395041974,0.004275036782917085,0.011594270492393656,0.006772915040210879,0.007783392066015203,0.007853935609199003,0.007968828836510925,0.004508429233074882,0.0016311331698237255,0.010978509125323173,0.037559914210939516,0.0019750082248586797,0.0032141178188860456,0.008006957302389268,0.020468604046506564,0.020398716119673654
Flavobacteriaceae,0.014136003277553953,0.2152918189250971,0.2818555916267978,0.008991669969114432,0.006822359431506479,0.00470395660552256,0.008284064272910669,0.007146331787468481,0.00976137747837758,0.008415377506372142,0.008476767576789132,0.0003372983570484574,0.0015946894607881132,0.008131019129880537,0.00988556868165357,0.008113020779079874,0.004953985275235142,0.007421885938843669,0.009784492386196813,0.012432971814499889
Lentimonas,0.012941216527225748,0.13899888541919522,0.042954495002079124,0.008336754819548512,0.0014920214716969674,0.0026502722423353466,0.0052730951678790034,0.004764417652775649,0.005564943067609926,0.004628117038778178,0.00548766593730747,0.009146924333211104,0.0001281576716573769,0.00502483705944193,0.00584528413363396,0.0023934452604094337,0.0007799798147515372,0.003995428324465367,0.0182021032036676,0.014075463704741404
Clade I,0.012514802208360125,0.018135761274791034,0.010813825460943968,0.010719352095411357,0.0016520487799214318,0.004485108562714399,0.010037991494221759,0.0078032314625583,0.007508346796237646,0.006944621045757831,0.007395855806498291,0.023636709463389374,0.00016351462427017887,0.008426283915342423,0.009560564826985023,0.010493663554939123,0.0014522211708095775,0.005107751203008208,0.017804573964225058,0.015061483128402352
Clade IV,0.011787604191848716,0.004895752133489222,0.0031852887216747097,0.0016036356258030489,0.0007534863043052999,0.00040110013488192956,0.003151095201521946,0.006523004985643412,0.004822279701534047,0.004364214471079528,0.004972637359053995,0.0093783304074046,3.935782160558789e-05,0.00370273639226086,0.005054520341582167,0.00015566411884607346,0.00035605096696396,0.0032913047407002833,0.015484991232739316,0.015221800022090937
Methylacidiphilaceae,0.011053896685738007,0.006958389144867187,0.0029920487285357796,0.010861589130788142,0.0003507491884215865,0.0007258423224449708,0.01088935264099172,0.005344983877289897,0.0051565649210249965,0.003993158754021405,0.003432284555210542,1.4659996165450198e-05,0.0005465723015695607,0.015856544292542425,0.0003430273310892823,0.0006201977831568864,0.0009197784301791383,0.009178017416945874,0.001888251330102288,0.007024523053112424
Parvibaculaceae,0.010981792670389684,0.005737813816495696,0.0031056973346145905,0.00038190005603963605,0.00015961648211079067,0.00015517122871837934,0.003481828509708547,0.005933529820495965,0.0035790205505315813,0.002963091405656224,0.0034841582966159985,0.0013168419389986388,2.4523419112740998e-06,0.004331357399804939,0.037628314352043404,0.00013366259186033163,3.083984790423955e-05,0.0020199311867189628,0.013727596495951051,0.013269659914387466
LD29,0.010759557163807902,0.03789646156905462,0.0013474614287531741,0.01162051590649296,0.00045823574387795807,0.0007825525280669427,0.008681100034307625,0.006225325334945283,0.004972289013037355,0.004421031655727454,0.0038941636951833197,7.744583953162112e-06,0.0006657143399217055,0.013921416628064905,0.00043621516980681243,0.0005195231839666847,0.0011161063874375687,0.008831749599762125,0.002646924818842531,0.007282609688359104
Flavobacterium,0.010442402432163125,0.016060755180026438,0.0020137021541144855,0.031079890472563803,0.00243837486486398,0.0037047253383083976,0.00594512672303284,0.013773816986674571,0.00916395305095472,0.0113258674855665,0.011997154980116432,5.353366475182555e-06,0.00039958422736844463,0.006756795009805218,0.007061674682093792,0.2840370689435509,0.0028439364022066773,0.008073404170108796,0.02684128030173063,0.010754208963396173
Oceanicella,0.010404151429242742,0.010166206886949537,0.005184782796654303,0.00020739880320982574,0.0003952540924369923,0.0002731256678846397,0.0053740942372546945,0.004734438420156111,0.003918468178504984,0.003614647174119932,0.0031204182429176277,0.020479251526351196,3.175532450225412e-07,0.004286148389895221,0.04356458033263439,0.0001822248996969124,0.0001513859407871593,0.0021266196999439376,0.012206952585183267,0.013380402113530079
AEGEAN-169 marine group,0.009970877714607779,0.002650207715541102,0.0025992141915948974,0.0012730248748884555,0.0009799858038256767,0.0011883790113626108,0.0034169402567166096,0.009174441863541665,0.0055813711484031135,0.006736145265285879,0.005347394813618993,0.01372135161912746,0.0002754995171314337,0.004609672753068382,0.004056121459863445,0.00033153589883573093,0.0005779191003085189,0.0033905245657251744,0.010682318869079239,0.011888250878684753
SAR116 clade,0.009874592752640533,0.003945258644395926,0.003882975838239558,0.004649268674625002,0.001324618045104969,0.002352647870733661,0.004826853714714124,0.006852572966396309,0.005885901967714364,0.005380742112961946,0.005591732997490504,0.005696838644106909,0.00024051991925528798,0.00487311672363652,0.007055150287828104,0.0013656509676091802,0.000845954348459877,0.004264687874465959,0.013139711549069663,0.011971751470426032
