,Latitude,Longitude,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,Temperature,Season
dd71fb80e26a76a63f817a5bcf71d2d7,0.16807094311558618,0.02999989865384151,0.006743932318279473,0.005751497024547756,0.006877741669093461,0.006027255729849341,0.006420872953834439,0.0032933731877809735
5f41045256c355488cf982814835865e,0.0832543944461904,0.07011282574651621,0.0014216653163198034,0.0016669256680332896,0.0017760465918385433,0.0029860279084776083,0.0009821582298222028,0.0025647999453196446
3b50e9874fa67e04b49f5a59ecf0059a,0.061779259476232244,0.007059438530358411,0.002973037954094319,0.0032991438728977676,0.004059944884875157,0.002829766968027151,0.0007419905149699208,0.0020280097955478714
0c03959892d1fad4c349f605f837a226,0.05548798848212362,0.06290774237434824,0.005409616662196357,0.007444167780419933,0.0059291969706280045,0.0064615169346989715,0.003731266405760282,0.006537106183194139
5fc7e6ef6a5cfda515cd05468202e6bf,0.03799985610366732,0.04420985262856938,0.005496569665331048,0.005288322411644135,0.005745718706802216,0.0038344343976389156,0.002584402884869349,0.0031658345140634175
d065280abc30073ba8c3501eba41f1e9,0.021954644412580524,0.028949395275927617,0.005900803199280379,0.005720835909243906,0.007194620937569439,0.005954649302916728,0.004267057720479019,0.003870135648816665
d244be3e213f8c3234e80bc03111b8b7,0.017440991307564987,0.007468956298649848,0.0036798432694754545,0.002135114387202802,0.0031197129707743253,0.004404353124874469,0.0008993998875318788,0.0010796714561067953
2f35b61d3cd5d03602352992382297bb,0.01733206730341575,0.00842722027099722,0.0002982328102311609,0.0007139388361244335,0.0005768558016515841,0.00020052544630684284,5.5336745815522215e-05,0.00037609075822700835
90722a58387204d92de2be9d7daab6a2,0.016577696954501633,0.030224785118618338,0.009182126253548976,0.009502285304649017,0.011060257307418674,0.007521133397669432,0.005077895976977273,0.006333636860116997
5a853ea42d22cdd708fced7735308c07,0.015233849881037804,0.013642609946100791,6.932258204254522e-05,0.00012935715113311525,0.0005320956172090297,0.0005405361127861213,0.00019497971089365654,8.692242511019575e-05
59b548ff3da375dd84043c5f6629002a,0.01318456320755294,0.00553227992366518,0.002644571581699378,0.0027020456225714186,0.0036982107457155414,0.002540962936575254,0.0015342137935938766,0.0012766936444675203
cb16e852847785239a4de5fcd3b3af02,0.012541160705371835,0.012131632184655856,0.006832571189189817,0.007525814461727017,0.0077266948567436735,0.00586459625344434,0.006958095222320971,0.005417659092335256
15e1b6d3453309fa231ff63d2b3c8a9c,0.011110942752932604,0.0063150598722187855,0.008987097334557582,0.013324857065240937,0.006403720029020229,0.00521251955027746,0.006015461238669342,0.004000718538196694
