,PlasticTypeGeneral
Planctomycetes,0.103354329
Proteobacteria,0.109774226
Verrucomicrobia,0.089250009
Bacteroidetes,0.17641514
Cyanobacteria,0.075847223
Actinobacteria,0.090240811
Chlamydiae,0.01230315
Firmicutes,0.03370056
Thermotogae,0.012807424
Thaumarchaeota,0.018370541
Euryarchaeota,0.004071448
Epsilonbacteraeota,0.065973282
Synergistetes,0.010193888
Chloroflexi,0.02649031
Marinimicrobia (SAR406 clade),0.029168816
Dadabacteria,0.014416645
Nitrospirae,0.032867103
Patescibacteria,0.026353862
Acidobacteria,0.014365382
Gemmatimonadetes,0.010670048
Entotheonellaeota,0.014578734
Spirochaetes,0.002100308
Calditrichaeota,6.33E-05
Hydrogenedentes,0.000605877
Tenericutes,0.000818219
Kiritimatiellaeota,0.003043679
WPS-2,0.007049467
Fusobacteria,0.00200902
Atribacteria,0.005483254
Nitrospinae,0.007282371
Deinococcus-Thermus,0.000282611
Latescibacteria,4.89E-05
Dependentiae,0
Rokubacteria,0
Cloacimonetes,0
BRC1,0
Score,0.708860759
OOB_score,0.71835443
