,PlasticTypeGeneral
Bacteroidetes,0.174808835
Epsilonbacteraeota,0.139331697
Planctomycetes,0.065033743
Proteobacteria,0.067666332
Actinobacteria,0.087395961
Cyanobacteria,0.053949912
Chloroflexi,0.065603232
Acidobacteria,0.055790038
Verrucomicrobia,0.052269146
Nitrospirae,0.048145329
Armatimonadetes,0.049777497
Fusobacteria,0.053990457
Firmicutes,0.040609865
Gemmatimonadetes,0.014925762
Deinococcus-Thermus,0.009331204
Patescibacteria,0.011256238
Spirochaetes,0.007923918
Dependentiae,0.002190833
Score,0.703125
OOB_score,0.718253968
