,Latitude,Longitude,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,IncubationGeneral,Temperature,Salinity,Season
8b2ddea27717ebd2ba95e1ba0323f856,0.20397671891726635,0.13503044044170465,0.00945209661746673,0.017805784675300744,0.005216373548694811,0.005194298463342764,0.011595830455735355,0.012509315416211104,0.001871185649787499,0.00118459262391112,0.002589429641039254
ca527f2b2b745a618c4c486f18a1de58,0.1449277406127342,0.040421828855528814,0.009957026623916418,0.006418856756997799,0.0035490342766386126,0.006683764317186697,0.002599689977043993,0.013981245269107202,0.001267540729556954,0.0018484856934619443,0.0022166162982763015
4e5ff310075a50266f9d480989d68398,0.07378169465270583,0.044860203588741765,0.001654979879455178,0.005121163509345508,0.002755310212426833,0.0012394856636522582,0.006224617280027336,0.0028813236130659056,0.022308090763536684,0.00587745278183945,0.011181845848481463
358e48cc7e78e9ad76db05f8e4c80420,0.04735331401648164,0.018402008031788996,0.0038051143058028467,0.007023999659054144,0.0031425780109068852,0.006853573447700947,0.005967768050269438,0.005577731894074779,0.0019470908324974842,0.0013314951248281038,0.000885023136005718
71c9b09c1567f81e14bb6bef7b934e49,0.04721981734924179,0.10299086823886723,0.0006966664000259658,0.0015294973017006169,0.001123518298700944,0.0010793069725277714,0.000747278047092451,0.0015252842172335567,0.01718698121652632,0.0020586085759633217,0.003997980813218969
51206d7beea2b2566cd5f4dde35b589b,0.03405662019084582,0.03381078628603052,0.0028486872420773945,0.004595278200817833,0.0014041526685650446,0.000986227996319726,0.004254808080894825,0.0025482379050502896,0.00558053602729289,0.004832727309332242,0.007121273076659838
47f280a62d3cbe2edbfada40370a17d4,0.03113355377212143,0.002700044663846545,0.011350837663632051,0.01105231701127499,0.007479601385307209,0.008878145064442462,0.005092157556673138,0.010386368979776588,0.004233171220092732,0.0030180209641619063,0.006708397258742353
bdf8a26094624622d68509a87fa75ba7,0.025201611924441786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7507552804033746e-05,5.8408740492278776e-05,0.0
5253d98d25bc51baaf939f468ca8ef59,0.024743355994000064,0.00026914699072307265,0.005970269066627845,0.007224896770215971,0.004176453144848627,0.006592438857483772,0.0034767972266556103,0.0087200423129464,0.0030323097572913667,0.00195443005183455,0.004135088683446412
0b59a39511050d6af174534cb1465f28,0.021430636627184082,4.6122169187813183e-05,0.00015855015819280066,8.66831363869621e-05,0.0008552174858590302,4.200868795158605e-05,9.006635436857627e-05,0.0002128975410849121,0.0005430101716942966,0.00039685690428817956,0.0008217431397314551
5baa80287680b5de72adc0737b131d5f,0.020621282645248127,0.00018096161203533064,0.0012452575653702001,0.0013803508296562322,0.0026373583008337943,0.0005840450581588797,0.0006666472737463729,0.0011820437165180892,0.0013013450908660519,0.0007937537065165079,0.005089896286486782
b355b5049b9de3dadd746ee4d8b6b5ec,0.02044681966718521,0.013092850372034654,0.005872680378366807,0.004549647792813932,0.005215897896460408,0.002292841928836002,0.005809169991317222,0.005493393402801962,0.0011952959006019572,0.002110168626245685,0.0018659647905906577
d81a6c64c4f8f442db9089d0ede09e22,0.017231930217752243,0.0007476991892322231,0.004477153041383365,0.0059764482430474265,0.004848595992068826,0.0032205472469062145,0.0034186740724481777,0.005538779987333538,0.001854173175167036,0.0015084318320247748,0.003629059142332378
bd83c342156f0c1341d33649ebaedc56,0.016787179892851986,0.036987771849410975,0.007246780057018984,0.013730771928501853,0.007698659291816631,0.006821430145495032,0.008963856517289774,0.013772942375317235,0.0047008005366357825,0.008771546904441414,0.005566907269810573
4c84ddd5f41a2ac683a63415323329f9,0.016608053493246507,0.04111789873110078,4.926472929738841e-05,0.0005759809785507426,0.00079636973260458,0.0,0.001975153434506987,4.758390677605977e-05,0.00040516239630433547,0.0004345972294845958,0.00011325492563574123
b21d35bcbbb0d4f33a85df63cc33b955,0.01657247274604536,0.014574916026257299,0.001562893247877117,0.0013815148921299696,0.0017481788631962612,0.001088392193380658,0.002314237794472073,0.0012990748078258616,0.017348746574973914,0.003044824327521756,0.010402282010420911
