,Latitude,Longitude,WaterOrSediment,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,Temperature,Season
c4cb45a5fe27e8d53ed9c568c4bfc296,0.12715520048762122,0.004478753400541834,0.01414670701906206,0.007720453209990972,0.008801523587914159,0.010728422983907545,0.009771685289775145,0.004324100248594843,0.006836686022403812,0.009450475624530939
f0c51a4fd75096ee36c01c63fbc31cec,0.041096724817535873,0.005835726092521964,0.009483474905918856,0.008460726121419331,0.0074742792827806395,0.007651573528583572,0.007702840026230679,0.025805898695893198,0.0035250878862482684,0.005566576196631141
9630a30536b1ff5353f9c9b3c12bcf1e,0.04001953828373147,0.019518267694802357,0.0052077546163234135,0.007898961060309464,0.008395480049737595,0.007971038513558699,0.004965670544258766,0.028915579974408395,0.0023521823536415097,0.003914916461197447
3491e14714ecd74f8865cd07d8fbfae6,0.031104714599065695,0.001431751796163368,9.419824361647416e-05,0.00013749269500824656,0.00015766031993619828,9.311172824761393e-05,0.00011713640796958807,0.027332800085855216,0.00018823065026733234,0.00015993466866565128
0b55209f579f60995372586668a5c182,0.030204523723669184,0.003511615933507979,0.00545444449196314,0.006398235448771241,0.012891045295468348,0.008322426632482468,0.007979093374884559,0.0022287496113154353,0.004179926201439772,0.009550927523888616
a2e60b50bb190ef089ee3341d902252e,0.02809226040406756,0.003437337189837032,0.002178047244749439,0.0027815816520077165,0.002542692278602464,0.0023491326021372063,0.0031691742896808625,0.0005211272485754763,0.004214644711186175,0.006193176124274087
d8d29061ed28d312f9fa1db3fb8f3a1c,0.02206955754095211,0.0044707479410503225,0.006617775198662406,0.005748996986387299,0.006364616479376154,0.005235230928264989,0.005594668821016466,0.0009888945768464713,0.0012742465491234394,0.007492253321103548
69550e9e4b4aed16b2019ed25f6ea93d,0.02042326365549057,0.004641445850238011,0.007098840149423721,0.006759612217860321,0.009467849655036387,0.0059495761670102015,0.005928797119327236,0.0224990923600561,0.0037355830266015003,0.010045227461631794
f191f17f83a14c8124e2db800832a348,0.019933901721879952,0.010033787862817705,0.01104526058826408,0.007462974243801219,0.008615561205649908,0.007990659703253558,0.008218292960083763,0.003574772864839189,0.002752843896550043,0.007714164209073062
a75fb5f8516cb17f75ad16fbf292be39,0.019590548156412063,0.00021109840240835786,0.005793394092817429,0.004234980590551655,0.0032443797180370915,0.002621082147902562,0.004400023177224109,0.0006080808777865732,0.0004925246230026776,0.001571681777934468
7732a2a63b458a970e9b048b496cd751,0.019520322875238943,0.015045854055967764,0.008212928151908976,0.00774024847060123,0.009460848283697382,0.009714406230464073,0.00977412173005276,0.011230410201087683,0.002721425917268109,0.008655842186642443
3cf9adce31f51c77e52812c0dfa40dc8,0.018872481216072434,4.8301948830908696e-05,0.0,0.0002141807777811435,0.00014406164209602892,0.00016111746649339357,0.0001953889435210773,4.499327646055872e-05,0.0,8.576037361870613e-05
79101543b8fff2e4ec2155737b5519e6,0.017882561970714726,0.0628860438145131,0.009925168143221152,0.010419146435497757,0.010909338547969097,0.006585902187011503,0.006681641403201351,0.002672453664969157,0.005856863847368426,0.005855233034527551
e232e6f4a873496656969a88cbe7f732,0.016750746283786137,0.01663543390135214,0.01505287766214986,0.019149941763586146,0.017117501525591022,0.013486947146875452,0.017801348641377227,0.00844526714952049,0.007177643269284174,0.011580770475821005
d8d24bfd1fe2616ed4d1100a7cb56940,0.016551026295125768,0.003023578375297176,0.012833730179817602,0.007110805619377859,0.005755910594168548,0.006193642395224174,0.006781878289364593,0.0017757859020316109,0.0020445973197943637,0.007339891863228142
4604894a7cccd3b21150b7ce2e54b204,0.01588653702028885,0.0031820235098543093,0.0014467101882760824,0.0009906717549358621,0.0016745124383237733,0.001707343953322262,0.001420947875907366,0.0013829867646313735,0.0010473730497451673,0.0028093014220946615
b8e18cb287a3f7f2e7ee44e78bef4034,0.015399975398536311,0.007161095092029884,0.0013141416991440062,0.00020054423259103618,0.0001981791473014441,0.00011175098999811153,0.00011025633028459307,2.008441500629179e-06,2.0478344121858277e-05,7.272755605795494e-05
72d458807840d0075bcfdbe62975292d,0.013727446499457736,0.011084546956848492,0.006641541742147466,0.0060771008497681875,0.005433875644927218,0.005982593309609091,0.006883915611882914,0.0008102519776135283,0.0009004384437740626,0.00464086533587927
