,Longitude,WaterOrSediment,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral
f2cb5b568f7289fe805c64d697e2cbe2,0.0,0.0,0.0,0.0,0.0,0.0
eec89a2c0c83eba7f3d5e609dee726eb,0.0,0.0,0.0,0.0,0.0,0.0
2191a03af1b639ae410ef259dc0744df,0.0,0.010919291717341484,0.01215117431558209,0.016062675547569794,0.0182561468958869,0.017551876520517568
14cbfbff578d66019bd47d58c798b4c3,0.0,0.011687472339553267,0.014111193195078054,0.008839956827641599,0.005251666784754756,0.004854602581912687
7262ec5a69a0bb8295e34d72c35047ce,0.0,0.008471619779005636,0.012561441886807122,0.009276515591851551,0.014351224943669166,0.010294147336884456
dd92b4dc8ef906aa926fea4e41ff1e4f,0.0,0.006248742572739316,0.007611308608003229,0.006699061464142721,0.002945335347157121,0.0031590137291803103
f03caa9f0775a11cc28c971eb975e0ed,0.0,0.0,0.0,0.0,0.0,0.0
df5d3a055e5f03a0b497945487e968f9,0.0,0.0,0.0,0.0,0.0,0.0
8277a01458a615075d974cc0b6cce4b4,0.0,0.006020067660201053,0.00914379490615644,0.008851830143840098,0.0061235405558382255,0.004160142145722786
250dfc56f1cbeb2fe284b54de7e533c3,0.0,0.0,0.0,0.0,0.0,0.0
93c9a13f4e909cea488969fc89fac704,0.0,0.0,0.0,0.0,0.0,0.0
23fdc247e14a3de5398cbc82805fe4ac,0.0,0.0,0.0,0.0,0.0,0.0
4d65f65496c3d0238ebf74738245e526,0.0,0.0017519098792876794,0.0038526692389131657,0.0023086258303514095,0.0033633583931695645,0.004683036229657745
62a845538d745dad19f77539227b3d83,0.0,0.0,0.00024613740472443333,0.00020732939522909578,0.0002897044945995979,0.00012915646816328834
0f9ebe4d764c791770f4e1e467ab2c5e,0.0,0.0,0.0,0.0,0.0,0.0
79101543b8fff2e4ec2155737b5519e6,0.0,0.000958941935536798,0.002117608783738791,0.0025519748457325706,0.0019506916864964687,0.006167417211388709
aa56ff453685ca73d72de792bf0460a5,0.0,0.0,0.0,0.0,0.0,0.0
534a2729a1e5bcab6cdc6808d3a0c301,0.0,0.01105222160583194,0.011566794477095962,0.00670357710063962,0.005841743140938135,0.006765335968966588
9abe291cdaaad270f69710f16f551c93,0.0,0.003289474426176366,0.0014616348816902202,0.0027370992541096,0.0018367417101521819,0.002054835947807132
1e6c023bbd7769a702c56063777fb587,0.0,0.0,0.0,0.0,0.0,0.0
67f5d9563f0db6c7c5f218b9a6c0f61d,0.0,0.01717811675290985,0.01668886368970737,0.008446761764459439,0.016840049374873534,0.02148226457312311
eb5715f45c1627d182ef8c5a2c6b1157,0.0,0.0,0.0,0.0,0.0,0.0
ea17ddbf12943bb003352432049a52ee,0.0,0.0,0.0,0.0,0.0,0.0
